date,open,high,low,close,volume,source
2019-01-02,138.27463101,144.93887255,137.45001867,144.75375366,3999400,yfinance
2019-01-03,143.60095462,144.53495875,141.60672197,142.63328552,4060200,yfinance
2019-01-04,145.56150232,148.09424588,143.97117258,147.2948761,3788300,yfinance
2019-01-07,147.44630517,149.63406584,144.95563683,148.11105347,3152100,yfinance
2019-01-08,149.59201722,149.86128565,145.48576354,147.56413269,2692700,yfinance
2019-01-09,148.17838521,149.51627892,147.17706418,148.48971558,3321400,yfinance
2019-01-10,147.80816545,149.83605007,147.67353123,148.09425354,2808700,yfinance
2019-01-11,147.33692277,148.96931416,145.08184506,148.87675476,3182700,yfinance
2019-01-14,146.84890068,151.07294292,146.49549553,150.38296509,3361700,yfinance
2019-01-15,150.04638372,151.45159444,148.43079904,151.38427734,2911800,yfinance
2019-01-16,157.35011681,166.73221757,156.17209968,165.83187866,15194200,yfinance
2019-01-17,164.88104295,168.12060933,162.25574029,167.5231781,8177000,yfinance
2019-01-18,168.60863727,170.81321754,165.6888241,170.42614746,5650900,yfinance
2019-01-22,168.70961044,169.52581258,164.85579336,166.33673096,4648500,yfinance
2019-01-23,166.22738187,166.6817563,163.6862156,165.68043518,3410700,yfinance
2019-01-24,165.10827527,168.01966666,164.72120507,166.4377594,2631800,yfinance
2019-01-25,168.14585773,169.29022278,167.8008624,168.91157532,3275000,yfinance
2019-01-28,166.59761867,168.34782495,165.8487335,168.05331421,2369600,yfinance
2019-01-29,167.44745847,169.94654971,166.49662206,168.70962524,2694100,yfinance
2019-01-30,169.04621787,171.05726999,167.99441211,170.3757019,2773300,yfinance
2019-01-31,168.37303905,170.26628906,165.72248134,166.6144104,5604500,yfinance
2019-02-01,166.60600173,167.98597012,165.37748718,165.37748718,3174200,yfinance
2019-02-04,164.75485032,166.4040745,163.90498308,166.37042236,2400200,yfinance
2019-02-05,166.7069698,167.72512323,165.64675442,166.6144104,2601000,yfinance
2019-02-06,165.91601581,167.49793554,164.78007347,165.44480896,2063100,yfinance
2019-02-07,164.31733417,164.82220617,160.75802638,162.45774841,2948800,yfinance
2019-02-08,161.32175314,162.07904811,158.37669716,161.27967834,2757500,yfinance
2019-02-11,162.29784834,162.66808604,160.77483558,160.99360657,2056500,yfinance
2019-02-12,162.44087515,164.62862331,162.39880035,163.65255737,2392900,yfinance
2019-02-13,164.85580444,167.26233621,163.74510438,163.8208313,2757300,yfinance
2019-02-14,161.73411652,163.34968906,159.40331075,162.00337219,2865000,yfinance
2019-02-15,162.57555705,167.3549574,162.4829976,167.02679443,3065400,yfinance
2019-02-19,165.47845544,167.49791682,164.59493627,167.16975403,2558200,yfinance
2019-02-20,167.22026468,167.69989421,166.19370134,167.11088562,2266000,yfinance
2019-02-21,167.42221438,167.82610414,164.12375345,165.2260437,2785900,yfinance
2019-02-22,165.42801337,166.39566953,164.24998323,164.92314148,2626600,yfinance
2019-02-25,166.60602028,169.5510762,166.36200701,167.1529541,3032200,yfinance
2019-02-26,167.00149678,168.76011277,165.38592483,167.36331177,2499800,yfinance
2019-02-27,167.70124363,168.87557424,166.5353568,167.36331177,1804200,yfinance
2019-02-28,167.31261265,167.61675649,165.59758331,166.18052673,2964300,yfinance
2019-03-01,167.91248099,170.18510984,166.79728247,167.44781494,2580500,yfinance
2019-03-04,167.96315649,169.66974216,164.02618685,165.57225037,2683600,yfinance
2019-03-05,165.46243587,165.74122259,163.05462919,165.5891571,2338600,yfinance
2019-03-06,165.50465051,166.90709223,164.34722034,164.52464294,2247500,yfinance
2019-03-07,163.16440377,163.43474661,160.58763207,162.86026001,3567800,yfinance
2019-03-08,160.85807897,165.39489399,160.27514821,164.9471283,3162700,yfinance
2019-03-11,166.62830934,168.09834016,165.36104538,165.56381226,2669000,yfinance
2019-03-12,165.5891744,166.77194906,165.32727522,166.12142944,1977400,yfinance
2019-03-13,167.06763923,168.0645474,166.02848635,166.6452179,1904500,yfinance
2019-03-14,166.70433347,167.70124146,166.18052233,166.83105469,1482300,yfinance
2019-03-15,166.56918543,167.99697162,166.30728626,167.49850464,2985200,yfinance
2019-03-18,168.27571319,172.22113878,168.0560588,171.05525208,3354900,yfinance
2019-03-19,173.09133466,174.41773068,169.62747527,169.91471863,3284900,yfinance
2019-03-20,169.24734575,169.24734575,163.87414547,164.16984558,5033500,yfinance
2019-03-21,162.9701534,165.20899431,161.99858944,164.38949585,4031500,yfinance
2019-03-22,162.77582308,163.65446661,158.64454326,159.64146423,5703100,yfinance
2019-03-25,159.95405338,161.74511559,157.56314723,159.26127625,3751000,yfinance
2019-03-26,160.54542817,162.55615756,159.41334225,161.10302734,2910100,yfinance
2019-03-27,161.02702246,161.88030893,159.45561453,160.54545593,2343800,yfinance
2019-03-28,161.14527838,162.13374266,159.92024633,161.51699829,2343400,yfinance
2019-03-29,162.78430093,163.14759003,161.48324872,162.20137024,2632800,yfinance
2019-04-01,163.89951195,167.35491609,163.57002376,166.21438599,3562600,yfinance
2019-04-02,165.79193291,167.07608451,165.08225526,166.85643005,2247000,yfinance
2019-04-03,168.33487139,169.88937853,167.73502753,169.69506836,3227900,yfinance
2019-04-04,169.64443532,172.59292841,169.3909799,170.85255432,2582300,yfinance
2019-04-05,171.82409064,173.61515281,170.70889223,170.97924805,2447100,yfinance
2019-04-08,171.32562105,172.03529861,169.96542398,171.1144104,1891500,yfinance
2019-04-09,170.00769466,170.31183855,168.00542156,169.49234009,2400900,yfinance
2019-04-10,170.48925212,171.64668245,169.19664388,171.48616028,1907100,yfinance
2019-04-11,172.54221059,173.57291965,170.29493894,171.35943604,2802100,yfinance
2019-04-12,174.88240689,177.39159028,174.35015196,175.59207153,5096600,yfinance
2019-04-15,172.4408229,173.81792046,168.71506395,168.89248657,6617200,yfinance
2019-04-16,168.64742866,171.45231149,168.32639732,170.52297974,4852600,yfinance
2019-04-17,170.62443695,176.14970252,170.47235856,175.64279175,4195300,yfinance
2019-04-18,174.95845596,175.60898839,173.31945921,173.96154785,2874300,yfinance
2019-04-22,173.29413682,173.69121393,172.46619455,172.85482788,1591400,yfinance
2019-04-23,172.55907393,173.35322792,171.28336645,172.46614075,2120900,yfinance
2019-04-24,171.5030314,171.94235312,168.74039276,169.42471313,4606100,yfinance
2019-04-25,168.71506108,171.13131138,168.20816327,170.15129089,2075300,yfinance
2019-04-26,170.43007514,171.6044057,169.238857,171.57061768,1543100,yfinance
2019-04-29,171.92547436,175.72726618,171.73116417,174.81483459,2997000,yfinance
2019-04-30,174.83174435,175.71883174,172.47462608,173.97000122,1833000,yfinance
2019-05-01,174.37551579,176.07365775,172.37324286,172.96463013,1981800,yfinance
2019-05-02,172.71118817,174.22346383,171.60444629,173.18431091,1514700,yfinance
2019-05-03,174.04601105,176.36088431,173.75876768,175.32173157,1897600,yfinance
2019-05-06,171.33409357,174.86552969,170.41321816,174.40086365,1927800,yfinance
2019-05-07,171.79032186,172.34792117,169.8218367,171.19049072,2839500,yfinance
2019-05-08,170.15132534,171.67204488,169.64442743,169.77114868,1817600,yfinance
2019-05-09,168.55452146,170.84405029,167.2027812,170.34559631,2333400,yfinance
2019-05-10,169.79645174,170.74268416,168.11522332,170.70043945,2089400,yfinance
2019-05-13,167.19434627,167.19434627,163.89946527,164.71896362,3605600,yfinance
2019-05-14,164.73587277,167.38867817,164.65982713,165.82571411,2463300,yfinance
2019-05-15,164.44015994,166.93244298,163.40945096,165.92707825,2271100,yfinance
2019-05-16,166.12142335,168.96853911,166.11296667,168.24197388,2008100,yfinance
2019-05-17,165.84259317,168.19969818,165.84259317,166.79725647,1928300,yfinance
2019-05-20,166.51001515,167.09295857,165.22586376,166.63674927,2483400,yfinance
2019-05-21,167.83645239,168.39405167,167.27885312,168.21662903,2327600,yfinance
2019-05-22,166.80575129,167.68438206,165.13296628,165.18365479,2427200,yfinance
2019-05-23,163.05461982,163.05461982,160.14835925,162.18443298,3184100,yfinance
2019-05-24,162.96169326,163.95861426,161.93942801,163.05462646,1637200,yfinance
2019-05-28,162.20976131,163.31650293,160.00472185,160.04696655,3040000,yfinance
2019-05-29,159.32565027,160.09791239,156.93244964,159.58872986,2815800,yfinance
2019-05-30,159.62267186,160.70894348,157.85747724,159.01164246,1919300,yfinance
2019-05-31,156.80516142,156.90699534,154.71747543,154.87023926,2640100,yfinance
2019-06-03,154.1998156,155.71890747,153.37662346,155.46430969,2857800,yfinance
2019-06-04,158.00172211,161.23509095,157.60286835,161.14173889,2420800,yfinance
2019-06-05,161.32850203,161.379419,158.70616154,159.91973877,1967800,yfinance
2019-06-06,159.59719817,161.87158806,158.96071035,161.08233643,1653500,yfinance
2019-06-07,161.14174817,161.76125936,159.98758307,161.08233643,1838600,yfinance
2019-06-10,162.43167545,167.1841227,162.43167545,164.74000549,2372000,yfinance
2019-06-11,165.74147329,166.43736008,164.22238138,165.25773621,1632200,yfinance
2019-06-12,164.30722251,164.68063079,161.09932468,161.43029785,2059400,yfinance
2019-06-13,161.5915,163.15301338,161.30296202,162.47409058,1411400,yfinance
2019-06-14,162.33836475,163.0851814,160.65804021,162.65237427,1403900,yfinance
2019-06-17,162.95783293,163.98469254,161.87156159,161.94793701,1155600,yfinance
2019-06-18,161.81215262,167.29443931,161.81215262,165.46983337,2363000,yfinance
2019-06-19,165.78386534,167.70181063,165.30861022,166.02996826,2196800,yfinance
2019-06-20,167.60846021,168.19403108,164.30721055,166.08088684,2749300,yfinance
2019-06-21,165.77539616,168.32134783,164.61274905,166.28459167,3365500,yfinance
2019-06-24,166.78528067,169.17848128,166.36095542,167.59999084,2069800,yfinance
2019-06-25,167.60847236,167.62544899,164.64667747,166.38641357,1828300,yfinance
2019-06-26,166.75981987,167.92246689,166.43732854,167.19262695,1649900,yfinance
2019-06-27,167.66784659,169.39908751,166.98042897,169.15298462,2239200,yfinance
2019-06-28,172.70035998,174.68619885,172.22511781,173.63388062,4854900,yfinance
2019-07-01,176.51929511,178.08930364,174.60134974,175.55183411,2465700,yfinance
2019-07-02,174.31277393,175.08504884,173.2604558,174.80499268,1621400,yfinance
2019-07-03,175.92523433,176.0100916,174.16852175,174.85592651,978800,yfinance
2019-07-05,175.55184217,177.16427293,174.99172973,176.43443298,1511400,yfinance
2019-07-08,175.12751006,175.88280846,173.72724198,174.60983276,1853900,yfinance
2019-07-09,172.91251846,176.46836569,172.73429618,176.32409668,1812100,yfinance
2019-07-10,175.82338378,177.35945188,174.5249497,174.79652405,1779800,yfinance
2019-07-11,174.99171667,180.41459242,174.82198917,179.36227417,3691600,yfinance
2019-07-12,179.91391858,181.77246537,178.8870457,181.56030273,2626000,yfinance
2019-07-15,181.70454921,182.1203926,178.03837304,179.5574646,2600200,yfinance
2019-07-16,182.29012419,184.43720885,180.38066062,182.90115356,5283700,yfinance
2019-07-17,181.46688871,183.12175415,180.89829458,181.0171051,2583500,yfinance
2019-07-18,180.51649558,183.16428161,179.70178521,182.05255127,2858100,yfinance
2019-07-19,181.62819796,183.11333646,181.05960364,181.20387268,1822300,yfinance
2019-07-22,181.10201058,182.341046,180.17698465,181.61120605,1907100,yfinance
2019-07-23,182.41736515,186.70305142,182.41736515,186.21931458,3330600,yfinance
2019-07-24,186.06659527,188.47675924,185.54043618,188.42584229,3180000,yfinance
2019-07-25,188.20520292,188.20520292,185.20097325,186.68611145,2776700,yfinance
2019-07-26,187.08495919,188.60405051,187.01706562,188.5191803,2304500,yfinance
2019-07-29,187.55173119,188.51071024,186.8728083,186.97465515,1372800,yfinance
2019-07-30,185.4216268,188.39190314,184.43718925,187.89118958,1644600,yfinance
2019-07-31,187.75544865,188.38344176,185.86294864,186.81344604,1991100,yfinance
2019-08-01,186.15147307,186.66065554,178.86155619,179.57443237,3070100,yfinance
2019-08-02,179.55745363,179.55745363,174.23641198,177.68193054,2503000,yfinance
2019-08-05,174.66920146,174.66920146,169.37361921,171.15577698,2794200,yfinance
2019-08-06,172.75128384,174.88140476,170.48538869,174.83047485,2349400,yfinance
2019-08-07,170.67210805,174.78806829,168.92389004,174.60136414,2454200,yfinance
2019-08-08,175.81489279,176.34954665,172.73428785,175.67062378,2342200,yfinance
2019-08-09,174.4995133,176.77390339,173.00589307,175.58578491,1790100,yfinance
2019-08-12,172.51367025,173.25199203,170.13744629,171.02005005,1479300,yfinance
2019-08-13,171.01156676,175.33120787,169.92529509,173.21806335,2115900,yfinance
2019-08-14,169.56038011,169.65373219,165.5377719,165.96209717,3025100,yfinance
2019-08-15,166.25907871,167.15864593,164.39205069,166.48820496,1981900,yfinance
2019-08-16,167.20958015,170.29866696,167.18412168,169.237854,1878700,yfinance
2019-08-19,172.96343458,173.50657032,171.27462859,171.59710693,1646100,yfinance
2019-08-20,169.90830316,171.41889985,169.47548317,169.71310425,1545600,yfinance
2019-08-21,172.05539016,172.29301124,169.87435237,170.30715942,1160800,yfinance
2019-08-22,171.66501819,172.65793769,170.50237117,171.78382874,1275900,yfinance
2019-08-23,170.4175289,171.32559128,165.64811656,166.50524902,2200500,yfinance
2019-08-26,168.26193086,169.4839896,168.03279161,169.43305969,1441900,yfinance
2019-08-27,170.01010801,170.45989161,166.75977596,168.09216309,1513300,yfinance
2019-08-28,166.81925089,170.97763355,166.54767648,170.08654785,1437800,yfinance
