date,open,high,low,close,volume,source
2019-01-02,22.44327161,23.75840671,22.35731467,23.4661541,7805400,yfinance
2019-01-03,23.51772591,23.75840334,22.70973343,23.32002449,11693600,yfinance
2019-01-04,23.80138637,24.52342205,23.5950907,24.42886925,15701000,yfinance
2019-01-07,24.60937373,25.03056251,24.16240066,24.77269173,10997300,yfinance
2019-01-08,25.13371842,25.4259711,24.80708395,25.09933662,8621700,yfinance
2019-01-09,25.47754105,25.89872828,25.1766942,25.7869854,10328500,yfinance
2019-01-10,25.57209609,26.5520011,25.53771266,26.53481102,10433500,yfinance
2019-01-11,26.20816599,26.4574409,25.82136229,26.38867569,11392400,yfinance
2019-01-14,25.95889803,26.33710595,25.84715351,26.10502434,8247100,yfinance
2019-01-15,26.30272302,26.44025347,25.92451348,26.0878315,7746100,yfinance
2019-01-16,25.9846853,26.31991723,25.81277305,26.09642982,10084300,yfinance
2019-01-17,25.90732407,26.62076393,25.64945487,26.56059456,12746500,yfinance
2019-01-18,26.99896889,27.82415149,26.9044161,27.72100449,16457300,yfinance
2019-01-22,27.07633852,27.26544251,25.86435016,26.8700428,16986900,yfinance
2019-01-23,26.92161076,27.01616356,26.2167668,26.68952751,12503900,yfinance
2019-01-24,26.64655069,27.39437396,26.50902023,26.82705879,11264500,yfinance
2019-01-25,27.11930894,27.82415286,27.09352301,27.59206963,10357300,yfinance
2019-01-28,27.1622957,27.17948742,26.37149463,26.84425545,10076500,yfinance
2019-01-29,27.0763281,27.11930575,26.48322712,26.51761055,6375500,yfinance
2019-01-30,26.74109982,27.32560498,26.46603895,27.1364994,7975800,yfinance
2019-01-31,27.10212187,27.3943745,26.79267753,26.95599556,7494700,yfinance
2019-02-01,27.07633427,27.86713357,26.96459139,27.60926437,7776100,yfinance
2019-02-04,27.35139083,27.72100449,27.12790347,27.72100449,6164700,yfinance
2019-02-05,27.6866217,27.78117449,27.46313597,27.76398277,6061500,yfinance
2019-02-06,27.67803026,27.80696321,27.49752052,27.53190231,5471400,yfinance
2019-02-07,27.26543444,27.49751766,25.97608537,26.21676445,9466200,yfinance
2019-02-08,25.98468275,26.16519249,25.27124296,25.52911377,9856100,yfinance
2019-02-11,25.37439143,26.15659644,25.27124278,25.95889664,7912200,yfinance
