date,open,high,low,close,volume,source
2019-01-02,115.21430384,115.35490625,112.57086416,114.13630676,1501300,yfinance
2019-01-03,113.25513211,114.89555987,111.66157658,111.96154022,1817300,yfinance
2019-01-04,113.60197344,116.21728496,113.60197344,115.66422272,1487100,yfinance
2019-01-07,115.87982594,117.66085617,115.75796101,116.64848328,2906500,yfinance
2019-01-08,118.12017991,118.73885183,116.53599302,118.28890991,1066600,yfinance
2019-01-09,119.1419157,120.82920842,118.89819302,120.26678467,1857100,yfinance
2019-01-10,119.75120987,121.69160816,119.13253091,121.62598419,960200,yfinance
2019-01-11,121.1198461,121.5697881,120.22931652,121.05422211,1466100,yfinance
2019-01-14,120.29490089,122.30090893,119.93868918,121.16666412,992800,yfinance
2019-01-15,121.50415583,124.32570119,121.16669578,123.25708008,2168800,yfinance
2019-01-16,123.49142293,124.94436198,123.0133462,124.02572632,1318000,yfinance
2019-01-17,123.5570238,126.49105077,123.50078284,125.66614532,961800,yfinance
2019-01-18,126.65042951,127.56906528,125.36621318,126.11611176,2233600,yfinance
2019-01-22,125.38490059,125.99421082,123.26641077,124.64437103,2039800,yfinance
2019-01-23,124.77562366,126.84725588,124.17569637,125.41304016,1561200,yfinance
2019-01-24,125.52558738,126.31298959,124.35385278,124.38197327,1187300,yfinance
2019-01-25,125.46931829,126.04112522,124.29758396,124.57878876,1909800,yfinance
2019-01-28,123.83828281,123.93202729,121.93538702,123.48207092,1812900,yfinance
2019-01-29,126.54730567,129.45321249,123.74451205,129.3875885,2669700,yfinance
2019-01-30,129.57502479,130.73739003,128.32829814,130.35305786,2259000,yfinance
2019-01-31,130.19373774,131.74042126,129.88439818,130.69992065,1880100,yfinance
2019-02-01,130.36245978,132.14348994,129.72502897,130.96238708,1866700,yfinance
2019-02-04,130.28750886,130.64370643,129.00327811,130.07189941,1334100,yfinance
2019-02-05,130.36247514,131.6748118,130.30621988,130.97177124,1037300,yfinance
2019-02-06,130.37184443,131.30923185,129.3969535,131.26235962,902600,yfinance
2019-02-07,130.80306458,132.13416761,130.26876107,131.81544495,1241300,yfinance
2019-02-08,131.14989777,131.637329,129.45322856,130.79368591,996900,yfinance
2019-02-11,130.61556603,130.84054417,128.71267061,129.97814941,1015400,yfinance
2019-02-12,130.42806497,131.73103271,129.78126546,131.44044495,1076400,yfinance
2019-02-13,131.65608964,132.50911581,130.9155597,132.06854248,745700,yfinance
2019-02-14,131.46860718,133.82144484,130.84055922,133.31526184,1035600,yfinance
2019-02-15,134.26201576,135.26502732,133.69020878,135.2275238,1176600,yfinance
2019-02-19,134.80569845,136.13678702,134.05578556,134.59947205,1418800,yfinance
2019-02-20,134.13075949,134.65569415,133.12776241,133.41835022,1640900,yfinance
2019-02-21,133.40902567,133.85896776,132.32165249,133.11842346,1714600,yfinance
2019-02-22,133.41836143,135.90243253,133.35273744,135.02128601,898100,yfinance
2019-02-25,135.02129173,136.43675604,134.12140773,134.29013062,1433200,yfinance
2019-02-26,134.35574763,134.94630631,133.30587824,133.59646606,1332700,yfinance
2019-02-27,132.79027259,134.20572209,129.50941743,130.11871338,1279300,yfinance
2019-02-28,129.4794443,132.41255417,129.4794443,130.71096802,1718800,yfinance
2019-03-01,131.01177947,132.13049601,129.97766813,130.1750946,1997100,yfinance
2019-03-04,130.77680555,131.1622485,126.98821836,127.94712067,2334500,yfinance
2019-03-05,128.21035609,128.36076062,126.70619606,127.27965546,2257000,yfinance
2019-03-06,126.97882229,127.46766207,120.82118826,121.01860046,3543000,yfinance
2019-03-07,121.23482458,121.83648563,118.79997144,119.28881836,3655600,yfinance
2019-03-08,117.99149448,119.00679308,116.6095517,117.26761627,1700400,yfinance
