date,open,high,low,close,volume,source
2019-01-02,140.88873753,143.76942766,140.34082003,143.13020325,4242900,yfinance
2019-01-03,142.65702785,142.65702785,139.64350631,139.97557068,4810500,yfinance
2019-01-04,141.27890601,145.06450743,140.73100118,144.13470459,4762600,yfinance
2019-01-07,144.30904271,147.92028938,144.30904271,146.97389221,4928800,yfinance
2019-01-08,148.24407469,149.09084246,145.78675577,147.67955017,4722400,yfinance
2019-01-09,147.66290853,150.48550512,147.02368427,149.20703125,4922000,yfinance
2019-01-10,147.79575562,148.80027092,146.39276068,148.65083313,3605300,yfinance
2019-01-11,147.71269515,149.64700002,147.04025696,148.94136047,3285100,yfinance
2019-01-14,147.43050097,148.79198493,146.85767926,148.4433136,3871400,yfinance
2019-01-15,146.17691956,147.62142569,145.44636298,146.50068665,5016100,yfinance
2019-01-16,147.01540342,147.71274603,145.99429369,146.97389221,4075400,yfinance
2019-01-17,144.45844429,145.66220565,142.7898006,145.1723938,6499200,yfinance
2019-01-18,146.92409401,149.46442274,146.25995271,149.08255005,6371100,yfinance
2019-01-22,147.34745231,148.2689451,145.57917926,147.03198242,6272700,yfinance
2019-01-23,146.60032593,147.82068191,144.89017065,146.84938049,4910400,yfinance
2019-01-24,146.94069754,147.38068844,145.52940524,147.18144226,3860100,yfinance
2019-01-25,149.2485717,150.15345765,148.27727035,149.76327515,4501800,yfinance
2019-01-28,148.57615039,149.4229309,147.28108177,149.2901001,4091400,yfinance
2019-01-29,148.5678812,149.5557772,147.84562152,149.17390442,3686900,yfinance
2019-01-30,149.82137754,152.91792042,149.24855593,151.2409668,5197700,yfinance
2019-01-31,150.67645876,153.30810668,150.31118046,152.36170959,5138000,yfinance
2019-02-01,152.77679562,153.70658569,151.78059017,153.05905151,4513100,yfinance
2019-02-04,153.00093512,154.76919556,152.61904984,154.76919556,3050200,yfinance
2019-02-05,155.15112496,155.23414738,153.32474579,154.73603821,4135200,yfinance
2019-02-06,154.98508259,154.98508259,152.80172238,153.34963989,3072500,yfinance
2019-02-07,152.53606933,153.51566789,151.46513852,152.81002808,2793400,yfinance
2019-02-08,151.96324504,153.23340934,151.6892863,153.20019531,2792300,yfinance
2019-02-11,153.58207835,153.93074965,151.7141882,151.85531616,3729200,yfinance
2019-02-12,152.61905049,154.74429203,152.35340163,154.01374817,3773200,yfinance
2019-02-13,154.66129759,156.63710155,154.34582767,156.41296387,4146900,yfinance
2019-02-14,155.65750616,156.844648,154.41224611,155.83184814,2600600,yfinance
2019-02-15,157.62500075,159.90797733,156.94426523,159.71704102,4997900,yfinance
2019-02-19,159.15254813,160.38120122,158.79556698,159.66725159,3828400,yfinance
2019-02-20,159.71705636,159.72535354,158.65443545,159.26876831,3970100,yfinance
2019-02-21,159.26878542,159.7004665,158.23936575,159.24388123,3094200,yfinance
2019-02-22,159.13592224,159.84156194,159.07780403,159.71704102,3321600,yfinance
2019-02-25,160.0159075,160.5721221,157.69972951,157.71632385,6190700,yfinance
2019-02-26,154.0718948,156.46279851,151.75571634,156.32167053,13635100,yfinance
2019-02-27,155.98953425,156.48764322,152.09603271,152.47790527,8766200,yfinance
2019-02-28,152.41982662,153.73979916,152.01303714,153.69828796,8060600,yfinance
2019-03-01,154.26281056,154.8771307,151.80549199,153.72319031,5481300,yfinance
2019-03-04,154.57827579,154.61148982,151.17457265,152.59416199,5046800,yfinance
2019-03-05,152.95112297,153.68166681,152.1292469,152.75187683,3691000,yfinance
2019-03-06,153.19188841,153.55716671,152.61906677,153.12547302,4460900,yfinance
2019-03-07,153.07568377,153.26662012,150.74289838,151.51495361,4122200,yfinance
2019-03-08,150.66816947,151.01684076,149.03272692,150.45231628,3867100,yfinance
2019-03-11,151.09153935,152.08774477,150.42739818,151.45681763,3866200,yfinance
2019-03-12,152.278672,152.97602715,151.36548903,152.75187683,3777000,yfinance
2019-03-13,153.25371102,153.70533715,151.44718097,151.49736023,4528300,yfinance
2019-03-14,151.6144432,151.99917214,150.96208727,151.89044189,4393000,yfinance
2019-03-15,152.4675323,152.62644181,150.18428653,152.40898132,8059100,yfinance
2019-03-18,152.65991075,153.45444563,152.49264227,153.40426636,4395800,yfinance
2019-03-19,154.04825666,155.41151963,153.45443889,153.99807739,4437100,yfinance
2019-03-20,154.14021895,156.49873326,153.41258147,155.6456604,4772600,yfinance
2019-03-21,155.143847,158.90744436,155.143847,158.88235474,4755700,yfinance
2019-03-22,158.33037155,160.62198897,157.79510484,157.86201477,5173600,yfinance
2019-03-25,157.8620426,160.33765958,157.66131276,158.6398468,3845900,yfinance
2019-03-26,159.48456859,160.73910134,157.85367857,158.35548401,4143300,yfinance
2019-03-27,158.61477994,160.25404197,157.56097684,158.28024292,4298400,yfinance
2019-03-28,158.83219345,160.07835433,158.20492715,158.9576416,3326100,yfinance
2019-03-29,159.61834043,160.61359205,159.02452282,160.48814392,4674100,yfinance
