date,open,high,low,close,volume,source
2019-01-02,159.92516868,164.42578011,159.15802403,164.13597107,353400,yfinance
2019-01-03,163.21540913,163.40293572,159.50752554,160.96510315,486500,yfinance
2019-01-04,163.58193361,167.68192155,163.38587482,166.65905762,323100,yfinance
2019-01-07,166.15617965,168.92644386,163.89735402,167.0597229,421700,yfinance
2019-01-08,169.01163305,169.45487883,164.71559966,165.93450928,485400,yfinance
2019-01-09,166.21583029,166.21583029,161.95388592,163.91438293,607300,yfinance
2019-01-10,163.65867801,164.34911098,161.16118464,164.11044312,649000,yfinance
2019-01-11,163.65867787,166.0197989,161.42542299,165.80670166,606800,yfinance
2019-01-14,164.76674762,167.94615401,163.74388372,167.09376526,685600,yfinance
2019-01-15,166.82949488,168.84965167,166.06235036,168.33822632,437400,yfinance
2019-01-16,167.80983183,168.3383219,165.18447194,166.70173645,354000,yfinance
2019-01-17,165.38050554,169.71916211,165.38050554,168.02290344,320500,yfinance
2019-01-18,168.77296538,171.88417898,168.77296538,170.72492981,316700,yfinance
2019-01-22,170.10270768,170.1112399,166.29252869,167.49440002,354500,yfinance
2019-01-23,165.64468966,170.44364198,164.96277614,167.58813477,252600,yfinance
2019-01-24,168.15928252,170.96364931,167.23018173,169.66801453,195400,yfinance
2019-01-25,171.50917351,174.33909785,170.99773498,172.25074768,268400,yfinance
2019-01-28,170.61417161,174.47549243,170.25616982,174.38172913,254700,yfinance
2019-01-29,174.7823686,177.68048602,174.41583456,175.97570801,180500,yfinance
2019-01-30,177.2457531,178.86528684,173.83619744,177.97027588,229300,yfinance
2019-01-31,177.02414285,178.13225116,175.2937942,175.97570801,401200,yfinance
2019-02-01,177.03264551,178.31122881,174.86757051,175.90748596,371400,yfinance
2019-02-04,175.90747595,180.18647145,175.90747595,180.1353302,251400,yfinance
2019-02-05,180.05863971,180.75759186,177.98732788,180.54449463,218100,yfinance
2019-02-06,180.16944835,181.14970344,179.06987232,179.91374207,316900,yfinance
2019-02-07,178.97607392,179.8284627,177.05819916,179.20622253,253900,yfinance
2019-02-08,178.4731909,179.29147695,176.65759839,178.37089539,311200,yfinance
2019-02-11,179.27444369,180.36550047,178.01289873,179.4704895,341500,yfinance
