date,open,high,low,close,volume,source
2019-01-02,33.69572204,33.87118003,32.77058518,32.96199417,4318100,yfinance
2019-01-03,32.94603353,33.56810724,32.87425556,33.24111938,3745400,yfinance
2019-01-04,33.37669655,33.69571041,33.1454147,33.25706863,2488700,yfinance
2019-01-07,33.19326441,33.95092004,32.94603156,33.6558342,3332200,yfinance
2019-01-08,33.64786242,33.92700035,33.35277654,33.74356842,2689600,yfinance
2019-01-09,33.74356008,34.25397977,33.5122752,34.01472092,4405600,yfinance
2019-01-10,34.10244101,34.54108571,33.87115921,34.49323273,3863300,yfinance
2019-01-11,34.53332285,34.59743511,33.98835488,34.09254074,3355200,yfinance
2019-01-14,34.02039881,34.40508139,33.76394376,34.2287674,2722400,yfinance
2019-01-15,34.28488053,34.86991905,34.28488053,34.85389328,2065200,yfinance
2019-01-16,34.94204218,35.00615749,34.27686267,34.33296204,3284100,yfinance
2019-01-17,34.44515454,34.74168015,34.35699754,34.74168015,1704000,yfinance
2019-01-18,34.77373565,35.15040535,34.67756576,35.13437653,2265500,yfinance
2019-01-22,35.18247782,35.22254836,34.18871176,34.35700989,2512800,yfinance
2019-01-23,34.39707185,34.66955578,34.04444685,34.2367897,2084200,yfinance
2019-01-24,33.83607994,33.99636209,33.03465694,33.32316971,4683100,yfinance
2019-01-25,33.36322939,33.71585429,33.13882894,33.22698593,3339200,yfinance
2019-01-28,33.25904461,33.571599,33.18691644,33.53152847,3280500,yfinance
2019-01-29,33.51550335,33.58763153,33.33117646,33.45940399,1585900,yfinance
2019-01-30,33.45939885,33.57961348,33.13882853,33.28308487,2664300,yfinance
2019-01-31,33.2991143,33.92422611,33.14684508,33.91621017,4112800,yfinance
2019-02-01,33.90018192,34.06046708,33.53152819,33.65975571,2107500,yfinance
2019-02-04,33.65976821,33.73990929,33.43537073,33.69182587,1951000,yfinance
2019-02-05,33.70785331,33.88416429,33.49948161,33.78799438,2990100,yfinance
2019-02-06,33.78798389,33.99635246,33.64372754,33.74791336,1777300,yfinance
2019-02-07,33.43536122,34.05245716,33.31514658,34.04444122,2343600,yfinance
2019-02-08,33.87613425,34.42911476,33.87613425,34.41308594,3088600,yfinance
2019-02-11,34.58141072,34.7096383,34.40509664,34.57339478,2272700,yfinance
2019-02-12,34.55735528,35.22253777,34.55735528,35.0782814,2272200,yfinance
2019-02-13,35.03821053,35.1824669,34.64551196,34.86189651,2027600,yfinance
2019-02-14,34.68558193,34.85388307,34.42912685,34.50125504,2090300,yfinance
2019-02-15,34.81380736,35.1183489,34.46118241,34.62146759,5896700,yfinance
2019-02-19,34.67756886,34.84586693,34.39706901,34.70161057,3058800,yfinance
2019-02-20,34.70160141,34.8138001,34.13259204,34.56536102,3484500,yfinance
2019-02-21,34.01238651,34.01238651,33.18692191,33.65174866,4465100,yfinance
2019-02-22,33.04266275,34.40508217,32.89039352,34.38905334,5003900,yfinance
2019-02-25,34.46118436,34.51728371,33.92423249,34.08451462,3944900,yfinance
2019-02-26,34.15663849,34.18068325,33.65174433,33.79599762,4704200,yfinance
2019-02-27,33.5956434,34.42111099,33.57961764,34.38905334,2137200,yfinance
2019-02-28,34.38104105,34.90998,34.38104105,34.74969482,2763900,yfinance
2019-03-01,34.71764712,34.84587469,34.44516315,34.77374649,1651400,yfinance
2019-03-04,34.86189745,34.91799681,34.11657388,34.47721481,2052900,yfinance
2019-03-05,34.38105351,34.92602148,34.33296702,34.85389328,1965200,yfinance
2019-03-06,34.85387749,34.96607618,34.63749297,34.83784866,1828900,yfinance
2019-03-07,34.85388967,35.02218777,34.70161733,34.81381607,2035400,yfinance
2019-03-08,34.87792392,34.95806499,34.30089847,34.45317078,1814600,yfinance
2019-03-11,34.30090121,34.44515759,33.85210632,34.42111588,2655200,yfinance
2019-03-12,34.41309927,34.45317286,33.90820503,33.9883461,2219300,yfinance
2019-03-13,34.07650029,34.50926937,33.95628564,34.29288483,1767400,yfinance
2019-03-14,34.29288471,34.38104171,34.08451306,34.22075653,1418200,yfinance
2019-03-15,34.16466183,34.48522918,33.98033492,34.10856247,6112100,yfinance
2019-03-18,33.98032857,34.31692469,33.86812681,34.10054016,2309100,yfinance
