date,open,high,low,close,volume,source
2019-01-02,113.10785665,113.71626161,111.58231685,113.55281067,268500,yfinance
2019-01-03,113.24407728,113.33488183,109.74805028,110.25656128,295300,yfinance
2019-01-04,112.5085392,117.55735319,112.00002132,117.45746613,429400,yfinance
2019-01-07,117.54825688,120.44496785,116.92169383,119.70944214,589500,yfinance
2019-01-08,120.96258383,122.57892825,120.76280967,122.49719238,420800,yfinance
2019-01-09,123.13284145,123.85927777,122.02500804,123.07834625,337700,yfinance
2019-01-10,122.5698319,124.08628916,121.63453199,124.01365662,281600,yfinance
2019-01-11,123.43248065,124.30422358,122.10672197,124.00456238,276500,yfinance
2019-01-14,123.3031499,123.95901883,122.65638525,122.88411713,171600,yfinance
2019-01-15,122.9661209,123.9408062,121.54506218,122.65639496,202200,yfinance
2019-01-16,123.01163461,124.57843091,122.82034763,123.74037933,303100,yfinance
2019-01-17,123.2394027,126.46409455,123.2394027,125.56227112,430900,yfinance
2019-01-18,126.84664858,128.73227509,126.01770126,128.23126221,502100,yfinance
2019-01-22,126.77384631,127.15643439,124.31434352,125.34369659,306100,yfinance
2019-01-23,125.98127726,126.85575989,123.67663178,123.80416107,309300,yfinance
2019-01-24,124.05928475,125.57142854,123.66757848,124.57850647,297900,yfinance
2019-01-25,126.09060736,126.88310999,124.94284349,125.03392792,263200,yfinance
2019-01-28,122.82945749,124.44180301,122.49241877,123.56730652,379300,yfinance
2019-01-29,124.30516642,126.81932119,124.30516642,126.71001434,358400,yfinance
2019-01-30,119.5592514,125.91752236,118.42059186,124.88818359,545400,yfinance
2019-01-31,124.82442606,126.38211859,124.10479926,125.58049774,432200,yfinance
2019-02-01,125.48025558,126.82842431,124.96102026,125.77175903,265300,yfinance
2019-02-04,125.81735125,125.96310304,125.21614942,125.82646942,203600,yfinance
2019-02-05,125.70797955,126.49137766,125.1158823,126.02680969,268500,yfinance
2019-02-06,125.58048048,126.77379342,125.58048048,125.88108826,203700,yfinance
2019-02-07,124.97016504,125.69890993,124.10478656,125.57138062,354700,yfinance
2019-02-08,125.1068173,127.59366013,125.1068173,127.54811096,403400,yfinance
2019-02-11,127.73028928,128.09465481,127.01064857,127.8578186,280500,yfinance
2019-02-12,128.68679213,131.66551644,128.12200736,130.23536682,325700,yfinance
2019-02-13,130.68168908,131.26468223,129.21509498,129.32440186,354200,yfinance
2019-02-14,128.69585462,130.18977538,128.20395982,128.51367188,441000,yfinance
2019-02-15,129.20598387,131.37399628,128.96914767,131.28289795,260900,yfinance
2019-02-19,130.80010479,131.68370577,129.76164777,129.84362793,275000,yfinance
2019-02-20,129.88917128,130.77277222,129.52480577,130.41751099,214300,yfinance
2019-02-21,129.66143119,130.09868644,128.86892863,129.77075195,310100,yfinance
2019-02-22,130.26260518,131.76562968,129.74336994,131.67454529,314400,yfinance
2019-02-25,132.34866062,132.98632104,131.62903396,131.92964172,312700,yfinance
2019-02-26,131.47418774,132.25758606,130.6634627,130.75454712,233400,yfinance
2019-02-27,130.4630613,132.28491663,130.14423106,132.04808044,269900,yfinance
2019-02-28,131.86584998,131.91139913,130.48125029,131.26464844,278700,yfinance
2019-03-01,132.33955289,132.54906233,131.01871073,131.94786072,183200,yfinance
2019-03-04,132.77682782,133.60577543,131.44688105,132.58554077,253300,yfinance
2019-03-05,132.58550533,133.44177943,131.62902864,131.84765625,369700,yfinance
2019-03-06,131.82036081,133.25961443,131.82036081,132.16650391,221500,yfinance
2019-03-07,132.19380114,132.35777533,130.14421416,131.00048828,196800,yfinance
2019-03-08,129.84362495,130.5632656,129.53391288,130.22622681,267700,yfinance
2019-03-11,130.23532919,133.78794152,130.23532919,133.67863464,350400,yfinance
