date,open,high,low,close,volume,source
2019-01-02,109.72716439,111.38957599,109.35682847,110.75588226,1067000,yfinance
2019-01-03,110.51721655,111.10153384,107.93307767,108.02360535,889900,yfinance
2019-01-04,109.51320228,112.43475116,108.57499947,112.03150177,694100,yfinance
2019-01-07,111.69408521,113.80089764,111.64470876,113.31534576,653500,yfinance
2019-01-08,113.85025868,114.17945593,111.94096488,112.82154083,748100,yfinance
2019-01-09,113.2413237,113.2413237,111.10980968,112.40188599,766800,yfinance
2019-01-10,111.64467721,112.03147607,110.78877705,111.69405365,737200,yfinance
2019-01-11,110.60777864,111.941006,110.17160312,111.06041718,920200,yfinance
2019-01-14,110.29502965,110.73120507,109.34860158,109.85061646,485400,yfinance
2019-01-15,109.5132092,109.95760985,108.99473132,109.94114685,557700,yfinance
2019-01-16,109.87533309,110.61601775,109.6449012,110.58309174,868200,yfinance
2019-01-17,110.55838525,111.85046118,110.53369702,111.51303864,543600,yfinance
2019-01-18,112.03974825,114.12187274,111.4307426,113.61985779,499600,yfinance
2019-01-22,114.43460136,114.81316258,112.92855659,113.6280899,550600,yfinance
2019-01-23,113.96549595,114.45106041,112.0562018,113.0273056,483600,yfinance
2019-01-24,112.665186,113.5128486,112.54174487,112.9203186,625300,yfinance
2019-01-25,114.02311464,114.69794717,113.27420486,113.40588379,357800,yfinance
2019-01-28,112.33603266,113.21662151,112.08913777,112.72283173,528600,yfinance
2019-01-29,112.36893924,114.40992516,112.36893924,114.34408569,524200,yfinance
2019-01-30,114.96132465,115.52917914,114.08897358,114.86257172,420700,yfinance
2019-01-31,114.4345959,117.117488,113.34826364,116.68131256,917200,yfinance
2019-02-01,116.79651639,117.30675647,116.03115629,116.54962158,478500,yfinance
2019-02-04,116.82945399,117.15041351,116.16283416,117.15041351,467400,yfinance
2019-02-05,117.15040864,118.39309544,116.76360968,118.31903076,488100,yfinance
2019-02-06,117.69355137,118.50830046,117.45489435,117.95690918,302200,yfinance
2019-02-07,117.40553062,117.56189776,115.94063719,117.09279633,323700,yfinance
2019-02-08,116.48381015,117.0845906,115.35633905,116.67310333,652900,yfinance
2019-02-11,116.95290661,117.93224828,116.54141937,117.84172058,522500,yfinance
2019-02-12,118.75524813,120.35182101,117.46317186,120.05554962,656300,yfinance
2019-02-13,120.50816713,120.70568556,119.19141528,119.51237488,679800,yfinance
2019-02-14,112.97791876,114.18769207,105.39009418,109.17578125,4926100,yfinance
2019-02-15,109.94938509,111.46365498,108.01539023,108.64084625,2414000,yfinance
2019-02-19,107.90840777,108.24583032,105.21728404,105.43125916,1852400,yfinance
2019-02-20,105.46417083,108.51741157,105.46417083,106.96199036,1685400,yfinance
2019-02-21,106.73156078,106.97021785,105.39834616,105.94973755,977100,yfinance
2019-02-22,106.41059507,106.73155459,104.95392683,105.53000641,1056700,yfinance
2019-02-25,106.01559564,106.14726203,104.39432837,104.75643921,876700,yfinance
2019-02-26,104.4601526,104.4683841,103.53019368,103.69478607,915900,yfinance
2019-02-27,103.67009129,105.01976887,103.09400542,104.80579376,1304300,yfinance
2019-02-28,105.1350039,105.38189879,104.51777296,104.92926025,1012300,yfinance
2019-03-01,105.38185449,105.93324572,104.34490518,105.23371887,886600,yfinance
2019-03-04,105.8427579,106.23778217,104.08159285,105.30782318,666700,yfinance
2019-03-05,105.34072655,105.60408439,104.29555179,104.44368744,590000,yfinance
2019-03-06,104.54245873,105.15968966,104.16389118,104.32848358,612100,yfinance
2019-03-07,104.31201267,104.52598778,101.80193805,102.46855164,1237000,yfinance
2019-03-08,101.80193608,103.390277,101.80193608,103.2009964,1127600,yfinance
2019-03-11,103.44789094,104.3367049,103.1433944,103.97459412,626500,yfinance
2019-03-12,104.06511109,105.1102921,103.73592635,103.84291077,732700,yfinance
