date,open,high,low,close,volume,source
2019-01-02,181.03998769,185.11456682,180.67129064,183.84776306,1485600,yfinance
2019-01-03,180.80362691,182.6849352,177.92968279,178.2227478,2015900,yfinance
2019-01-04,181.33308102,187.44968219,179.39505186,185.29421997,1736400,yfinance
2019-01-07,184.66082118,189.46334665,184.66082118,188.12091064,1175400,yfinance
2019-01-08,189.86037313,192.72486894,187.26058216,192.63032532,1654000,yfinance
2019-01-09,193.35997048,194.25068324,189.83503009,192.03338623,1643200,yfinance
2019-01-10,191.1710817,196.42058112,190.56464117,195.25508118,1507300,yfinance
2019-01-11,194.66763045,196.14582858,193.35998696,195.34039307,1479600,yfinance
2019-01-14,193.0662531,195.52044151,192.27030245,194.39283752,1058000,yfinance
2019-01-15,194.61081341,199.22544817,194.61081341,198.80851746,1559900,yfinance
2019-01-16,199.92659873,203.13884116,198.27783163,198.97903442,1340700,yfinance
2019-01-17,197.57664907,200.98788672,197.57664907,200.62780762,1106400,yfinance
2019-01-18,202.94936708,204.02960455,199.8318861,202.65562439,1623000,yfinance
2019-01-22,201.67962331,204.50337591,199.8129201,201.20584106,1656500,yfinance
2019-01-23,201.83116651,205.13817064,198.89371182,201.11102295,1454700,yfinance
2019-01-24,201.20583298,202.37134767,199.24438208,201.03527832,966200,yfinance
2019-01-25,203.34735208,204.20962481,201.60382237,203.06307983,1127500,yfinance
2019-01-28,201.67012286,201.73644485,198.75162292,199.98345947,972500,yfinance
2019-01-29,200.13508757,200.7604691,196.79965676,197.40609741,995700,yfinance
2019-01-30,198.72318369,203.39466869,198.6094806,202.8735199,1251400,yfinance
2019-01-31,202.3998081,206.00054208,202.11553583,204.50340271,2792300,yfinance
2019-02-01,204.42753577,205.48880321,201.51850631,203.20516968,1935000,yfinance
2019-02-04,205.50776331,210.70041197,204.25697142,209.32644653,2256000,yfinance
2019-02-05,209.81917557,213.64734379,209.59176937,212.71873474,1818200,yfinance
2019-02-06,212.39652544,213.059832,209.48751065,212.8039856,915900,yfinance
2019-02-07,210.51088936,211.72377051,208.93792914,209.38328552,1166400,yfinance
2019-02-08,207.81028967,213.11665464,207.35546293,213.04084778,1400600,yfinance
2019-02-11,214.93602698,215.40033873,212.87981404,213.64733887,1472900,yfinance
2019-02-12,215.64673257,217.23863401,213.96953934,216.95437622,1394900,yfinance
2019-02-13,217.93979844,218.41358061,216.17732819,216.60372925,1133100,yfinance
2019-02-14,215.71299802,219.266364,214.63277535,218.67887878,1356200,yfinance
2019-02-15,221.10466475,221.47421428,219.18111026,221.08572388,1142500,yfinance
2019-02-19,221.12360043,222.45966953,220.41292722,222.32701111,1398700,yfinance
2019-02-20,223.37882023,224.07053815,221.46473624,223.59675598,1904400,yfinance
2019-02-21,222.70606995,224.34535238,220.75408951,222.70606995,2289200,yfinance
2019-02-22,224.30744755,238.37878478,224.30744755,237.78181458,3333700,yfinance
2019-02-25,234.14315134,236.56891371,232.26696356,234.7306366,2876900,yfinance
2019-02-26,233.38511742,236.24676599,232.54178567,235.85826111,1306900,yfinance
2019-02-27,234.56956147,236.76790328,233.55566066,236.7489624,1524800,yfinance
2019-02-28,236.27519452,237.27961049,233.93470924,234.17160034,1677800,yfinance
2019-03-01,236.89106671,238.80515058,235.59290829,237.27957153,1943100,yfinance
2019-03-04,237.53541306,238.97571485,232.18168052,235.94351196,1447400,yfinance
2019-03-05,235.17600887,235.79191994,232.99660787,234.13368225,1357500,yfinance
2019-03-06,234.37056524,235.98142176,231.88795125,233.96311951,800400,yfinance
2019-03-07,233.26193286,234.49376951,231.45208134,232.56072998,960700,yfinance
2019-03-08,230.08756198,233.17661628,227.42489425,232.98710632,1080600,yfinance
2019-03-11,234.48427039,237.59228017,233.60302806,237.40275574,1467700,yfinance
2019-03-12,236.66369162,238.67253809,235.37500339,237.17538452,1326200,yfinance
2019-03-13,237.9239082,242.34903159,237.9239082,240.34967041,1374100,yfinance
2019-03-14,239.69588785,243.4387642,239.62955141,243.30609131,1497500,yfinance
2019-03-15,243.0502531,246.2340554,242.82284691,244.5947876,3496100,yfinance
2019-03-18,244.70853738,246.12988417,242.97450704,244.20632935,1427000,yfinance
2019-03-19,245.05907837,245.65604852,241.2309249,242.63331604,1477200,yfinance
2019-03-20,242.74699588,244.15888624,240.61497638,242.56697083,1129000,yfinance
2019-03-21,241.27832226,247.03950096,241.27832226,246.95422363,1177000,yfinance
2019-03-22,244.81270031,246.02561038,239.23156158,239.43054199,1544900,yfinance
2019-03-25,239.12735807,240.78559581,237.573353,240.52027893,1525900,yfinance
2019-03-26,242.2542729,244.00727249,240.94662964,242.56697083,916900,yfinance
2019-03-27,244.20631101,244.71800391,239.85699366,241.98901367,966800,yfinance
2019-03-28,243.09758485,246.12031697,241.79942652,245.62759399,1285900,yfinance
2019-03-29,246.59409596,247.91122407,245.40018474,247.70275879,1418300,yfinance
2019-04-01,250.64970155,252.35533466,247.6175131,251.81521606,1245700,yfinance
2019-04-02,255.01791858,255.06528522,250.93391982,254.19354248,1255800,yfinance
2019-04-03,256.0603031,257.87015432,254.34521408,254.97058105,1957100,yfinance
2019-04-04,255.22639657,255.77597102,245.04953845,248.85876465,1945600,yfinance
2019-04-05,249.60738121,250.78235159,247.30477816,247.97756958,1119800,yfinance
2019-04-08,248.07237558,248.51773206,244.1115629,247.08692932,1630400,yfinance
2019-04-09,245.31171568,247.96017269,245.31171568,245.76734924,1019900,yfinance
2019-04-10,246.73566869,247.76087335,244.6567533,245.94775391,2061500,yfinance
2019-04-11,247.51399339,247.51399339,245.586966,246.42233276,1329700,yfinance
2019-04-12,247.69444107,248.55828523,245.1883689,246.86857605,2117700,yfinance
2019-04-15,247.27672611,248.28295566,246.51731742,247.6469574,1595600,yfinance
2019-04-16,248.52028612,248.81455918,243.14741289,244.90354919,1043400,yfinance
2019-04-17,246.54584039,246.85908857,242.20764429,243.27082825,1803700,yfinance
2019-04-18,245.12182651,245.12182651,241.68545516,244.69464111,1370900,yfinance
2019-04-22,243.11886883,248.48229713,242.8530874,248.32090759,1068900,yfinance
2019-04-23,248.72910954,252.90594413,248.72910954,252.20346069,1520400,yfinance
2019-04-24,252.89646078,253.77927995,250.47579115,250.64668274,1025900,yfinance
2019-04-25,250.61819192,250.97892119,247.229272,250.45680237,987200,yfinance
2019-04-26,233.92046904,240.98308114,226.21235655,240.71728516,5424300,yfinance
2019-04-29,239.9483111,242.25504303,233.60714484,235.16395569,2419500,yfinance
2019-04-30,235.78103729,238.94212622,235.11653289,238.3250885,1480900,yfinance
2019-05-01,239.68254305,239.85340566,231.2150085,231.48080444,1372100,yfinance
2019-05-02,231.24351549,235.32538851,230.77836528,233.4743042,1463400,yfinance
2019-05-03,233.62620188,237.48974577,233.55974564,236.23670959,1202900,yfinance
2019-05-06,231.63269886,236.31263439,231.17705069,235.8759613,854900,yfinance
2019-05-07,232.57247441,234.49950232,229.35443136,232.0124054,1439500,yfinance
2019-05-08,231.07264687,233.47431279,229.64873358,231.73713684,2088900,yfinance
2019-05-09,229.52527052,230.78780842,225.66172754,229.06013489,1646300,yfinance
2019-05-10,228.3576945,233.14205076,225.60480155,232.22125244,1407800,yfinance
2019-05-13,225.87055094,228.87975168,224.05743177,224.91177368,1256400,yfinance
2019-05-14,226.31678231,231.00620574,226.02250922,228.76591492,1704800,yfinance
2019-05-15,227.40837091,231.99337199,226.91474373,230.80677795,985600,yfinance
2019-05-16,231.6232029,236.75878641,231.6232029,234.99313354,1044500,yfinance
2019-05-17,233.14203378,237.09100827,232.69587321,232.99963379,1294000,yfinance
2019-05-20,230.36066871,232.87625731,228.42415319,231.32893372,957400,yfinance
2019-05-21,233.29389645,234.60390103,231.67064378,233.59767151,979300,yfinance
2019-05-22,232.40157797,235.51519969,232.40157797,234.97410583,865500,yfinance
2019-05-23,232.64838238,234.12924947,227.95896028,229.0696106,1552100,yfinance
2019-05-24,238.49592027,245.29272009,236.03728635,244.41940308,2702600,yfinance
2019-05-28,243.39422626,246.10916919,241.27734601,242.72973633,3059700,yfinance
2019-05-29,241.07801181,242.60634594,235.970905,236.95814514,1674900,yfinance
2019-05-30,237.31883802,238.73326351,233.38883864,235.49623108,1154700,yfinance
2019-05-31,232.76236776,234.14831648,231.23403351,232.43013,1362000,yfinance
2019-06-03,232.76231139,235.95187712,224.74093763,225.99398804,1638600,yfinance
2019-06-04,228.8228594,234.76531875,225.7187245,234.565979,1664300,yfinance
2019-06-05,236.75880091,239.6730691,235.71459209,239.33132935,1130100,yfinance
2019-06-06,240.0148276,241.47672007,237.4233094,240.35656738,1055600,yfinance
2019-06-07,241.14441782,247.38116387,240.93557608,244.40992737,1222000,yfinance
2019-06-10,246.67865064,250.58018696,246.08063158,247.30517578,1157400,yfinance
2019-06-11,249.46958442,250.60872658,242.01778059,243.70750427,1209400,yfinance
2019-06-12,243.69792674,245.67240638,242.6727078,244.33395386,825900,yfinance
2019-06-13,245.68200205,246.24207115,242.99555051,244.1441803,1756100,yfinance
2019-06-14,243.36573227,244.28653058,241.06848752,241.23936462,1234200,yfinance
2019-06-17,241.14438285,243.24227298,240.49888266,241.81837463,1282100,yfinance
2019-06-18,244.25807355,246.19460366,243.15691051,245.12191772,1216300,yfinance
2019-06-19,246.13752206,250.02955534,244.96040136,249.32707214,1032800,yfinance
2019-06-20,252.31736671,254.81396542,250.59918071,253.13375854,1750600,yfinance
2019-06-21,254.25394196,254.47228575,248.20706176,248.24504089,1856900,yfinance
2019-06-24,249.7258794,250.72260695,248.11209968,249.03289795,1188500,yfinance
2019-06-25,249.37467048,249.37467048,243.63153666,244.42892456,1015400,yfinance
2019-06-26,246.13765302,247.27676624,243.37525783,243.48916626,1293500,yfinance
2019-06-27,244.59030106,246.05219328,243.11890682,244.90354919,1459600,yfinance
2019-06-28,245.0079862,248.71965649,244.67573402,248.0741272,1478900,yfinance
2019-07-01,252.5357453,253.43756856,250.01066914,250.79858398,973100,yfinance
2019-07-02,251.70978369,252.84889641,249.37457511,252.82041931,720200,yfinance
2019-07-03,254.310946,257.03536254,252.28898419,256.46582031,774700,yfinance
2019-07-05,255.3550331,257.092194,251.74779887,256.81692505,894800,yfinance
2019-07-08,255.79171168,257.54787676,254.20643817,257.37701416,863800,yfinance
2019-07-09,256.67331388,257.5766739,255.66530816,257.39599609,1135500,yfinance
2019-07-10,259.65927795,262.3789354,259.31695927,261.32339478,1132200,yfinance
2019-07-11,262.40739277,265.11750195,260.71474983,264.565979,1867300,yfinance
2019-07-12,264.74668359,268.00834507,264.57552428,267.82766724,1199700,yfinance
2019-07-15,268.16047527,268.88318654,266.25862793,268.68347168,990800,yfinance
