date,open,high,low,close,volume,source
2019-01-02,156.5,157.74333191,153.92333984,155.34333801,2396100,yfinance
2019-01-03,153.27999878,154.5,148.82000732,150.08000183,2799300,yfinance
2019-01-04,152.69332886,159.19667053,152.24333191,157.22666931,2759700,yfinance
2019-01-07,157.33332825,161.63000488,157.22332764,159.47999573,2177400,yfinance
2019-01-08,161.2333374,161.86332703,157.0166626,160.99667358,2241600,yfinance
2019-01-09,167.0,173.16333008,164.65666199,172.36999512,4309200,yfinance
2019-01-10,170.15666199,173.24000549,170.06333923,172.69000244,2943000,yfinance
2019-01-11,171.66667175,172.19667053,167.10667419,168.44000244,2971200,yfinance
2019-01-14,167.0,168.22999573,166.34666443,167.57000732,1919700,yfinance
2019-01-15,167.70666504,172.14666748,167.70666504,171.82000732,2603700,yfinance
2019-01-16,172.81666565,175.27667236,171.93666077,171.97666931,1886100,yfinance
2019-01-17,170.97000122,178.37666321,170.41000366,178.09333801,2963100,yfinance
2019-01-18,179.80000305,181.25,175.8999939,180.8500061,3112800,yfinance
2019-01-22,179.02000427,179.8833313,177.08332825,178.92666626,2185500,yfinance
2019-01-23,178.74667358,179.51333618,173.80332947,176.6499939,2279700,yfinance
2019-01-24,178.0,178.91000366,176.22000122,178.70666504,1964400,yfinance
2019-01-25,172.0,175.30000305,169.61000061,171.67999268,6068400,yfinance
2019-01-28,169.69999695,170.3666687,165.01333618,165.57666016,2828700,yfinance
2019-01-29,165.66999817,167.41333008,162.21333313,164.75,2528100,yfinance
2019-01-30,165.75999451,169.7666626,163.96333313,169.49333191,2197500,yfinance
2019-01-31,170.05332947,175.32000732,169.08000183,174.54666138,3026700,yfinance
2019-02-01,174.28334045,176.0,172.66667175,174.8833313,2147700,yfinance
2019-02-04,174.19000244,174.41333008,172.47332764,174.14332581,1296900,yfinance
2019-02-05,173.96333313,175.94000244,172.67999268,174.29666138,1730100,yfinance
2019-02-06,173.78666687,174.62333679,171.1000061,173.9833374,1517100,yfinance
