date,open,high,low,close,volume,source
2019-01-02,125.90000153,126.94000244,124.87000275,125.84999847,561000,yfinance
2019-01-03,124.40000153,125.04000092,122.5,123.19000244,776500,yfinance
2019-01-04,125.04000092,128.08000183,124.37000275,126.36000061,665000,yfinance
2019-01-07,125.98999786,127.70999908,125.04000092,126.33999634,991900,yfinance
2019-01-08,127.05999756,128.8999939,127.05000305,128.46000671,558500,yfinance
2019-01-09,128.42999268,128.78999329,125.83000183,126.94999695,788800,yfinance
2019-01-10,126.26000214,128.38000488,126.20999908,128.24000549,487000,yfinance
2019-01-11,127.88999939,129.32000732,126.87999725,129.11000061,462500,yfinance
2019-01-14,127.86000061,129.30999756,127.20999908,127.30000305,358100,yfinance
2019-01-15,127.29000092,129.80999756,126.87000275,129.0,375300,yfinance
2019-01-16,129.05999756,129.72999573,128.3999939,129.1000061,558600,yfinance
2019-01-17,128.72999573,130.11999512,128.36999512,129.11000061,342700,yfinance
2019-01-18,129.97999573,130.30000305,128.28999329,129.74000549,751500,yfinance
2019-01-22,129.25,130.42999268,128.19999695,129.88000488,563900,yfinance
2019-01-23,131.00999451,131.91000366,129.22000122,130.00999451,430100,yfinance
2019-01-24,129.88999939,131.07000732,129.66000366,130.36999512,319100,yfinance
2019-01-25,131.41000366,132.3500061,131.05999756,131.86999512,367500,yfinance
2019-01-28,131.19999695,132.38999939,130.50999451,132.17999268,584000,yfinance
2019-01-29,132.13999939,132.36000061,130.17999268,131.97000122,392700,yfinance
2019-01-30,132.46000671,134.19000244,131.71000671,133.91000366,438800,yfinance
2019-01-31,133.86000061,135.97000122,133.38999939,135.88999939,833500,yfinance
2019-02-01,136.05000305,139.00999451,136.05000305,138.33999634,727700,yfinance
2019-02-04,138.69999695,143.25,137.99000549,143.25,1640100,yfinance
2019-02-05,129.11999512,141.49000549,127.06999969,141.0,3795700,yfinance
2019-02-06,139.0,143.44000244,137.0,143.00999451,2048200,yfinance
2019-02-07,141.32000732,141.47000122,137.86000061,139.1499939,967600,yfinance
2019-02-08,138.08000183,139.22000122,137.52000427,138.74000549,634500,yfinance
2019-02-11,138.86000061,141.46000671,138.72999573,140.63000488,720800,yfinance
2019-02-12,141.27000427,141.77999878,139.77999878,141.38999939,508400,yfinance
2019-02-13,142.0,142.72000122,141.11000061,141.49000549,483200,yfinance
2019-02-14,141.1499939,142.91999817,140.69999695,142.55999756,350200,yfinance
2019-02-15,143.46000671,144.02000427,141.91000366,143.3500061,391400,yfinance
2019-02-19,142.6499939,142.6499939,141.1000061,141.63000488,471300,yfinance
2019-02-20,142.21000671,142.22999573,140.55999756,141.1000061,382100,yfinance
2019-02-21,141.28999329,142.72999573,140.17999268,141.80000305,512400,yfinance
2019-02-22,142.03999329,142.86999512,141.69999695,142.30000305,366100,yfinance
2019-02-25,142.91999817,143.75,142.0,142.33000183,371200,yfinance
2019-02-26,141.99000549,143.3500061,141.75999451,143.11999512,338700,yfinance
2019-02-27,142.3999939,144.0,142.27999878,143.86000061,378500,yfinance
2019-02-28,143.57000732,143.61999512,142.21000671,142.30000305,430100,yfinance
2019-03-01,143.22999573,145.08000183,142.46000671,144.94000244,450300,yfinance
2019-03-04,145.3999939,145.83999634,142.07000732,143.88000488,378400,yfinance
2019-03-05,144.08999634,144.71000671,142.97000122,143.5,293400,yfinance
2019-03-06,143.38000488,143.69000244,142.25,142.72000122,273100,yfinance
2019-03-07,142.03999329,142.80999756,140.58999634,141.69000244,500400,yfinance
2019-03-08,140.6499939,141.32000732,139.5,141.25,361800,yfinance
2019-03-11,142.07000732,144.25,141.72000122,144.16000366,632700,yfinance
2019-03-12,144.66999817,145.47999573,144.00999451,144.25,346600,yfinance
2019-03-13,144.69999695,145.69000244,143.33000183,144.92999268,407300,yfinance
2019-03-14,145.05000305,145.17999268,143.44000244,144.13000488,429300,yfinance
2019-03-15,144.0,145.75999451,143.72999573,145.03999329,636700,yfinance
2019-03-18,145.63999939,147.57000732,145.0,147.21000671,523900,yfinance
2019-03-19,147.49000549,148.5,146.28999329,147.11000061,298000,yfinance
2019-03-20,147.02999878,147.57000732,144.91000366,146.44999695,287100,yfinance
2019-03-21,146.05999756,149.00999451,145.75,148.38999939,294300,yfinance
2019-03-22,147.94000244,148.77999878,145.52999878,145.91000366,332600,yfinance
2019-03-25,145.74000549,147.05000305,144.28999329,146.1000061,402200,yfinance
2019-03-26,146.78999329,148.16000366,144.69999695,148.03999329,348300,yfinance
2019-03-27,147.91000366,148.71000671,146.05999756,148.49000549,314400,yfinance
2019-03-28,149.22999573,150.13000488,148.13000488,150.03999329,516500,yfinance
2019-03-29,150.52999878,151.83000183,150.27000427,151.67999268,566800,yfinance
2019-04-01,153.08999634,155.02000427,152.42999268,154.97999573,401800,yfinance
2019-04-02,154.5,154.91999817,152.77000427,153.1000061,397700,yfinance
2019-04-03,153.97000122,154.30000305,152.74000549,153.24000549,562200,yfinance
2019-04-04,153.24000549,154.72999573,152.30000305,153.55999756,286800,yfinance
2019-04-05,153.80999756,155.8999939,153.46000671,155.08999634,242000,yfinance
