date,open,high,low,close,volume,source
2019-01-02,11.53784804,11.97350428,11.46758074,11.83296967,5222300,yfinance
2019-01-03,11.76973238,11.83999971,11.49569128,11.54487801,6000500,yfinance
2019-01-04,11.76973251,12.18430827,11.67838592,12.12809467,5041500,yfinance
2019-01-07,12.07890601,12.45132051,11.95242511,12.27565289,3884700,yfinance
2019-01-08,12.3669985,12.5215855,12.07890376,12.1421442,3998100,yfinance
2019-01-09,12.13511791,12.34591849,12.0648506,12.17025089,3957100,yfinance
2019-01-10,12.17025238,12.46537403,12.14917312,12.33186626,5046400,yfinance
2019-01-11,12.14214591,12.40213322,12.01566501,12.21241188,6079500,yfinance
2019-01-14,12.14917312,12.43726791,12.03674461,12.33186626,5212100,yfinance
2019-01-15,12.32484182,12.52158871,12.27565376,12.50753498,3587500,yfinance
2019-01-16,12.60590983,12.96427197,12.54969624,12.86589718,4262100,yfinance
2019-01-17,12.73941604,13.07669892,12.59888274,12.97129726,4877100,yfinance
2019-01-18,13.1188549,13.35073605,13.02750835,13.23830891,4682400,yfinance
2019-01-22,13.20317613,13.21722851,13.00642795,13.14696121,4573500,yfinance
2019-01-23,13.20318498,13.23831799,12.91508872,13.07670403,3707700,yfinance
2019-01-24,13.04858647,13.2804676,13.02750722,13.19614792,4371000,yfinance
2019-01-25,13.35074195,13.47722288,13.22426102,13.36479568,6294100,yfinance
2019-01-28,13.30155323,13.69504835,13.25939337,13.64586163,5609000,yfinance
2019-01-29,13.61775774,13.70207881,13.3647972,13.39290333,4277900,yfinance
2019-01-30,13.18209804,13.28749834,12.66914892,13.062644,7507400,yfinance
2019-01-31,12.92913419,13.02048209,12.6831993,12.80265331,10575300,yfinance
2019-02-01,12.89400463,13.0415648,12.76049685,12.90103149,5477400,yfinance
2019-02-04,12.95724011,13.11885395,12.80967866,13.05561352,4005300,yfinance
2019-02-05,13.09075314,13.17507421,12.97832595,13.15399361,3730200,yfinance
2019-02-06,13.13993454,13.27344093,13.0275074,13.05561352,4086600,yfinance
2019-02-07,13.03453485,13.20317691,12.72536085,12.90805531,4309800,yfinance
2019-02-08,12.82373798,12.8940053,12.4372697,12.64807034,4319100,yfinance
2019-02-11,12.74644278,12.80968323,12.6340156,12.78157711,4520100,yfinance
2019-02-12,12.92913662,13.07669812,12.8799499,13.04859066,5032300,yfinance
2019-02-13,13.18428975,13.37712639,13.14857987,13.191432,3552000,yfinance
2019-02-14,13.09144566,13.12001466,12.80576245,13.04859352,3418700,yfinance
2019-02-15,13.17715004,13.49140086,13.1057289,13.46997547,4591100,yfinance
2019-02-19,13.38426839,13.56282053,13.29856412,13.5056839,3388200,yfinance
2019-02-20,13.48425615,13.66280828,13.43426178,13.59853077,3812600,yfinance
2019-02-21,13.63423982,13.67709195,13.38426658,13.44854546,3608100,yfinance
2019-02-22,13.50568123,13.64138121,13.44854461,13.60566998,3319200,yfinance
2019-02-25,13.6985187,13.86992857,13.53425108,13.55567646,3261200,yfinance
2019-02-26,13.49853898,13.71280233,13.46997136,13.60566998,3605600,yfinance
