date,open,high,low,close,volume,source
2019-01-02,85.24163858,87.82217467,85.08326784,86.86262512,937000,yfinance
2019-01-03,86.06144866,86.50862106,84.40319712,84.67336273,662200,yfinance
2019-01-04,85.76333995,88.07371771,85.76333995,86.97442627,833600,yfinance
2019-01-07,86.76946628,88.12028722,85.87512863,86.86262512,1316900,yfinance
2019-01-08,87.60792913,89.3872868,87.3004985,89.32207489,1358500,yfinance
2019-01-09,89.75992812,90.49589518,89.02396106,90.33752441,1037900,yfinance
2019-01-10,89.92758976,90.71013956,89.3220467,90.45860291,646300,yfinance
2019-01-11,89.80648204,91.01756102,89.50836952,90.81261444,611700,yfinance
2019-01-14,90.08599193,91.54860811,89.66677349,91.30639648,789000,yfinance
2019-01-15,91.2132037,91.42746829,90.03006455,90.43997192,789300,yfinance
2019-01-16,90.63563444,91.59518416,90.14188611,90.3188858,757600,yfinance
2019-01-17,91.52994934,93.64468398,91.34363168,93.08572388,1287300,yfinance
2019-01-18,101.35839278,101.92667109,97.81829911,98.85237885,2007200,yfinance
2019-01-22,98.33996328,98.67534077,96.05753986,96.7003479,1271600,yfinance
2019-01-23,96.70966531,97.05436083,93.79375168,94.92098999,1234500,yfinance
2019-01-24,95.36815692,96.67239482,94.92098456,95.68489838,1000000,yfinance
2019-01-25,96.34630696,97.64123357,95.84324087,97.22201538,991200,yfinance
2019-01-28,95.84329211,97.64128577,94.92100734,97.3059082,1027300,yfinance
2019-01-29,97.399056,98.30270456,97.27794311,98.08843994,585200,yfinance
2019-01-30,98.04183327,100.15657467,97.44560831,99.66282654,964600,yfinance
2019-01-31,99.84914325,100.02614997,98.90822285,99.71871948,1228900,yfinance
2019-02-01,99.76531328,100.62239303,99.30883003,100.45470428,769400,yfinance
2019-02-04,100.62239774,101.22794084,99.3926826,101.20930481,656700,yfinance
2019-02-05,101.20928333,102.46694514,100.63168729,102.02909088,824000,yfinance
2019-02-06,101.81484791,102.69986753,100.70623856,101.20930481,1440900,yfinance
2019-02-07,100.82643782,101.94703999,100.35951906,101.66689301,1723000,yfinance
2019-02-08,101.35872875,102.20851721,99.49105364,102.04976654,1596000,yfinance
2019-02-11,102.15248317,102.50733885,101.47078579,102.37660217,1022900,yfinance
2019-02-12,102.83419537,104.26296571,102.79684102,104.11354828,845400,yfinance
2019-02-13,101.81629942,103.92677412,101.54548569,103.72132874,979900,yfinance
2019-02-14,102.99295873,105.14078113,102.6567766,104.69254303,1021900,yfinance
2019-02-15,105.48629274,106.3454216,105.00070033,106.07460785,1545500,yfinance
2019-02-19,105.87847894,106.83099705,105.14074656,106.2800293,1054300,yfinance
2019-02-20,106.28003378,106.88702953,105.7384135,106.26136017,732700,yfinance
2019-02-21,106.26136281,106.26136281,103.44116976,104.0761795,999400,yfinance
2019-02-22,104.24426594,104.24426594,101.4053994,101.89099884,1464900,yfinance
2019-02-25,102.38592403,103.07696165,100.21008134,100.28479004,936000,yfinance
2019-02-26,100.37817971,101.75092183,100.09803277,100.85443878,757800,yfinance
2019-02-27,100.53694266,100.93848592,99.80854347,99.9299469,461100,yfinance
2019-02-28,99.78053346,100.69569732,98.87470996,100.54627991,807700,yfinance
2019-03-01,100.65833992,101.48945468,99.82722516,100.12605286,685900,yfinance
2019-03-04,100.94783139,101.59218154,98.454487,99.07081604,883500,yfinance
2019-03-05,98.7346534,99.23891944,95.93314058,96.04519653,1435500,yfinance
2019-03-06,95.93312607,97.0257142,95.46620734,96.40937805,1078800,yfinance
2019-03-07,96.16659683,96.54012616,94.73781935,95.15805054,916700,yfinance
2019-03-08,94.51368767,95.20472539,93.02888954,95.04597473,1357600,yfinance
2019-03-11,94.86853547,97.86615971,94.63507613,97.68872833,1049900,yfinance
2019-03-12,97.69806947,98.30505807,96.16657674,97.01636505,712700,yfinance
2019-03-13,97.40857694,99.42566914,97.10974926,98.44513702,809600,yfinance
2019-03-14,98.20235805,98.72530479,97.13777671,97.24983978,667100,yfinance
2019-03-15,97.30587939,98.22104341,96.27865941,96.46543121,824700,yfinance
2019-03-18,96.23193961,97.35254156,95.97979955,97.24047852,773800,yfinance
2019-03-19,97.21249138,97.21249138,93.68258644,93.85067749,815300,yfinance
