date,open,high,low,close,volume,source
2019-01-02,102.25326693,103.79624964,101.05316201,103.21660614,1214052,yfinance
2019-01-03,101.21644162,102.43287371,99.82041067,100.987854,1112900,yfinance
2019-01-04,102.25327996,105.55150624,101.95937638,104.46570587,1508893,yfinance
2019-01-07,104.8167427,106.6128038,102.94720208,103.66562653,1911404,yfinance
2019-01-08,104.59630344,105.39637092,103.75541805,104.79224396,1423805,yfinance
2019-01-09,105.46983523,107.38835693,105.33104707,105.87802887,983114,yfinance
2019-01-10,105.37188926,107.02916945,105.37188926,106.8658905,862058,yfinance
2019-01-11,106.19644363,107.75575349,106.19644363,107.6986084,794430,yfinance
2019-01-14,106.98017776,108.17211183,106.78424448,107.06998444,1698974,yfinance
2019-01-15,106.78425024,108.45785763,106.66996005,108.2864151,791520,yfinance
2019-01-16,108.06597509,109.33954489,107.66593774,107.78839874,1249903,yfinance
2019-01-17,108.11495829,110.78456619,107.15977549,110.425354,1718180,yfinance
2019-01-18,111.56830179,112.51532103,111.09479942,112.41735077,1374451,yfinance
2019-01-22,111.85404179,111.85404179,110.04164639,110.78456879,918978,yfinance
2019-01-23,111.02947998,112.42551805,110.28656486,111.02947998,839593,yfinance
2019-01-24,110.84985473,111.85401886,110.38451604,111.32336426,784303,yfinance
2019-01-25,112.286737,113.34804645,111.70709352,112.17243958,799552,yfinance
2019-01-28,111.39686556,111.82955729,110.36821042,111.43769073,732971,yfinance
2019-01-29,111.68258865,112.04996439,110.71924233,111.5356369,661501,yfinance
2019-01-30,111.7724062,113.01332171,111.07030172,112.96434021,885222,yfinance
2019-01-31,112.78473037,114.44200312,112.27040285,113.76439667,913856,yfinance
2019-02-01,113.45416248,115.25838681,113.02963442,115.10327148,861942,yfinance
2019-02-04,115.02982238,115.31556234,113.98484005,115.08696747,649163,yfinance
2019-02-05,115.70742598,116.53198425,115.0706374,115.85437775,1011516,yfinance
2019-02-06,115.56046627,116.00948514,114.54813838,115.30738068,1551263,yfinance
2019-02-07,118.13210211,122.05079628,117.2585624,120.38534546,1891267,yfinance
2019-02-08,119.59345608,120.00981337,116.39319333,118.2382431,1274114,yfinance
2019-02-11,118.13209997,118.69540898,117.50347503,117.79737854,865900,yfinance
2019-02-12,118.27088501,120.29554068,117.63409651,119.67507935,667554,yfinance
2019-02-13,120.00982452,121.29972894,119.65061228,120.16493988,807700,yfinance
2019-02-14,118.58111385,120.08327841,117.78921003,119.81386566,926544,yfinance
2019-02-15,120.65477304,122.98965252,120.31188798,122.59778595,1936198,yfinance
2019-02-19,122.51614675,123.26722552,122.03448076,122.28755188,1239660,yfinance
2019-02-20,122.24670397,122.73654792,121.4874618,122.25486755,728315,yfinance
2019-02-21,122.42633383,122.42633383,120.5486226,121.08744812,560582,yfinance
2019-02-22,121.07928749,121.52014279,120.38535383,121.44667053,621692,yfinance
2019-02-25,122.10793817,122.36918735,120.02613014,120.08328247,573503,yfinance
2019-02-26,120.08328433,121.05478703,119.50364089,119.94449615,482362,yfinance
2019-02-27,119.70774309,120.60578083,119.06279821,120.10778046,607492,yfinance
2019-02-28,120.11593884,121.21806613,119.86285325,121.02213287,622391,yfinance
2019-03-01,121.7732135,122.55694649,120.82619434,121.42216492,768706,yfinance
2019-03-04,121.91200597,122.40185001,118.70357969,120.02613831,648930,yfinance
2019-03-05,120.21389651,121.00580034,119.02196261,120.31186676,663480,yfinance
2019-03-06,120.24656749,120.41801001,117.62594106,118.54846954,856588,yfinance
2019-03-07,118.56478959,119.53629227,118.24639534,119.03829193,705966,yfinance
2019-03-08,118.31986755,119.76488706,118.31986755,119.60977173,868460,yfinance
2019-03-11,119.9689707,121.72422069,119.37300743,121.65073395,585608,yfinance
2019-03-12,122.32019556,123.85502181,122.05079729,123.61009979,940978,yfinance
2019-03-13,124.45914717,126.85117854,123.83868584,126.4838028,1176688,yfinance
2019-03-14,126.34502381,126.34502381,124.6387622,124.76123047,1114996,yfinance
2019-03-15,124.78571844,126.60627019,124.71223168,126.01846313,1139672,yfinance
2019-03-18,126.47563211,126.90015291,125.76537141,126.45114136,985210,yfinance
2019-03-19,126.63074297,128.21455055,126.63074297,127.32467651,666390,yfinance
2019-03-20,127.01447492,127.43083225,125.18575943,125.81438446,630772,yfinance
2019-03-21,125.25105081,128.12476276,124.96531089,127.6022644,478171,yfinance
2019-03-22,127.34102229,129.04728386,125.1775855,125.98580933,680358,yfinance
2019-03-25,125.80619604,125.80619604,124.16524333,124.84284973,668834,yfinance
2019-03-26,125.07959777,125.7653677,122.72838451,123.3896637,993241,yfinance
2019-03-27,122.85086331,123.63459639,121.45483242,123.20191193,1008839,yfinance
2019-03-28,123.24272528,123.8876774,121.62627042,122.96514893,448722,yfinance
2019-03-29,123.47130898,125.2020611,123.47130898,124.89183044,575482,yfinance
2019-04-01,125.76540992,126.59812461,125.08780334,126.36952972,704453,yfinance
2019-04-02,128.7696858,129.45545575,127.57775922,128.64723206,1272019,yfinance
2019-04-03,129.29218672,129.91264802,127.17773176,127.91248322,1357690,yfinance
2019-04-04,128.07575396,128.63907017,127.65123315,128.54110718,515536,yfinance
2019-04-05,128.96562554,130.32900185,128.67172206,129.79017639,691183,yfinance
2019-04-08,129.61059557,129.798358,128.31252775,129.61875916,483875,yfinance
2019-04-09,129.52080883,130.05961992,128.53297159,128.69624329,620528,yfinance
2019-04-10,128.84316517,130.43512171,128.37781198,130.30450439,666506,yfinance
2019-04-11,130.62293394,130.81885996,128.42682821,128.88401794,491208,yfinance
2019-04-12,129.50445345,130.97395636,128.49212568,128.54110718,709109,yfinance
2019-04-15,128.92479207,130.41062193,128.42678458,129.86364746,716326,yfinance
2019-04-16,130.77805669,130.77805669,124.3530395,124.58979797,1238729,yfinance
2019-04-17,124.99795744,125.47963785,114.72773485,117.69124603,2764034,yfinance
2019-04-18,117.72391119,120.63843389,116.68709253,118.556633,1599336,yfinance
2019-04-22,118.55662091,119.88734295,117.4299957,117.7647171,1101610,yfinance
2019-04-23,118.53212731,124.62241388,118.53212731,123.51212311,1306474,yfinance
2019-04-24,123.38151344,126.64707729,123.18557294,125.69189453,920724,yfinance
2019-04-25,125.09593007,126.64706881,123.88766181,126.31234741,649745,yfinance
2019-04-26,126.45114413,126.57359787,125.12042212,126.23071289,1307870,yfinance
2019-04-29,126.68790117,127.15325444,125.23472526,126.93282318,902216,yfinance
2019-04-30,126.59810497,132.36184174,126.59810497,130.55761719,2095316,yfinance
2019-05-01,131.44744754,132.56591629,128.34515583,131.56991577,1389583,yfinance
2019-05-02,131.504588,135.68453041,130.54125634,135.21917725,1609463,yfinance
2019-05-03,135.76620512,137.09692735,132.59044037,134.66407776,1607950,yfinance
2019-05-06,132.41899997,135.31720306,132.25572827,135.06411743,824112,yfinance
2019-05-07,134.15792222,134.93350631,131.24340632,132.43533325,788843,yfinance
2019-05-08,132.17408453,134.56611649,130.80254422,133.48031616,888830,yfinance
2019-05-09,132.20674129,136.1335849,132.20674129,135.45597839,1123260,yfinance
2019-05-10,135.16205489,136.31317813,132.98229117,135.79884338,870905,yfinance
2019-05-13,133.30885229,133.45579679,131.59442727,132.27203369,747637,yfinance
2019-05-14,132.48427204,135.03958936,132.28018247,133.3414917,1002088,yfinance
2019-05-15,132.11693387,135.62743485,132.02713443,134.99880981,911063,yfinance
2019-05-16,135.38250164,137.26019849,134.39466445,134.69673157,1038637,yfinance
2019-05-17,133.18638695,136.05193529,132.99862453,134.22320557,820154,yfinance
2019-05-20,134.18241995,136.12544031,133.89669445,135.18658447,1058891,yfinance
2019-05-21,135.66821042,137.36630803,135.4477792,135.82331848,856588,yfinance
2019-05-22,135.49677913,136.87648273,135.01511321,136.71321106,684316,yfinance
2019-05-23,135.8478262,136.05193028,134.09258328,135.71720886,888714,yfinance
2019-05-24,135.97033358,136.56628983,135.01515055,136.17442322,752759,yfinance
2019-05-28,135.97848497,136.50913249,134.76205281,134.90901184,2555562,yfinance
2019-05-29,134.70487926,134.70487926,132.74553229,133.64356995,693511,yfinance
2019-05-30,133.90483801,134.68040752,132.3945024,133.37417603,472468,yfinance
2019-05-31,132.24750558,133.54555848,131.22701444,132.75366211,872302,yfinance
2019-06-03,132.97414257,135.52944591,132.97414257,133.6272583,606095,yfinance
2019-06-04,134.70487856,136.10907286,133.09658018,135.87231445,732854,yfinance
2019-06-05,136.82749255,136.82749255,131.7495265,136.20703125,938300,yfinance
2019-06-06,136.25600842,137.65205354,135.0885726,136.52542114,820387,yfinance
2019-06-07,137.4234774,137.76636242,135.7172159,136.3213501,560350,yfinance
2019-06-10,136.88466185,138.37867028,136.37850513,136.69689941,576180,yfinance
2019-06-11,137.6765826,138.22355729,135.19473679,136.01930237,576064,yfinance
2019-06-12,135.74986018,136.06009084,133.74969532,135.90496826,795361,yfinance
2019-06-13,135.92948677,137.22754012,135.04777621,137.16223145,673374,yfinance
2019-06-14,137.56226465,137.56226465,135.30086485,135.8396759,844366,yfinance
2019-06-17,136.26421472,137.03978423,135.58659373,135.62742615,563027,yfinance
2019-06-18,136.83566526,137.53776243,135.45596166,135.59475708,597830,yfinance
2019-06-19,136.38666065,138.49295228,135.52944085,138.37866211,613195,yfinance
2019-06-20,138.78682653,139.17052939,136.32948681,137.14587402,643226,yfinance
2019-06-21,138.50931018,140.20740849,138.11744357,139.44000244,1544861,yfinance
2019-06-24,139.57057507,139.72569765,137.15405299,138.23168945,822948,yfinance
2019-06-25,138.2235407,139.22770502,137.16223129,138.30519104,661385,yfinance
2019-06-26,138.78688663,138.78688663,136.49281756,137.29289246,723775,yfinance
2019-06-27,138.23167107,139.77466056,137.63571509,139.57872009,577810,yfinance
2019-06-28,139.69306411,141.27685745,139.1787293,141.15440369,1075652,yfinance
2019-07-01,142.7136972,145.18737908,141.97078209,142.89331055,988120,yfinance
2019-07-02,142.69737242,143.88931367,141.39931909,143.83216858,548477,yfinance
2019-07-03,144.34647302,145.15471124,143.41579557,143.86480713,554180,yfinance
2019-07-05,143.62806173,145.17921514,142.93412811,145.13839722,493303,yfinance
2019-07-08,144.2974799,145.12204521,142.48509213,143.58721924,886153,yfinance
2019-07-09,142.71368552,143.91379023,140.95027908,142.62388611,783721,yfinance
2019-07-10,143.07293189,143.44030768,141.91364493,142.30551147,539398,yfinance
2019-07-11,143.73418887,144.39545359,141.17070784,142.82798767,593407,yfinance
2019-07-12,142.46063654,143.71787203,141.50545368,143.23620605,919676,yfinance
2019-07-15,143.80768037,143.80768037,141.29318049,142.54226685,613894,yfinance
2019-07-16,143.35866436,144.04443447,142.35449996,142.90965271,709924,yfinance
2019-07-17,142.68105592,142.68105592,141.18706196,141.94630432,607724,yfinance
2019-07-18,141.9054742,143.14639693,141.10541399,142.84432983,490975,yfinance
2019-07-19,142.94234363,143.27706518,141.37487699,141.43202209,513790,yfinance
2019-07-22,141.74218844,142.42795841,140.46861149,140.54208374,537419,yfinance
2019-07-23,142.05242169,144.20769464,140.95027997,143.66070557,896513,yfinance
2019-07-24,143.32599048,145.67720402,143.23619106,145.39962769,807234,yfinance
2019-07-25,143.17087776,143.17087776,137.97045775,140.2318573,2393417,yfinance
2019-07-26,140.84416933,140.91764159,135.03961458,135.95397949,1718064,yfinance
2019-07-29,135.43962025,137.36631273,134.68037807,136.58256531,1286453,yfinance
2019-07-30,135.54578484,139.33386221,134.08444515,139.29302979,902566,yfinance
2019-07-31,139.41550347,139.41550347,134.2803909,136.76222229,1706191,yfinance
2019-08-01,137.16225441,137.92149684,134.81920393,135.52130127,712368,yfinance
2019-08-02,135.33347624,136.24782637,133.73334176,134.51707458,683268,yfinance
2019-08-05,132.99863153,134.01912304,128.05128211,130.43515015,1232210,yfinance
