date,open,high,low,close,volume,source
2019-01-02,211.52671265,217.20869123,210.24132772,216.74203491,1064700,yfinance
2019-01-03,214.76891192,216.1443701,210.72439027,211.29748535,1165600,yfinance
2019-01-04,214.44145036,217.36429308,213.14784491,216.99588013,1443800,yfinance
2019-01-07,217.78184222,221.05675714,216.02975075,219.48478699,1465200,yfinance
2019-01-08,221.98192357,222.48953139,219.26373821,220.95031738,1791400,yfinance
2019-01-09,221.16318908,222.87432908,220.34446038,221.49887085,1235900,yfinance
2019-01-10,220.74567801,227.34463083,220.64743454,227.19726562,1842500,yfinance
2019-01-11,225.7971626,227.4100589,223.04622157,227.38549805,1157800,yfinance
2019-01-14,226.51766948,228.85102618,224.68370029,227.20539856,1388600,yfinance
2019-01-15,227.79493631,227.87678921,223.93053515,225.96916199,1193500,yfinance
2019-01-16,225.47786022,225.71529852,221.57253364,223.01350403,1324900,yfinance
2019-01-17,222.01467193,229.23584005,221.74447747,228.2615509,1242000,yfinance
2019-01-18,230.21011187,233.64058685,229.01477505,231.59376526,2073500,yfinance
2019-01-22,230.38208237,233.0265601,227.60658007,228.90835571,1885100,yfinance
2019-01-23,230.97152724,233.93534593,229.6533861,232.11776733,1631000,yfinance
2019-01-24,233.0019488,235.99030293,231.36449174,233.54231262,1017500,yfinance
2019-01-25,235.93302557,236.85816787,234.26281227,235.00785828,1050400,yfinance
2019-01-28,233.33772169,236.12959006,231.61021581,235.68746948,1166400,yfinance
2019-01-29,230.15284595,239.77290955,230.06279777,239.10974121,2037300,yfinance
2019-01-30,240.66526883,240.69799998,234.78677882,238.79856873,1781800,yfinance
2019-01-31,237.57048896,239.74828505,235.62191089,237.17749023,1311100,yfinance
2019-02-01,238.12733808,239.54372328,236.77644021,237.90626526,1358900,yfinance
2019-02-04,238.16821091,244.84904114,237.52140814,244.61160278,1328900,yfinance
2019-02-05,245.6186495,248.05847041,243.35077963,245.17652893,1454800,yfinance
2019-02-06,245.61041548,247.81279769,244.80807735,245.47941589,1114300,yfinance
2019-02-07,244.62794322,245.91332822,242.45831726,245.72503662,1150100,yfinance
2019-02-08,244.98005514,246.95319473,243.16247604,246.84675598,1021600,yfinance
2019-02-11,247.07600853,247.87017656,244.63618739,245.65142822,1077900,yfinance
2019-02-12,246.82219607,249.15557837,246.32275846,248.98362732,840600,yfinance
2019-02-13,249.71229375,250.49009613,248.63156569,249.23744202,958500,yfinance
2019-02-14,248.36945833,248.89345654,246.36358855,246.43727112,888200,yfinance
2019-02-15,248.90176281,251.61992357,248.90176281,251.53807068,847700,yfinance
2019-02-19,250.50637592,251.01398362,248.69699281,249.85957336,929500,yfinance
2019-02-20,249.71224518,251.51345825,249.13095482,251.51345825,870600,yfinance
2019-02-21,251.39890603,251.4889792,248.30411164,249.31115723,1045000,yfinance
2019-02-22,250.45734183,251.64448366,248.81168887,251.45619202,581800,yfinance
2019-02-25,252.89713818,253.31467285,250.16256214,250.50643921,1088000,yfinance
2019-02-26,250.20348098,252.23391204,249.72043407,250.432724,871600,yfinance
