date,open,high,low,close,volume,source
2019-01-02,118.88999939,124.58999634,118.27999878,123.34999847,2085800,yfinance
2019-01-03,121.84999847,126.12000275,120.31999969,124.36000061,2896800,yfinance
2019-01-04,125.84999847,129.57000732,125.30999756,128.55000305,2184600,yfinance
2019-01-07,129.33000183,135.1000061,129.33000183,134.1000061,2860000,yfinance
2019-01-08,135.52000427,137.17999268,133.66999817,135.86000061,2322600,yfinance
2019-01-09,137.5,137.50999451,134.63999939,136.0,3339000,yfinance
2019-01-10,131.02999878,132.41000366,129.5,131.61000061,3402100,yfinance
2019-01-11,130.97000122,133.1499939,130.57000732,132.16000366,2949700,yfinance
2019-01-14,136.63999939,145.0,135.38000488,139.72999573,7152000,yfinance
2019-01-15,139.36000061,141.6499939,138.50999451,141.13000488,2619600,yfinance
2019-01-16,142.36000061,143.25,141.36999512,142.24000549,1783500,yfinance
2019-01-17,141.72999573,146.03999329,141.72999573,145.13999939,3012100,yfinance
2019-01-18,147.52000427,152.17999268,147.07000732,152.07000732,3277100,yfinance
2019-01-22,150.52000427,151.66000366,148.32000732,149.47000122,1828200,yfinance
2019-01-23,151.42999268,151.72999573,147.75,149.8500061,1602100,yfinance
2019-01-24,150.0,150.25999451,147.22999573,148.42999268,2033600,yfinance
2019-01-25,150.0,152.80999756,148.42999268,151.88999939,1731700,yfinance
2019-01-28,150.33999634,150.77000427,148.61999512,149.69999695,1417000,yfinance
2019-01-29,149.83000183,149.92999268,147.80999756,148.94999695,1297400,yfinance
2019-01-30,150.13999939,150.3999939,148.22999573,148.61000061,1380000,yfinance
2019-01-31,148.30999756,148.92999268,146.30999756,147.80999756,2517100,yfinance
2019-02-01,147.44999695,147.8500061,144.36000061,146.11999512,1749900,yfinance
2019-02-04,145.33999634,147.44999695,144.67999268,146.63999939,1689800,yfinance
2019-02-05,147.55000305,151.57000732,146.67999268,146.88999939,2138500,yfinance
2019-02-06,146.96000671,147.27000427,143.47000122,145.75999451,1452900,yfinance
2019-02-07,144.33000183,147.66999817,143.05999756,147.63000488,1803200,yfinance
2019-02-08,147.13000488,150.0,147.0,148.61999512,1450400,yfinance
2019-02-11,149.69999695,151.92999268,149.27999878,149.78999329,1509200,yfinance
2019-02-12,150.86000061,157.55000305,150.57000732,157.32000732,4021900,yfinance
2019-02-13,157.94000244,158.66999817,154.11000061,155.27000427,2090600,yfinance
2019-02-14,153.50999451,156.41999817,152.3500061,154.8500061,1121000,yfinance
2019-02-15,155.6000061,156.22999573,150.53999329,151.08999634,1925900,yfinance
2019-02-19,149.17999268,149.80000305,145.52999878,147.57000732,2451500,yfinance
2019-02-20,147.44999695,149.50999451,147.02999878,148.11999512,1396900,yfinance
2019-02-21,147.47000122,149.11000061,147.05000305,148.11000061,977300,yfinance
2019-02-22,148.69999695,149.36000061,147.5,149.25999451,966400,yfinance
2019-02-25,150.11999512,151.50999451,148.05000305,148.53999329,1216900,yfinance
2019-02-26,148.19999695,151.3999939,148.19000244,150.97999573,1469000,yfinance
2019-02-27,150.0,152.1499939,149.05000305,150.55999756,1146300,yfinance
2019-02-28,150.17999268,151.22999573,148.52999878,150.41999817,1234600,yfinance
2019-03-01,152.55999756,153.94999695,150.19000244,151.38000488,1671900,yfinance
2019-03-04,152.1000061,152.88999939,146.46000671,147.77999878,1450000,yfinance
2019-03-05,148.07000732,149.67999268,147.44999695,148.8999939,983300,yfinance
2019-03-06,149.6000061,150.22999573,147.66000366,149.08999634,805300,yfinance
2019-03-07,148.36999512,148.91999817,146.41999817,147.69999695,1465100,yfinance
2019-03-08,146.00999451,146.61999512,141.77999878,142.50999451,2785400,yfinance
2019-03-11,143.0,145.53999329,142.3500061,145.28999329,2086500,yfinance
2019-03-12,145.27999878,146.05999756,142.66999817,145.78999329,2090100,yfinance
2019-03-13,146.1499939,147.71000671,145.25,145.41000366,1309800,yfinance
2019-03-14,145.08999634,145.08999634,141.00999451,144.17999268,2284200,yfinance
2019-03-15,145.22999573,145.47999573,141.55000305,141.78999329,2251100,yfinance
2019-03-18,141.6499939,144.49000549,141.50999451,144.33000183,1587700,yfinance
2019-03-19,144.66000366,146.30000305,143.77000427,144.99000549,1176500,yfinance
2019-03-20,145.41999817,145.5,142.13000488,144.3500061,1267900,yfinance
2019-03-21,144.63999939,149.55000305,144.53999329,148.91000366,1672900,yfinance
2019-03-22,145.72999573,147.63000488,142.24000549,143.21000671,2644600,yfinance
2019-03-25,142.91000366,147.36999512,141.33999634,146.58000183,2539900,yfinance
2019-03-26,148.00999451,148.42999268,142.80000305,143.55999756,3010800,yfinance
2019-03-27,144.32000732,146.86000061,143.88000488,146.80000305,5524400,yfinance
2019-03-28,169.1499939,171.44999695,166.1000061,167.53999329,14698300,yfinance
2019-03-29,165.91000366,168.30000305,162.94999695,163.86999512,7223700,yfinance
2019-04-01,164.75999451,167.19999695,163.22000122,165.52000427,3958200,yfinance
2019-04-02,165.61000061,166.69999695,164.00999451,165.47000122,2207600,yfinance
2019-04-03,165.6000061,167.5,163.94999695,166.21000671,1827900,yfinance
2019-04-04,166.27000427,171.69000244,166.1499939,171.36999512,2790400,yfinance
2019-04-05,172.03999329,172.8999939,168.83999634,169.36999512,1951900,yfinance
2019-04-08,168.77999878,170.3999939,168.36000061,169.77000427,2135300,yfinance
2019-04-09,169.41000366,169.80000305,165.52999878,167.52000427,2475600,yfinance
2019-04-10,168.30000305,169.82000732,166.67999268,167.46000671,1573800,yfinance
2019-04-11,167.69000244,168.66000366,166.92999268,168.0,1409400,yfinance
2019-04-12,168.5,170.67999268,167.5,169.88000488,1523400,yfinance
2019-04-15,170.02000427,173.07000732,170.02000427,172.00999451,2475600,yfinance
2019-04-16,173.0,173.32000732,168.72999573,169.33000183,1759700,yfinance
2019-04-17,169.88999939,171.99000549,167.92999268,171.22999573,1674600,yfinance
2019-04-18,171.74000549,174.63999939,169.72000122,173.30999756,2293200,yfinance
2019-04-22,173.19999695,173.66000366,172.03999329,173.02000427,1260900,yfinance
2019-04-23,174.50999451,177.16000366,173.02999878,176.77999878,2411900,yfinance
2019-04-24,177.78999329,179.5,174.41000366,178.27000427,2474900,yfinance
2019-04-25,178.33999634,179.22000122,176.61000061,177.28999329,1713300,yfinance
2019-04-26,177.75,178.03999329,175.41000366,177.08999634,1585600,yfinance
2019-04-29,176.61000061,178.8500061,176.5,177.5,1798700,yfinance
2019-04-30,177.25999451,177.75,175.63000488,176.3500061,1268800,yfinance
2019-05-01,176.22999573,178.27000427,175.58000183,175.66999817,1306800,yfinance
2019-05-02,176.6499939,177.75,174.80999756,176.55000305,1369500,yfinance
2019-05-03,176.83999634,178.97999573,176.00999451,178.63999939,1036600,yfinance
2019-05-06,175.19999695,178.22000122,174.58999634,177.69000244,919900,yfinance
2019-05-07,177.0,177.5,172.1000061,173.97999573,1818600,yfinance
2019-05-08,173.86000061,177.0,172.78999329,175.16999817,1008300,yfinance
2019-05-09,173.52999878,174.88999939,171.27999878,173.71000671,1218400,yfinance
2019-05-10,173.50999451,175.11000061,170.00999451,173.67999268,1120500,yfinance
2019-05-13,170.0,171.13000488,166.22000122,167.57000732,2019700,yfinance
2019-05-14,168.53999329,171.50999451,167.32000732,170.67999268,1684300,yfinance
2019-05-15,169.82000732,173.75,168.8500061,172.88000488,1223300,yfinance
2019-05-16,173.8999939,177.05999756,173.67999268,176.80000305,1330000,yfinance
2019-05-17,176.49000549,176.6499939,172.55999756,173.0,1577400,yfinance
2019-05-20,171.05000305,174.86000061,170.27999878,174.1499939,1077000,yfinance
2019-05-21,174.88000488,177.27000427,174.6000061,176.52999878,1444800,yfinance
2019-05-22,176.0,176.21000671,174.52999878,175.72000122,877500,yfinance
2019-05-23,173.55999756,174.92999268,169.99000549,170.19999695,1654100,yfinance
2019-05-24,171.16999817,173.24000549,170.55000305,172.72000122,1509600,yfinance
2019-05-28,173.11000061,176.03999329,173.02000427,173.55000305,2222300,yfinance
2019-05-29,172.44000244,172.80000305,160.88000488,161.58999634,4857100,yfinance
2019-05-30,161.57000732,165.28999329,161.57000732,163.8500061,1915300,yfinance
2019-05-31,161.05000305,165.63000488,160.88000488,165.58999634,1663700,yfinance
2019-06-03,165.83000183,167.5,162.28999329,163.86999512,1634900,yfinance
2019-06-04,165.3999939,169.36000061,165.02000427,169.0,1273600,yfinance
2019-06-05,170.13999939,173.82000732,169.38000488,173.52000427,1814500,yfinance
2019-06-06,173.50999451,173.53999329,169.71000671,170.38000488,1685700,yfinance
2019-06-07,171.66000366,172.80000305,169.58999634,172.49000549,1846600,yfinance
2019-06-10,174.33999634,176.38000488,170.97999573,171.3500061,1930900,yfinance
2019-06-11,172.30999756,173.94000244,170.30999756,171.63000488,2016200,yfinance
2019-06-12,171.92999268,173.44999695,169.28999329,170.88999939,5417600,yfinance
2019-06-13,181.99000549,182.88999939,172.5,174.52000427,11076700,yfinance
2019-06-14,173.03999329,177.72000122,171.6000061,176.71000671,3635700,yfinance
2019-06-17,177.74000549,184.67999268,177.08999634,183.33999634,3987500,yfinance
2019-06-18,185.57000732,188.80000305,184.44999695,188.02999878,3034100,yfinance
2019-06-19,188.1000061,189.0,186.08999634,187.1000061,1827600,yfinance
2019-06-20,189.19999695,190.52000427,185.36999512,186.5,2366000,yfinance
2019-06-21,184.6000061,184.80000305,180.8500061,181.86999512,4115900,yfinance
2019-06-24,182.16000366,184.30999756,181.55000305,182.63999939,2053200,yfinance
2019-06-25,182.63999939,182.88999939,175.16999817,177.25999451,2708600,yfinance
2019-06-26,178.08000183,180.74000549,177.02999878,177.30999756,1944500,yfinance
2019-06-27,177.72000122,180.69000244,177.08999634,180.11000061,1410700,yfinance
2019-06-28,181.0,181.11000061,178.6499939,180.21000671,3067000,yfinance
2019-07-01,182.33000183,183.83000183,179.30999756,179.94999695,1813300,yfinance
2019-07-02,179.94999695,182.69999695,179.58999634,180.86000061,1859500,yfinance
2019-07-03,181.50999451,184.47000122,180.80000305,183.99000549,1178800,yfinance
2019-07-05,183.19999695,183.46000671,180.69999695,183.21000671,1511700,yfinance
2019-07-08,181.86000061,186.94999695,181.6000061,186.80000305,1882900,yfinance
2019-07-09,184.92999268,186.5,183.8999939,186.05000305,2323100,yfinance
2019-07-10,187.0,187.32000732,183.16000366,183.86999512,1467000,yfinance
2019-07-11,183.71000671,184.41000366,181.6000061,183.07000732,1244600,yfinance
2019-07-12,185.0,190.52000427,184.61000061,189.52000427,3094500,yfinance
2019-07-15,189.72000122,191.44000244,186.75,189.16999817,1815400,yfinance
2019-07-16,189.32000732,191.13999939,187.66999817,190.17999268,1430100,yfinance
2019-07-17,190.33000183,190.96000671,188.99000549,190.38000488,959700,yfinance
2019-07-18,189.55999756,190.5,187.1000061,189.38999939,1114900,yfinance
2019-07-19,190.1000061,190.55000305,187.88000488,187.94000244,952800,yfinance
2019-07-22,189.46000671,189.66000366,186.08000183,187.75,970100,yfinance
2019-07-23,189.0,189.83999634,186.71000671,189.07000732,1040800,yfinance
2019-07-24,189.07000732,192.41999817,189.07000732,192.21000671,1067800,yfinance
2019-07-25,192.94999695,193.71000671,190.69999695,191.21000671,1017100,yfinance
2019-07-26,192.25,192.74000549,189.80999756,190.61000061,899000,yfinance
2019-07-29,190.66999817,192.33999634,188.67999268,192.08999634,841800,yfinance
2019-07-30,190.97999573,193.46000671,189.46000671,191.77000427,1075500,yfinance
2019-07-31,191.0,194.25,189.03999329,191.08999634,1256800,yfinance
2019-08-01,191.27999878,192.1499939,184.07000732,185.44999695,1662300,yfinance
2019-08-02,184.6000061,184.88999939,177.6000061,178.92999268,1937700,yfinance
2019-08-05,173.6000061,176.55000305,172.11999512,174.46000671,2364500,yfinance
2019-08-06,176.5,180.46000671,175.82000732,179.63000488,1371900,yfinance
2019-08-07,177.44000244,181.58999634,176.02000427,181.36000061,1009300,yfinance
2019-08-08,182.6000061,186.88000488,182.25999451,186.3500061,1481200,yfinance
2019-08-09,185.3500061,186.0,180.94000244,182.82000732,950700,yfinance
2019-08-12,182.0,182.05000305,177.66000366,178.82000732,965400,yfinance
2019-08-13,177.61999512,183.72000122,176.41999817,179.58999634,1677500,yfinance
2019-08-14,176.05000305,176.86000061,174.00999451,174.67999268,1770800,yfinance
2019-08-15,176.19999695,176.3500061,172.44000244,175.44000244,1136600,yfinance
2019-08-16,177.50999451,179.53999329,176.17999268,177.83000183,977600,yfinance
2019-08-19,179.94999695,181.02999878,177.36999512,178.66999817,1181500,yfinance
2019-08-20,178.83999634,180.6000061,177.24000549,179.66999817,1039200,yfinance
2019-08-21,182.0,183.52999878,179.91000366,183.33000183,971300,yfinance
2019-08-22,183.88000488,185.11999512,180.77999878,183.97000122,1070600,yfinance
2019-08-23,183.0,184.11999512,178.83000183,180.02999878,1654100,yfinance
2019-08-26,182.97999573,182.97999573,180.16000366,182.3500061,805400,yfinance
2019-08-27,182.94999695,183.80000305,179.80000305,180.11000061,1428400,yfinance
2019-08-28,179.25,183.08000183,178.52999878,182.69999695,893100,yfinance
2019-08-29,184.83000183,187.19999695,184.16000366,186.05999756,1423100,yfinance
2019-08-30,187.47999573,187.74000549,182.58999634,184.66999817,1239900,yfinance
2019-09-03,183.52999878,184.25999451,178.25999451,179.53999329,2558300,yfinance
2019-09-04,180.6499939,181.86000061,179.99000549,180.69999695,2098900,yfinance
2019-09-05,184.0,188.94999695,183.88000488,188.41000366,5871700,yfinance
2019-09-06,197.78999329,204.44000244,197.75,203.13999939,10969400,yfinance
2019-09-09,203.50999451,203.75999451,194.05999756,194.38999939,3878600,yfinance
2019-09-10,194.28999329,194.28999329,190.8999939,193.25999451,2538300,yfinance
2019-09-11,193.02000427,198.77999878,192.0,196.41000366,2173600,yfinance
2019-09-12,198.16999817,201.55000305,196.88000488,198.72999573,2322500,yfinance
2019-09-13,198.80000305,199.41999817,194.86000061,195.17999268,1512700,yfinance
2019-09-16,194.16000366,194.91000366,192.11999512,193.69999695,1310800,yfinance
2019-09-17,193.5,197.33000183,193.38000488,195.47000122,1201900,yfinance
2019-09-18,195.46000671,197.16000366,192.6499939,195.36000061,1410500,yfinance
2019-09-19,195.69999695,196.05999756,193.16999817,193.61000061,1319300,yfinance
2019-09-20,194.08000183,196.03999329,189.17999268,189.30000305,2431000,yfinance
2019-09-23,190.69999695,195.86999512,190.69999695,195.17999268,2339800,yfinance
2019-09-24,196.44999695,196.78999329,190.74000549,193.8500061,2009300,yfinance
2019-09-25,193.94000244,195.1000061,190.57000732,193.02000427,1335000,yfinance
2019-09-26,192.36000061,193.92999268,189.63999939,191.53999329,962400,yfinance
2019-09-27,192.67999268,192.96000671,188.55000305,189.72000122,1117900,yfinance
2019-09-30,190.32000732,193.41000366,190.05000305,192.52999878,1213300,yfinance
2019-10-01,193.41000366,194.07000732,191.32000732,192.69000244,1317200,yfinance
2019-10-02,190.91999817,191.75,187.11999512,189.13000488,1351900,yfinance
2019-10-03,188.75999451,190.30000305,185.36000061,190.1499939,1382800,yfinance
2019-10-04,190.44999695,193.42999268,189.94999695,193.11999512,1193700,yfinance
2019-10-07,191.91999817,193.3999939,190.80999756,191.66000366,1162200,yfinance
2019-10-08,190.05999756,194.24000549,188.94000244,191.36999512,1150500,yfinance
2019-10-09,193.8500061,194.5,192.0,192.16000366,904300,yfinance
2019-10-10,192.27999878,198.22000122,191.61000061,198.13000488,2435700,yfinance
2019-10-11,199.55000305,202.97999573,199.55000305,201.61999512,2285700,yfinance
2019-10-14,201.88999939,205.11000061,201.24000549,203.03999329,1826100,yfinance
2019-10-15,203.3999939,205.3999939,202.30999756,203.88999939,2059300,yfinance
2019-10-16,202.36000061,203.92999268,201.66999817,203.08000183,1440000,yfinance
2019-10-17,204.80000305,205.6499939,204.22999573,204.96000671,1308200,yfinance
2019-10-18,203.69999695,209.02000427,203.30999756,207.11000061,2358000,yfinance
2019-10-21,207.16000366,207.6499939,203.0,205.27999878,1563400,yfinance
2019-10-22,206.41999817,207.16999817,203.96000671,204.3999939,1038300,yfinance
2019-10-23,204.05000305,206.41999817,203.5,205.46000671,1067700,yfinance
2019-10-24,205.22000122,206.88000488,204.91000366,206.83999634,835800,yfinance
2019-10-25,206.3500061,208.05999756,205.0,208.0,993500,yfinance
2019-10-28,203.8999939,207.52999878,203.0,205.97000122,2423900,yfinance
