date,open,high,low,close,volume,source
2019-01-02,104.06732739,108.16901787,103.40423973,107.10807037,2151100,yfinance
2019-01-03,106.52075574,108.40583261,105.99028562,106.98492432,3595500,yfinance
2019-01-04,107.57219419,108.91732577,106.12286934,108.3015976,1532600,yfinance
2019-01-07,108.44371636,111.28553274,108.27320709,109.27731323,1378500,yfinance
2019-01-08,109.94040223,112.39384083,109.94040223,111.50340271,1956600,yfinance
2019-01-09,111.84442241,112.64013478,111.10555129,112.02440643,1610600,yfinance
2019-01-10,111.85387589,116.12606727,111.25708992,115.60507202,2183500,yfinance
2019-01-11,114.90411824,116.00295021,113.86211306,115.71877289,1259600,yfinance
2019-01-14,114.63884375,116.08817585,114.01364804,115.27352142,1529800,yfinance
2019-01-15,115.34932942,116.62815264,114.62940777,116.56184387,1196200,yfinance
2019-01-16,116.47659394,118.22904614,116.05979184,117.0828476,1164100,yfinance
2019-01-17,116.94073866,118.54163084,116.83653816,117.83117676,1199300,yfinance
2019-01-18,118.44690819,120.61616224,118.41849119,119.99095917,1839000,yfinance
2019-01-22,119.25205841,119.39415064,117.60380733,119.23311615,1135600,yfinance
2019-01-23,119.43204844,120.16144466,117.92588229,119.46994019,1319900,yfinance
2019-01-24,119.26155243,120.11409872,117.89747837,118.85422516,1960900,yfinance
2019-01-25,120.17092239,121.82864833,119.89621265,120.35090637,1093300,yfinance
2019-01-28,119.7541178,120.15197028,118.11534138,119.13838959,1178800,yfinance
2019-01-29,119.51730494,119.53625443,117.85957896,118.68370819,1335100,yfinance
2019-01-30,118.69319387,119.43206493,117.75538931,118.38059235,1274600,yfinance
2019-01-31,118.62686707,123.12640152,118.62686707,121.48762512,2962500,yfinance
2019-02-01,117.04492288,120.99505251,116.00292515,120.61614227,3215700,yfinance
2019-02-04,120.95714608,125.28617096,120.91925434,125.28617096,2496400,yfinance
2019-02-05,125.57035225,126.69760804,124.60413093,124.82201385,2354400,yfinance
