date,open,high,low,close,volume,source
2019-01-02,160.80456098,164.38010726,158.97410346,162.12286377,647800,yfinance
2019-01-03,162.66340045,165.52763099,159.17322412,161.71498108,717400,yfinance
2019-01-04,163.35584193,167.97464202,163.0144102,167.29177856,820200,yfinance
2019-01-07,167.06411337,171.75880215,165.41387246,169.92834473,689600,yfinance
2019-01-08,171.39845269,171.95801698,167.25386219,169.27398682,663800,yfinance
2019-01-09,169.44462683,171.36042375,168.38238718,170.07058716,541000,yfinance
2019-01-10,168.95145754,171.52168088,168.45827532,170.26976013,486000,yfinance
2019-01-11,168.64803549,170.62073617,167.39611426,168.80926514,560200,yfinance
2019-01-14,167.87026445,172.52700803,167.77541671,169.96627808,638500,yfinance
2019-01-15,168.88514355,170.51641251,164.64570531,167.30126953,517900,yfinance
2019-01-16,166.30537322,167.22534133,165.06293145,165.67941284,679400,yfinance
2019-01-17,165.25265895,169.35931812,164.26629433,168.08842468,579000,yfinance
2019-01-18,169.30242191,173.97813928,169.17913717,171.16133118,627300,yfinance
2019-01-22,170.40253966,172.28040633,167.23482182,170.94314575,731600,yfinance
2019-01-23,170.08011719,170.23186782,162.97644798,165.85015869,814300,yfinance
2019-01-24,166.0398545,170.30774342,165.44234542,166.95980835,555000,yfinance
2019-01-25,167.64262091,169.59637718,165.68887911,166.63729858,696400,yfinance
2019-01-28,165.38545298,170.56381709,165.38545298,170.35516357,791000,yfinance
2019-01-29,169.9188993,172.48910893,169.9188993,170.98112488,838500,yfinance
2019-01-30,171.76828988,173.07711368,168.71437734,169.32136536,688400,yfinance
2019-01-31,168.46776734,170.98107333,166.69421296,167.5667572,1316800,yfinance
2019-02-01,168.30655404,175.50505556,168.02202525,174.32901001,941200,yfinance
2019-02-04,174.58514519,177.05102837,174.21526199,176.36817932,666100,yfinance
2019-02-05,177.16478297,178.35978645,175.84648031,178.2175293,732100,yfinance
2019-02-06,176.57675358,179.53583256,172.49856089,172.70721436,722800,yfinance
2019-02-07,172.63138203,174.88861139,170.895772,172.85899353,1076100,yfinance
2019-02-08,172.51750385,174.96442793,171.41734821,174.83164978,409400,yfinance
2019-02-11,175.29642082,177.43036522,174.37645253,176.39659119,1244300,yfinance
2019-02-12,176.15951777,180.03855169,173.57032101,175.04037476,1976300,yfinance
2019-02-13,176.23539843,176.53888528,170.56383682,171.11392212,1335800,yfinance
2019-02-14,173.61773689,178.40726007,171.48379221,177.81924438,1709600,yfinance
2019-02-15,180.21873767,183.21573329,178.11324451,180.25666809,1578700,yfinance
2019-02-19,180.24713713,182.72251272,179.17541842,179.26077271,857900,yfinance
2019-02-20,179.79191577,183.7847543,179.48841455,182.35264587,681300,yfinance
2019-02-21,181.82153474,183.21569829,180.24715467,180.56013489,397300,yfinance
2019-02-22,181.56546419,182.02070158,179.42202647,180.19973755,422100,yfinance
2019-02-25,181.41377996,182.26735218,178.62542279,178.88150024,590000,yfinance
2019-02-26,177.98990938,182.5707779,177.82867978,181.24299622,487000,yfinance
2019-02-27,180.83516988,182.9880865,179.35563756,180.07643127,766100,yfinance
2019-02-28,179.54532873,179.96263571,177.30705769,178.11322021,695500,yfinance
2019-03-01,179.23525265,184.60755017,179.17820396,183.00062561,693300,yfinance
2019-03-04,183.03862653,185.82461009,181.83104295,185.49182129,511700,yfinance
2019-03-05,185.16851135,187.10823873,184.12257068,184.47438049,574500,yfinance
2019-03-06,185.86264259,187.56465763,185.04491105,186.00526428,503600,yfinance
2019-03-07,184.86426693,188.17322107,184.85476365,187.2794342,885100,yfinance
2019-03-08,186.42364182,188.12567138,185.2160583,186.77545166,549500,yfinance
2019-03-11,186.98463154,190.42671812,186.50920657,188.86732483,505300,yfinance
2019-03-12,189.00045385,189.48538212,185.60591247,186.37609863,672200,yfinance
2019-03-13,186.85153231,187.16531456,181.21299865,181.30807495,837700,yfinance
2019-03-14,181.2129915,182.89600004,180.68051784,182.27793884,579900,yfinance
2019-03-15,182.25888727,184.3032231,182.04019588,183.98944092,649900,yfinance
2019-03-18,184.46486334,185.615398,182.38249994,185.37768555,401400,yfinance
2019-03-19,186.96565309,189.73261575,185.74856616,188.04962158,620500,yfinance
2019-03-20,187.52667539,188.28735845,183.45703775,186.13842773,590300,yfinance
2019-03-21,186.51872825,190.18900961,185.63443026,188.92437744,472700,yfinance
2019-03-22,188.66766231,189.51391826,182.55370354,182.6678009,849200,yfinance
2019-03-25,182.20186565,187.26039443,182.20186565,186.77545166,387400,yfinance
2019-03-26,188.17322654,188.56307856,183.59013666,187.07025146,580700,yfinance
2019-03-27,186.36662728,189.22868098,185.17806461,186.78500366,528700,yfinance
2019-03-28,187.04172209,189.12407153,186.45218518,188.18273926,404200,yfinance
2019-03-29,190.19853568,193.79274774,189.95131989,191.29200745,1004400,yfinance
2019-04-01,193.87832838,194.98131797,192.29041046,193.97341919,813000,yfinance
2019-04-02,194.59140716,197.50101976,193.77367574,195.33306885,1019800,yfinance
2019-04-03,195.47576026,196.53120443,191.66285668,192.69927979,557100,yfinance
2019-04-04,192.79436331,196.53121179,192.13828892,193.80227661,452900,yfinance
2019-04-05,194.59145691,196.63579322,194.14455622,195.70396423,446100,yfinance
2019-04-08,194.81016287,196.66431756,194.81016287,195.70396423,320100,yfinance
2019-04-09,195.58032223,196.23641099,193.55500726,194.9052124,357400,yfinance
2019-04-10,194.56290658,195.03833154,192.80384293,194.77209473,289300,yfinance
2019-04-11,195.56131764,197.68170908,194.59144658,197.02563477,528000,yfinance
2019-04-12,200.61980726,203.84318755,198.18561956,201.7322998,736300,yfinance
2019-04-15,201.48511852,202.57860477,199.3076783,201.24740601,450600,yfinance
2019-04-16,199.29813874,201.70378775,198.13810074,201.5896759,566400,yfinance
2019-04-17,202.15072508,202.15072508,197.52959328,199.30767822,469500,yfinance
2019-04-18,200.08738837,202.69272298,199.74509625,201.17137146,465400,yfinance
2019-04-22,200.191955,202.02710306,198.65158262,201.7228241,279200,yfinance
2019-04-23,201.73233228,203.23467697,200.38212707,201.69429016,351100,yfinance
2019-04-24,202.20774968,205.33603957,202.00806481,203.51991272,496900,yfinance
2019-04-25,202.74021388,203.89073412,200.13487997,201.91297913,374700,yfinance
2019-04-26,202.30284235,204.33766079,201.60872591,203.74813843,799000,yfinance
2019-04-29,203.4343675,205.0032788,202.86386616,203.69110107,922700,yfinance
2019-04-30,215.18684294,216.01407772,208.88270333,210.99359131,1415800,yfinance
2019-05-01,212.5149915,216.13772796,207.77024441,208.38830566,935200,yfinance
2019-05-02,209.70998238,213.3136977,208.95880271,211.98251343,726500,yfinance
2019-05-03,212.39137759,213.95077114,209.47227539,210.5562439,419500,yfinance
2019-05-06,207.5324833,211.64016162,206.07768419,209.95715332,659600,yfinance
2019-05-07,207.65612863,209.71947136,207.03808194,209.41520691,488300,yfinance
2019-05-08,208.96831386,209.92866716,205.24098351,205.51672363,463100,yfinance
2019-05-09,203.83374344,206.80990907,202.38846164,206.2774353,506900,yfinance
2019-05-10,205.6212916,207.92234662,202.9874333,205.25996399,606000,yfinance
2019-05-13,201.96050929,203.92877551,200.29652199,202.0460968,699300,yfinance
2019-05-14,203.02546006,206.21079829,202.09361678,205.07928467,652000,yfinance
2019-05-15,203.32030253,206.98106714,202.30288584,206.6292572,624300,yfinance
2019-05-16,207.03807731,209.79553642,206.72429508,208.81616211,767500,yfinance
2019-05-17,207.19975237,209.39621382,206.29644766,206.83842468,395100,yfinance
2019-05-20,205.87808375,208.7686619,204.8606671,207.00959778,493400,yfinance
2019-05-21,207.6846332,211.75426961,207.6846332,209.49125671,412700,yfinance
2019-05-22,208.74008311,209.34862648,204.62290119,204.82258606,452800,yfinance
2019-05-23,203.01598437,203.52945151,199.83064548,202.27432251,451000,yfinance
2019-05-24,202.68318225,203.77665391,199.95423298,201.69429016,426300,yfinance
2019-05-28,202.76878497,204.01439629,198.29027459,198.30929565,602100,yfinance
2019-05-29,198.74663855,200.25848632,196.85444214,200.03979492,434400,yfinance
2019-05-30,200.09691889,202.97799384,200.09691889,202.11271667,549200,yfinance
2019-05-31,198.83434918,201.43604073,195.38448638,200.60693359,647800,yfinance
2019-06-03,200.57831986,206.36303409,200.57831986,206.08666992,715900,yfinance
2019-06-04,207.31605519,213.23420419,207.16358592,213.1484375,722800,yfinance
2019-06-05,213.01502288,215.33081089,211.78564209,215.23551941,642000,yfinance
2019-06-06,216.54110312,219.13326958,215.37843959,218.6091156,688900,yfinance
2019-06-07,219.19048232,220.81058298,218.00875449,219.7908783,574200,yfinance
2019-06-10,220.88676537,221.51575008,217.19865291,218.73298645,510800,yfinance
2019-06-11,219.80040728,220.45798107,205.9628125,210.55628967,980200,yfinance
2019-06-12,211.10905312,211.10905312,207.43046402,209.20304871,729100,yfinance
2019-06-13,209.99395397,215.18781091,208.74550938,212.10961914,452400,yfinance
2019-06-14,211.97624354,213.85365878,210.10836763,213.45339966,306000,yfinance
2019-06-17,213.47247924,215.66438707,213.40576211,213.88226318,429900,yfinance
