date,open,high,low,close,volume,source
2019-01-02,106.72096098,109.96350083,106.27793871,108.81352997,247300,yfinance
2019-01-03,107.16399586,107.16399586,101.28217769,102.37559509,494200,yfinance
2019-01-04,104.23251651,107.43735201,103.0448407,106.58901215,398000,yfinance
2019-01-07,106.57013818,110.59503607,106.40047023,109.38851166,392700,yfinance
2019-01-08,110.58561609,111.52821425,108.74755255,111.25485992,304100,yfinance
2019-01-09,112.35767891,115.63792312,112.35767891,114.9592514,298800,yfinance
2019-01-10,113.90352977,116.30715735,112.97978783,115.74160004,227300,yfinance
2019-01-11,115.79817497,119.01243794,114.63878334,117.04240417,312300,yfinance
2019-01-14,115.32689394,115.93958424,112.31058243,113.52653503,350800,yfinance
2019-01-15,113.79988379,116.30719126,113.79988379,115.60024261,233400,yfinance
2019-01-16,116.12808009,118.09811381,114.28058872,114.41255188,233200,yfinance
2019-01-17,113.83755916,116.56167405,113.03635229,115.56251526,247600,yfinance
2019-01-18,116.66537302,119.15383882,115.40229491,117.60797119,265700,yfinance
2019-01-22,116.41086653,117.09896632,113.05521956,114.03552246,264000,yfinance
2019-01-23,114.54451992,116.11866424,111.34911288,112.77243805,179600,yfinance
2019-01-24,113.60191666,120.01158643,113.60191666,119.5214386,322500,yfinance
2019-01-25,122.10413321,123.91393394,120.1812397,123.20698547,326300,yfinance
2019-01-28,120.74682402,123.13159609,119.27636607,120.89762878,247700,yfinance
2019-01-29,120.68084279,121.97219768,118.98417039,119.19153595,201800,yfinance
2019-01-30,120.66197453,122.08530683,116.9669918,119.48373413,406000,yfinance
2019-01-31,119.27635537,120.65254762,118.23007098,119.29520416,355000,yfinance
2019-02-01,119.28579727,122.396374,118.69195584,122.10415649,335100,yfinance
2019-02-04,121.99105856,123.90453177,120.52060765,123.85739899,277900,yfinance
2019-02-05,123.27297982,124.9790801,123.27297982,124.85655212,283900,yfinance
2019-02-06,125.80855168,128.88141587,125.80855168,127.17531586,355800,yfinance
2019-02-07,125.83687228,126.10079865,122.44351267,123.55578613,328700,yfinance
2019-02-08,122.1136038,124.42296659,121.77426786,123.75371552,312600,yfinance
2019-02-11,124.47008629,125.31841886,122.26441011,123.16929626,520600,yfinance
2019-02-12,123.81970371,125.19590345,122.12302403,124.422966,943800,yfinance
2019-02-13,121.79314659,127.73150505,121.6517482,126.57211304,813700,yfinance
2019-02-14,126.10073011,128.70229481,125.26181866,128.19329834,414500,yfinance
2019-02-15,128.80606434,130.62528671,127.54298595,130.53102112,340800,yfinance
2019-02-19,129.54125232,130.17280571,128.49498222,128.5892334,233100,yfinance
2019-02-20,128.78720392,129.578983,128.04254325,128.80604553,355900,yfinance
2019-02-21,129.04170806,129.22080405,126.74178017,127.52412415,309400,yfinance
2019-02-22,128.41959795,129.18310027,127.42043166,128.72122192,333100,yfinance
2019-02-25,130.07856002,131.19081907,129.32447854,129.6449585,272700,yfinance
2019-02-26,129.41874303,129.87118616,128.57983116,128.80604553,236200,yfinance
2019-02-27,128.15565037,128.22162476,125.36555353,127.18476105,471500,yfinance
2019-02-28,126.25154142,127.78798032,125.88392889,126.41178131,223600,yfinance
2019-03-01,127.71262596,128.74005447,126.51552231,128.36300659,201200,yfinance
2019-03-04,129.3244428,129.86173056,127.07163415,128.66462708,233600,yfinance
2019-03-05,128.89088867,130.24821805,127.79747126,129.23022461,250800,yfinance
2019-03-06,129.37159565,129.37159565,126.75117395,127.18476105,168800,yfinance
2019-03-07,126.60978515,127.36385213,124.60204657,126.40241241,219400,yfinance
2019-03-08,124.63032887,126.78887231,124.59261689,126.59093475,120900,yfinance
2019-03-11,126.93969936,130.2293723,120.34151189,129.60725403,188400,yfinance
2019-03-12,129.82408982,130.69127873,128.0143024,129.78639221,161800,yfinance
2019-03-13,130.71007162,132.31248545,129.25847694,130.72892761,290200,yfinance
2019-03-14,130.53100906,131.29451138,129.72980913,130.03143311,195700,yfinance
2019-03-15,130.91741696,133.8488969,130.91741696,133.00056458,392900,yfinance
