date,open,high,low,close,volume,source
2019-01-02,103.21072918,105.00490653,102.96606423,104.00814056,1078600,yfinance
2019-01-03,102.96606199,103.66380299,100.22948565,100.36540985,935400,yfinance
2019-01-04,101.90587258,105.81138623,101.54341033,104.71494293,920500,yfinance
2019-01-07,104.66057947,105.84763664,103.89941494,105.20426941,1220600,yfinance
2019-01-08,105.92920764,108.29426575,105.35832725,108.29426575,1430000,yfinance
2019-01-09,108.14925712,108.80168777,105.22238956,105.25863647,1473100,yfinance
2019-01-10,104.4793382,106.61785768,104.1712429,106.52723694,1041900,yfinance
2019-01-11,105.92918576,106.70847715,105.04115363,105.11364746,1122100,yfinance
2019-01-14,104.68776485,105.44893631,104.13501144,104.31624603,1187500,yfinance
2019-01-15,104.2618529,105.24956224,103.70004306,104.90522003,1189700,yfinance
2019-01-16,104.86899588,105.92919228,103.75442565,103.79973602,1250600,yfinance
2019-01-17,103.87223299,104.94149295,102.62174533,103.07482147,1137100,yfinance
2019-01-18,103.51883021,105.27676777,103.39196945,104.75119781,1239800,yfinance
2019-01-22,104.41590375,104.98677705,103.22883986,103.72722626,1167600,yfinance
2019-01-23,104.40687843,104.75121384,103.21982102,103.71820068,742800,yfinance
2019-01-24,103.99907737,104.36153961,103.05668523,104.01720428,711800,yfinance
2019-01-25,104.96865336,105.84762198,104.66056497,105.27674866,744200,yfinance
2019-01-28,104.07155899,104.45214118,103.02948277,104.41590118,595500,yfinance
2019-01-29,104.36155307,105.22240186,103.79067964,104.85993958,855700,yfinance
2019-01-30,104.7239915,106.18289685,104.69680805,105.8476181,930400,yfinance
2019-01-31,105.69357512,106.62691064,105.52140402,105.93824005,981000,yfinance
2019-02-01,106.39131768,108.00426726,105.89293128,107.26122284,1184000,yfinance
2019-02-04,107.1525002,108.96480464,106.80816485,108.78357697,1599800,yfinance
2019-02-05,108.81074801,109.04634258,107.70524132,108.17643738,942900,yfinance
2019-02-06,108.16739527,109.34538903,108.06771797,109.12791443,907500,yfinance
2019-02-07,108.54795873,108.56607873,106.73565456,107.48776245,1031400,yfinance
2019-02-08,117.74541019,123.94348746,116.71239732,122.66580963,4429300,yfinance
2019-02-11,122.67488758,123.72601361,121.46063314,121.5874939,1903100,yfinance
2019-02-12,121.68717567,125.33898184,121.68717567,124.34220886,1823400,yfinance
2019-02-13,124.55059958,124.97649217,123.57195369,124.72277069,1178000,yfinance
2019-02-14,124.72278341,125.03087183,123.68071395,124.3150177,956300,yfinance
2019-02-15,125.35708119,125.88265108,124.63215673,125.61987305,1077200,yfinance
2019-02-19,125.01275443,126.39916609,124.99462752,125.87359619,773900,yfinance
