date,open,high,low,close,volume,source
2019-01-02,111.52156894,114.67493632,111.52156894,114.50896454,874200,yfinance
2019-01-03,114.11382078,115.65493584,113.52898212,113.69495392,1022100,yfinance
2019-01-04,115.70234185,117.52007238,115.06218735,117.18814087,1013000,yfinance
2019-01-07,116.67443542,119.34569714,116.08959683,118.62651825,1130200,yfinance
2019-01-08,119.07699387,119.55118863,118.03378229,119.14022064,1423200,yfinance
2019-01-09,119.98588775,120.90264596,119.11653455,120.40475464,911600,yfinance
2019-01-10,119.97004883,120.2071462,118.04957344,118.8952179,566200,yfinance
2019-01-11,118.19972651,119.9858494,117.7492524,119.18762207,461200,yfinance
2019-01-14,118.27880924,120.14395728,118.10493859,119.36943817,771100,yfinance
2019-01-15,119.58284519,119.85155004,117.93898464,119.69348907,719400,yfinance
2019-01-16,120.71297656,122.92585366,119.80410512,122.04070282,1092500,yfinance
2019-01-17,125.55759609,129.21676586,125.55759609,128.98757935,1932100,yfinance
2019-01-18,130.03081172,131.92756707,128.68727568,130.86854553,1227600,yfinance
2019-01-22,130.29949409,131.8248114,130.29949409,131.72996521,1146000,yfinance
2019-01-23,132.52027446,132.86011685,131.0977143,132.4175415,946400,yfinance
2019-01-24,131.99078365,133.95867651,131.46918381,133.10513306,828800,yfinance
2019-01-25,133.64254536,134.20366341,132.63883988,133.01818848,689100,yfinance
2019-01-28,132.44123403,133.42123079,131.50865434,132.51235962,576600,yfinance
2019-01-29,132.55975879,133.42121278,132.30686383,132.77314758,469000,yfinance
2019-01-30,132.53610837,133.06561911,131.05032117,131.33482361,658900,yfinance
2019-01-31,130.6630532,131.00288357,128.4185568,130.03869629,1210400,yfinance
2019-02-01,130.291642,130.68680044,128.75052648,129.61196899,894500,yfinance
2019-02-04,129.75417476,129.83321124,128.52919367,129.46176147,1216200,yfinance
2019-02-05,129.39858929,129.55665026,126.91699458,128.3553772,874600,yfinance
2019-02-06,127.90483971,129.09822553,127.05920719,127.7625885,846400,yfinance
2019-02-07,128.58451674,132.20416845,128.58451674,131.73788452,1321700,yfinance
2019-02-08,131.19257866,132.10143808,128.94808201,130.71838379,969300,yfinance
2019-02-11,131.1372279,133.08931087,131.04239377,133.04980469,1108400,yfinance
2019-02-12,133.69785658,135.2310727,133.36592506,134.3538208,926000,yfinance
2019-02-13,134.35380341,135.77637551,134.19574252,134.84379578,617900,yfinance
2019-02-14,134.01399097,134.32221396,132.52819191,133.67414856,619800,yfinance
2019-02-15,134.8438128,136.16364006,134.53558981,136.14784241,1284700,yfinance
2019-02-19,135.25478795,137.515094,134.70156872,137.10412598,648400,yfinance
2019-02-20,137.02510783,139.18266896,136.25058881,139.09573364,843800,yfinance
2019-02-21,137.99716239,138.59779858,136.39282088,136.78797913,872100,yfinance
2019-02-22,136.78798651,137.28588978,135.64202995,136.30589294,669000,yfinance
2019-02-25,137.15152536,137.46765921,136.06089675,136.30589294,661300,yfinance
2019-02-26,135.69739115,136.49561883,134.4170818,134.75691223,984300,yfinance
2019-02-27,134.96237954,136.50349461,134.47237501,136.35333252,852000,yfinance
2019-02-28,136.59836138,137.58625745,136.02143346,136.77223206,756600,yfinance
2019-03-01,137.5273727,138.39383381,136.35885405,137.19351196,919600,yfinance
2019-03-04,137.23323237,139.28410119,136.43037781,137.39221191,1072200,yfinance
2019-03-05,137.15376841,138.00432795,134.90418375,137.2571106,753100,yfinance
2019-03-06,137.04243488,137.53528717,135.03927106,135.05516052,1269700,yfinance
2019-03-07,134.34767406,134.65768834,132.79760269,133.25865173,1096500,yfinance
2019-03-08,132.24123067,133.79130277,132.12994375,133.41769409,791900,yfinance
2019-03-11,133.84692147,135.05517568,133.29843175,134.41130066,866200,yfinance
2019-03-12,134.90418127,136.14423893,134.73724484,135.42086792,851800,yfinance
2019-03-13,135.89780022,137.54325739,135.39700311,136.8596344,782800,yfinance
2019-03-14,136.9788988,138.18715328,136.54169586,137.78175354,904800,yfinance
2019-03-15,137.29685799,138.79923743,136.93119405,137.13787842,1347800,yfinance
2019-03-18,137.71018439,139.44308201,137.54324799,138.89459229,672700,yfinance
2019-03-19,139.68156166,139.68156166,135.82624398,136.20780945,756300,yfinance
2019-03-20,135.81039391,136.21579369,130.14268108,130.19831848,941900,yfinance
2019-03-21,129.57826955,129.76905231,127.23328757,127.43997192,890600,yfinance
2019-03-22,126.58942849,126.58942849,121.71662588,122.24921417,1129700,yfinance
2019-03-25,122.41613703,123.24283807,121.02504456,121.85174561,810300,yfinance
2019-03-26,122.36843682,124.30006213,121.80404543,123.67208862,791000,yfinance
2019-03-27,123.33027,124.06954253,122.32868786,123.4574585,668800,yfinance
2019-03-28,123.70384375,125.18237628,123.29049944,125.11878204,672900,yfinance
2019-03-29,125.96139861,126.34295188,124.52260184,124.81672668,817700,yfinance
2019-04-01,125.7070521,128.7674601,125.53217095,128.56077576,735900,yfinance
2019-04-02,128.17124023,129.75310272,127.53531007,128.56869507,592700,yfinance
2019-04-03,129.58618929,130.51623224,128.09969983,128.67999268,557400,yfinance
2019-04-04,128.59257276,130.39700943,127.94074085,129.80082703,624000,yfinance
2019-04-05,130.09495577,130.55600497,128.91053567,129.74519348,703700,yfinance
2019-04-08,129.65777127,130.54806659,129.06158877,130.41293335,378800,yfinance
2019-04-09,129.65779272,129.99959825,127.87718965,128.87878418,520100,yfinance
2019-04-10,129.22058185,129.80881968,127.80564287,129.61009216,589800,yfinance
2019-04-11,130.38908664,131.60529797,129.67367249,130.76269531,617500,yfinance
2019-04-12,132.06634516,134.6100547,131.70863809,133.35409546,1019600,yfinance
2019-04-15,132.32862569,133.98203941,128.73563026,130.1426239,1167200,yfinance
2019-04-16,130.44470826,134.19668364,129.84056903,133.76742554,953300,yfinance
2019-04-17,133.88668945,134.37158505,132.64663175,133.92643738,562500,yfinance
2019-04-18,133.5050859,134.10922506,132.10604915,132.22528076,567400,yfinance
2019-04-22,131.91533098,132.67049316,131.26351099,132.34458923,465700,yfinance
2019-04-23,132.09812282,133.24279503,130.78652632,132.8691864,824200,yfinance
2019-04-24,132.35251486,132.79766252,131.08861087,132.40020752,593300,yfinance
2019-04-25,131.605294,133.94233127,131.20783901,133.36999512,457700,yfinance
2019-04-26,133.39381457,134.43514449,132.78968748,134.30796814,429400,yfinance
2019-04-29,134.5464076,136.4144502,134.44307759,135.64338684,622600,yfinance
2019-04-30,136.01703913,136.24755767,134.41131767,135.19033813,605200,yfinance
2019-05-01,134.99952627,136.54165315,133.40970675,133.4414978,551300,yfinance
2019-05-02,133.44151894,135.03133872,133.02021767,134.6577301,586500,yfinance
2019-05-03,135.05520398,135.89781877,134.55441893,135.42086792,473400,yfinance
2019-05-06,133.3540718,135.68316396,133.18714753,134.95979309,594200,yfinance
2019-05-07,133.57664712,134.21257743,132.38428233,133.18714905,825000,yfinance
2019-05-08,132.80556992,134.44308196,132.13783655,132.9009552,922400,yfinance
2019-05-09,131.29524807,132.5909549,130.34930348,132.04246521,1212000,yfinance
