date,open,high,low,close,volume,source
2019-01-02,65.41724028,67.07985593,64.87801451,66.55860138,6762700,yfinance
2019-01-03,65.83064254,65.8935521,63.99726956,65.38128662,8007400,yfinance
2019-01-04,66.01039342,67.51124766,65.71382367,67.08885193,7844200,yfinance
2019-01-07,67.16973527,68.62565123,66.77430664,68.05047607,8184800,yfinance
2019-01-08,69.04805313,69.56031876,68.48186011,68.95818329,8809000,yfinance
2019-01-09,69.17388965,69.33565814,68.42795676,68.83237457,8591000,yfinance
2019-01-10,67.97856366,69.50637106,67.81679525,68.6795578,11148600,yfinance
2019-01-11,68.60767561,69.10196998,68.12237713,68.3380661,10689900,yfinance
2019-01-14,67.81680949,69.03006937,67.81680949,68.38299561,5677400,yfinance
2019-01-15,68.4728729,70.08156828,68.41894551,69.99169159,6212400,yfinance
2019-01-16,70.09954592,70.86344986,69.73107066,69.81195831,5697100,yfinance
2019-01-17,69.68611797,71.35772257,69.47941123,71.11506653,7737300,yfinance
2019-01-18,71.85202793,72.76871809,71.66329922,72.30138397,10404100,yfinance
2019-01-22,72.19352654,73.07426034,72.07668961,72.57098389,8781700,yfinance
2019-01-23,72.96642693,73.15515562,72.09467522,72.34631348,5823000,yfinance
2019-01-24,72.4361869,72.67884299,71.4925434,72.29239655,4753200,yfinance
2019-01-25,73.02034261,73.09224121,72.28339912,72.44516754,4457100,yfinance
2019-01-28,71.71719746,72.35528196,71.6632701,72.18452454,5452000,yfinance
2019-01-29,72.22051521,72.64291105,71.75318101,72.09469604,4187500,yfinance
2019-01-30,72.25644579,73.05629892,71.95088014,73.04730988,5200200,yfinance
2019-01-31,72.95744453,73.64944979,72.53504877,73.58654022,8599200,yfinance
2019-02-01,73.54160827,73.60451784,72.91250573,73.25402069,5351900,yfinance
2019-02-04,72.99338907,73.69438333,72.64289194,73.68539429,4236600,yfinance
2019-02-05,73.67639833,74.76383882,73.63146,74.46726227,6545600,yfinance
2019-02-06,74.15272647,74.33246613,73.37084459,74.33246613,3682800,yfinance
2019-02-07,73.82919476,74.45829044,73.43375927,74.04488373,4827500,yfinance
2019-02-08,73.91904734,74.34144299,73.64044887,74.01790619,3786500,yfinance
2019-02-11,74.54813058,75.33900124,74.47623885,75.20419312,6158500,yfinance
2019-02-12,75.46485306,76.24672817,75.15030521,76.12989807,6290300,yfinance
2019-02-13,76.17484763,76.92077354,76.17484763,76.75002289,5032800,yfinance
2019-02-14,76.04001098,76.51632716,75.22217989,76.10292053,5179000,yfinance
2019-02-15,76.83089929,77.09152663,76.4804021,76.73204041,6111300,yfinance
2019-02-19,76.01307077,76.43546655,75.90522285,76.00408173,5105900,yfinance
2019-02-20,76.05800589,76.3455935,75.80636759,76.24673462,6436100,yfinance
2019-02-21,75.10536081,75.62661541,74.90764307,75.4468689,8579200,yfinance
