date,open,high,low,close,volume,source
2019-01-02,63.72738364,66.72277191,63.41720463,66.49235535,4720900,yfinance
2019-01-03,64.96807427,65.75680089,63.56786715,63.78055573,5356900,yfinance
2019-01-04,65.01237933,67.16587034,64.69334312,66.86455536,4866700,yfinance
2019-01-07,67.00633923,68.24703459,66.36826694,67.36082458,3515700,yfinance
2019-01-08,67.75960355,68.27360688,66.96201334,67.74188232,4009000,yfinance
2019-01-09,68.6369676,70.88794201,68.39769386,70.84363556,6325800,yfinance
2019-01-10,70.09921759,71.0208769,69.34594035,70.92339325,3116100,yfinance
2019-01-11,70.24100684,71.73869715,69.97514113,70.43597412,3447900,yfinance
2019-01-14,69.39025505,70.37394883,68.95600723,69.66497803,3335900,yfinance
2019-01-15,69.86879537,70.27645794,68.65469196,69.18641663,5438800,yfinance
2019-01-16,69.56751713,70.86138351,69.39027775,69.42572021,5619500,yfinance
2019-01-17,69.92199313,70.40940473,68.76105305,70.1346817,5297000,yfinance
2019-01-18,70.94113016,72.61606692,70.5600595,71.59692383,8818900,yfinance
2019-01-22,71.05631973,71.11835416,69.59407184,70.09034729,5039900,yfinance
2019-01-23,70.90567561,71.33991669,69.38139308,69.92198181,3480800,yfinance
2019-01-24,72.23500876,75.49626317,71.94255772,74.66322327,8390300,yfinance
2019-01-25,75.85958642,76.76352455,75.38103214,75.54055023,5673700,yfinance
2019-01-28,74.1137532,75.99252117,73.20982181,75.9127655,3655600,yfinance
2019-01-29,75.70005565,76.3204067,75.15946702,75.98364258,3496300,yfinance
2019-01-30,76.79011293,77.98649531,75.89503876,77.73835754,5051400,yfinance
2019-01-31,77.32182887,77.83583234,76.68375654,77.12686157,3046900,yfinance
2019-02-01,77.22436134,79.49305744,77.18891212,78.34098816,4916000,yfinance
2019-02-04,78.0219544,78.60684967,77.29526223,78.60684967,3253500,yfinance
2019-02-05,78.49161906,80.37038669,78.42958464,79.97158813,5821400,yfinance
2019-02-06,81.96555633,83.87090907,81.37179728,81.93010712,9862900,yfinance
2019-02-07,77.4813496,81.20342933,77.23321185,80.40584564,8803900,yfinance
2019-02-08,78.55365332,79.43986332,76.90530219,77.55223846,5589200,yfinance
2019-02-11,77.58768407,79.28034156,77.49905766,79.09423828,4085300,yfinance
2019-02-12,79.98048156,83.00246201,79.61713208,82.6213913,6275900,yfinance
2019-02-13,82.8606507,82.93154914,81.17685003,81.42498779,4025300,yfinance
2019-02-14,81.08822378,82.27574207,81.08822378,81.30977631,3347400,yfinance
2019-02-15,82.04535462,82.68342714,81.54907223,82.45301056,3500700,yfinance
2019-02-19,82.41755429,82.47958874,81.49589481,81.97444916,2694900,yfinance
2019-02-20,82.4087026,83.57850005,82.06308109,83.52532959,4072400,yfinance
