date,open,high,low,close,volume,source
2019-01-02,1.37899995,1.52199996,1.37899995,1.50999999,2326000,yfinance
2019-01-03,1.50899994,1.579,1.45000005,1.57000005,3217000,yfinance
2019-01-04,1.55499995,1.58500004,1.52499998,1.55599999,1595000,yfinance
2019-01-07,1.53999996,1.58000004,1.52499998,1.57000005,3078000,yfinance
2019-01-08,1.58000004,1.58500004,1.55200005,1.55999994,1651000,yfinance
2019-01-09,1.57000005,1.57000005,1.55200005,1.55299997,162000,yfinance
2019-01-10,1.55200005,1.55499995,1.5,1.55299997,298000,yfinance
2019-01-11,1.54700005,1.55299997,1.48599994,1.50300002,946000,yfinance
2019-01-14,1.51999998,1.53400004,1.44099998,1.53400004,2100000,yfinance
2019-01-15,1.53999996,1.53999996,1.50999999,1.50999999,859000,yfinance
2019-01-16,1.505,1.51300001,1.49000001,1.495,3221000,yfinance
2019-01-17,1.49399996,1.49899995,1.45000005,1.48000002,2826000,yfinance
2019-01-18,1.47500002,1.505,1.47000003,1.5,1367000,yfinance
2019-01-22,1.45000005,1.495,1.45000005,1.472,1744000,yfinance
2019-01-23,1.46700001,1.5,1.46700001,1.49000001,3081000,yfinance
2019-01-24,1.495,1.505,1.49000001,1.49800003,2185000,yfinance
2019-01-25,1.5,1.51199996,1.495,1.495,2661000,yfinance
2019-01-28,1.5,1.5,1.47500002,1.47500002,1029000,yfinance
2019-01-29,1.47500002,1.495,1.47099996,1.495,986000,yfinance
2019-01-30,1.495,1.50699997,1.48599994,1.50699997,652000,yfinance
2019-01-31,1.5,1.51400006,1.48399997,1.50999999,1172000,yfinance
2019-02-01,1.50899994,1.54900002,1.50899994,1.52600002,646000,yfinance
2019-02-04,1.52499998,1.54999995,1.51499999,1.52999997,463000,yfinance
2019-02-05,1.53499997,1.574,1.53499997,1.574,2654000,yfinance
2019-02-06,1.55999994,1.58800006,1.54999995,1.56599998,828000,yfinance
2019-02-07,1.55499995,1.55499995,1.52400005,1.53499997,302000,yfinance
