date,open,high,low,close,volume,source
2019-01-02,150.15722855,151.93140583,148.14354507,150.67173767,1439845,yfinance
2019-01-03,150.17498076,150.27257168,145.47341922,145.81051636,1658962,yfinance
2019-01-04,148.17014933,153.39508998,147.82418163,152.80961609,2057768,yfinance
2019-01-07,152.49911215,155.52408646,152.49911215,154.03378296,1924269,yfinance
2019-01-08,155.02735761,155.46203136,153.51042762,155.44429016,1508022,yfinance
2019-01-09,155.36445236,156.38461447,153.71447754,154.05157471,1353066,yfinance
2019-01-10,153.83867203,157.28058005,153.37738642,157.14750671,1486248,yfinance
2019-01-11,156.93455239,157.65308518,155.39101101,156.10955811,1076872,yfinance
2019-01-14,154.64590242,157.52893347,154.36202889,157.03216553,1476523,yfinance
2019-01-15,156.49996656,161.24588254,156.23383415,161.11282349,1537935,yfinance
2019-01-16,161.80471696,164.76758388,161.44987857,164.11114502,2109032,yfinance
2019-01-17,162.99342148,164.99823478,162.64745369,164.39501953,1245780,yfinance
2019-01-18,165.4506685,167.49096444,164.65228561,167.34016418,1505379,yfinance
2019-01-22,166.71026405,167.18929072,165.22881676,166.14251709,4240050,yfinance
2019-01-23,166.36433316,167.41109271,165.67239765,166.41755676,2662900,yfinance
2019-01-24,166.32886265,168.15626385,166.08047149,167.27804565,1780834,yfinance
2019-01-25,168.44895734,169.04331615,167.23365654,167.93444824,1131836,yfinance
2019-01-28,166.83445599,167.08283277,164.18206093,166.91429138,1864337,yfinance
2019-01-29,166.53290286,166.88774127,164.78533691,165.30873108,1290386,yfinance
2019-01-30,165.87641651,168.01428837,164.63448957,167.66833496,1284889,yfinance
2019-01-31,167.3401323,170.18768119,166.34659633,170.01026917,1716568,yfinance
2019-02-01,170.40943588,173.12392558,169.57558509,171.94410706,1212696,yfinance
2019-02-04,172.17472939,172.88440602,170.41830764,172.45860291,1588354,yfinance
2019-02-05,172.62717818,173.49652578,172.00622174,172.89331055,1501680,yfinance
2019-02-06,172.7336221,173.06184867,171.07477665,171.16348267,1819414,yfinance
2019-02-07,169.43366975,174.78281465,166.16031733,172.98202515,2535215,yfinance
2019-02-08,168.34251648,171.84651802,167.84574856,171.73118591,1950376,yfinance
2019-02-11,171.85536586,173.39889301,171.06585393,172.21018982,1606534,yfinance
2019-02-12,173.63845493,174.14409354,172.69814251,173.20378113,1201492,yfinance
2019-02-13,173.86907307,175.46582404,173.27472855,174.91583252,1491321,yfinance
2019-02-14,173.8246574,174.52544888,172.81338072,173.75369263,1091881,yfinance
2019-02-15,175.16423803,176.5214829,174.41020833,175.92712402,1169888,yfinance
2019-02-19,175.54565808,175.91823759,175.06663136,175.33276367,1071375,yfinance
2019-02-20,175.76747322,176.0513468,174.86264321,175.661026,1339113,yfinance
2019-02-21,175.21744404,176.12227386,174.75615853,175.77630615,1162700,yfinance
2019-02-22,176.66342873,179.19162178,176.44164938,179.08517456,1043893,yfinance
2019-02-25,180.5619023,181.71838871,179.28977155,179.64561462,1233308,yfinance
2019-02-26,179.25416534,180.25051434,178.82715657,179.2363739,1114078,yfinance
2019-02-27,178.91613275,179.95696037,178.13328093,179.44989014,1115029,yfinance
2019-02-28,179.61001972,180.57078592,178.1066004,178.24893188,1405704,yfinance
2019-03-01,179.81461643,181.02447704,179.14742328,179.55664062,1161009,yfinance
2019-03-04,180.57077738,181.0244733,176.47861833,177.82191467,1077189,yfinance
2019-03-05,178.26668148,178.74706446,176.04268085,176.10496521,991889,yfinance
2019-03-06,176.15835812,176.76328119,174.45921888,175.53562927,940836,yfinance
2019-03-07,174.85066113,175.17981702,173.42730332,174.78839111,1165871,yfinance
2019-03-08,173.50734638,174.89512118,173.4628678,174.65492249,702271,yfinance
2019-03-11,175.37555087,176.70995172,174.92185487,175.46450806,904898,yfinance
2019-03-12,175.96264176,176.50529483,175.41109298,175.69577026,1110273,yfinance
2019-03-13,175.13536349,178.04434955,174.90406045,177.65292358,1179084,yfinance
2019-03-14,177.73295654,179.38761732,177.01237476,179.34312439,1505168,yfinance
2019-03-15,179.38764463,180.81989836,178.26674106,180.74871826,2164419,yfinance
2019-03-18,180.98001959,183.90679704,180.98001959,183.00830078,1879769,yfinance
2019-03-19,184.5116962,185.66818249,183.54203432,184.91201782,2167907,yfinance
2019-03-20,184.02243573,185.10775639,182.13648609,183.50646973,1622284,yfinance
2019-03-21,182.65246677,187.2961755,181.94079491,186.6111908,1348309,yfinance
2019-03-22,184.43165516,185.75716023,182.56349694,182.80369568,933014,yfinance
2019-03-25,183.28403971,183.33741401,181.35361187,182.37664795,804271,yfinance
2019-03-26,183.39080779,183.97793948,182.03861572,183.37301636,861455,yfinance
2019-03-27,183.07945719,183.84451763,181.69168214,182.52790833,1158261,yfinance
2019-03-28,183.15063478,184.96540426,182.81258315,184.7341156,757235,yfinance
2019-03-29,185.91724836,187.94554348,185.1077238,187.30502319,1480011,yfinance
2019-04-01,188.61277796,190.03613597,187.99895903,189.39562988,1200752,yfinance
2019-04-02,189.49348776,189.92939233,186.95813617,189.68029785,760934,yfinance
2019-04-03,190.81893844,191.20146859,189.48453797,190.01829529,947495,yfinance
2019-04-04,190.38306315,190.61435181,189.00418388,189.17320251,639696,yfinance
2019-04-05,190.01832691,191.25487471,189.54683952,190.84565735,785880,yfinance
2019-04-08,190.63216076,190.8189852,189.21769849,190.06282043,670455,yfinance
2019-04-09,188.96859276,191.48615247,188.60385401,191.09472656,1046536,yfinance
2019-04-10,191.58399875,191.88646747,188.97748196,189.19987488,898661,yfinance
2019-04-11,190.4987466,190.4987466,189.17324136,189.60025024,1483711,yfinance
2019-04-12,190.99689171,191.20150757,189.68028239,191.20150757,838307,yfinance
2019-04-15,191.64628889,192.62484647,190.88122851,192.57147217,705125,yfinance
2019-04-16,193.17640373,193.87917977,192.79387353,192.99848938,642022,yfinance
2019-04-17,193.63896796,193.63896796,190.64101114,191.61068726,757341,yfinance
2019-04-18,191.32604096,193.5322507,190.44533621,193.22088623,801946,yfinance
2019-04-22,192.52696051,193.72792526,192.20671473,193.18527222,922655,yfinance
