date,open,high,low,close,volume,source
2019-01-02,54.72802915,57.29573957,54.63662137,56.47307587,1850900,yfinance
2019-01-03,53.84718592,54.22943368,49.95821925,50.45680618,4701900,yfinance
2019-01-04,50.82244075,53.72254545,50.82244075,52.87495041,4067800,yfinance
2019-01-07,52.39298503,54.55352243,52.27664901,53.58958817,2134400,yfinance
2019-01-08,53.97183748,54.42887638,52.98297812,54.17127609,2213900,yfinance
2019-01-09,54.76957586,56.92179848,54.67816809,56.24871063,3456100,yfinance
2019-01-10,56.09081091,57.66966463,55.92461845,56.99657059,2271800,yfinance
2019-01-11,56.76391251,58.93275823,56.51462376,58.1848793,2484100,yfinance
2019-01-14,57.88574696,57.88574696,56.75561995,56.79716492,1628700,yfinance
2019-01-15,57.05475557,57.42869184,56.61433342,56.88024521,1162500,yfinance
2019-01-16,56.88024661,58.01037333,56.78053365,57.17109299,1593100,yfinance
2019-01-17,56.73899687,57.92729189,55.77506874,57.36222839,1559000,yfinance
2019-01-18,57.58659222,58.71671917,57.17110456,58.22644043,2464400,yfinance
2019-01-22,57.9356072,58.01870347,56.86364815,57.25420761,2090900,yfinance
2019-01-23,57.44531007,57.72784492,56.16560757,56.73067093,1482300,yfinance
2019-01-24,57.4702321,58.83303055,56.92178558,58.19317627,1659800,yfinance
2019-01-25,59.32330581,60.7359608,58.73331431,60.22076035,2026300,yfinance
2019-01-28,59.21529259,60.61963632,58.741637,60.40358734,1745200,yfinance
2019-01-29,60.23738758,60.48668266,59.24021992,59.44796371,1585600,yfinance
2019-01-30,60.62793915,61.55863349,59.81358715,61.42567444,1948800,yfinance
2019-01-31,61.20131516,61.40905893,60.34541185,60.69441986,1753100,yfinance
2019-02-01,60.92708083,61.8660802,60.82736155,61.45890427,1834800,yfinance
2019-02-04,61.57525637,62.24003902,60.66118499,62.21511078,1740700,yfinance
2019-02-05,62.53919242,63.27875981,62.24004086,63.1208725,2798400,yfinance
2019-02-06,68.08180403,72.69371931,67.93222823,70.37529755,8926000,yfinance
2019-02-07,70.67443793,70.75753418,67.66630565,67.77433014,3581200,yfinance
2019-02-08,66.8685868,67.94054575,66.37830805,67.89899445,2828200,yfinance
2019-02-11,67.9986986,68.34770664,66.98490789,68.00700378,1896100,yfinance
2019-02-12,68.68840814,69.9182478,68.51389778,69.45290375,2022300,yfinance
2019-02-13,69.72715313,69.9099624,68.87955462,68.9543457,1557200,yfinance
2019-02-14,68.80473064,69.79358656,68.46402786,69.50274658,2371300,yfinance
2019-02-15,70.11767244,70.19246349,69.09557668,69.28669739,1185400,yfinance
2019-02-19,69.06232731,69.26175952,68.58036033,68.65515137,1409500,yfinance
2019-02-20,69.1288314,69.44459971,68.28123312,68.4141922,2341300,yfinance
2019-02-21,68.35603179,68.91278373,67.3588576,67.94054413,1818100,yfinance
