date,open,high,low,close,volume,source
2019-01-02,205.0,206.78999329,202.8999939,205.78999329,149000,yfinance
2019-01-03,204.1499939,204.72999573,198.1499939,200.05999756,123900,yfinance
2019-01-04,203.33000183,207.55000305,202.6499939,205.80999756,137300,yfinance
2019-01-07,206.5,209.92999268,204.30999756,208.47999573,186200,yfinance
2019-01-08,211.57000732,213.16000366,209.66000366,212.03999329,120000,yfinance
2019-01-09,213.41999817,214.94000244,211.53999329,214.03999329,123500,yfinance
2019-01-10,213.72000122,216.69000244,211.5,216.47000122,97500,yfinance
2019-01-11,215.44999695,217.11000061,211.86999512,217.11000061,93900,yfinance
2019-01-14,214.07000732,217.38000488,213.16000366,216.02000427,67800,yfinance
2019-01-15,216.91999817,217.58999634,213.97999573,216.46000671,103600,yfinance
2019-01-16,216.6499939,219.44000244,215.22000122,219.02999878,126800,yfinance
2019-01-17,218.63999939,224.52000427,218.22000122,220.75,202200,yfinance
2019-01-18,223.03999329,225.88000488,219.78999329,225.13999939,131500,yfinance
2019-01-22,223.07000732,223.36000061,216.21000671,217.38999939,157900,yfinance
2019-01-23,220.19999695,221.21000671,212.36999512,220.41999817,190500,yfinance
2019-01-24,221.58999634,227.30999756,216.19999695,227.05999756,167000,yfinance
2019-01-25,227.8500061,227.8500061,220.8500061,221.25999451,238000,yfinance
2019-01-28,218.17999268,220.77000427,216.52000427,219.83000183,248500,yfinance
2019-01-29,219.99000549,222.67999268,219.19999695,221.97999573,205400,yfinance
2019-01-30,223.47999573,223.97999573,218.21000671,221.94999695,167600,yfinance
2019-01-31,221.61000061,225.72000122,221.1499939,224.22000122,183300,yfinance
2019-02-01,224.99000549,227.97999573,222.44000244,223.13999939,139900,yfinance
2019-02-04,223.69999695,225.61000061,222.00999451,225.61000061,94600,yfinance
2019-02-05,226.0,227.16000366,224.88999939,226.88000488,110500,yfinance
2019-02-06,226.46000671,227.8999939,225.69000244,226.86999512,65700,yfinance
2019-02-07,225.92999268,227.38999939,222.80000305,227.11999512,127100,yfinance
2019-02-08,225.38000488,229.41000366,225.38000488,228.69000244,143400,yfinance
2019-02-11,229.44999695,230.52000427,227.92999268,229.77000427,128900,yfinance
2019-02-12,231.24000549,233.38000488,230.80000305,232.22000122,128900,yfinance
2019-02-13,232.83999634,232.83999634,229.97000122,231.3500061,107700,yfinance
2019-02-14,229.05999756,233.47999573,229.05999756,232.44000244,106900,yfinance
2019-02-15,233.67999268,236.58000183,232.58000183,236.38000488,95900,yfinance
2019-02-19,234.83999634,236.0,234.36999512,235.44999695,90900,yfinance
2019-02-20,236.22999573,236.22999573,232.82000732,235.83999634,127700,yfinance
2019-02-21,235.27999878,235.27999878,231.82000732,233.28999329,100000,yfinance
2019-02-22,234.1499939,235.74000549,232.96000671,235.55000305,132500,yfinance
2019-02-25,237.50999451,237.77999878,233.94000244,235.36000061,123100,yfinance
2019-02-26,235.75,236.8999939,233.88000488,235.1499939,156600,yfinance
2019-02-27,234.88999939,237.63000488,234.61000061,237.0,131800,yfinance
2019-02-28,237.25,238.24000549,234.78999329,236.03999329,180500,yfinance
2019-03-01,237.30999756,237.94000244,234.72000122,235.80000305,143000,yfinance
2019-03-04,236.30999756,237.16999817,233.53999329,235.86000061,119600,yfinance
2019-03-05,236.08000183,236.08000183,232.22000122,232.38999939,82900,yfinance
2019-03-06,232.97000122,233.30000305,230.27000427,231.69999695,79600,yfinance
2019-03-07,231.57000732,231.57000732,228.02999878,230.58000183,112800,yfinance
2019-03-08,228.13999939,229.83000183,228.13999939,229.36999512,65600,yfinance
2019-03-11,228.91000366,228.91000366,224.86999512,227.25999451,236300,yfinance
2019-03-12,227.0,228.83999634,224.83999634,228.08000183,158100,yfinance
2019-03-13,229.03999329,232.16999817,229.02999878,229.58999634,195400,yfinance
2019-03-14,230.11999512,230.30000305,227.05999756,227.3999939,172600,yfinance
2019-03-15,227.8500061,230.02000427,227.21000671,228.25,443900,yfinance
2019-03-18,228.30000305,235.0,228.30000305,234.69999695,287000,yfinance
2019-03-19,235.05000305,235.71000671,232.17999268,232.72000122,151200,yfinance
2019-03-20,231.44999695,236.28999329,231.25999451,233.38000488,132700,yfinance
2019-03-21,232.78999329,237.44999695,232.78999329,237.05000305,134300,yfinance
2019-03-22,235.8500061,235.8500061,227.36999512,227.61000061,113500,yfinance
2019-03-25,226.66000366,231.08000183,225.44000244,229.22999573,223600,yfinance
2019-03-26,231.80000305,234.78999329,228.58999634,231.3500061,184600,yfinance
2019-03-27,231.08999634,232.91999817,227.22000122,229.8500061,130200,yfinance
2019-03-28,230.72999573,233.72000122,228.25,233.58000183,110500,yfinance
2019-03-29,234.92999268,237.6499939,234.08999634,237.00999451,254800,yfinance
2019-04-01,238.75,241.69000244,238.30000305,240.21000671,130500,yfinance
2019-04-02,242.0,242.41000366,239.13000488,240.77999878,140200,yfinance
2019-04-03,242.0,243.55999756,241.22000122,243.17999268,201400,yfinance
2019-04-04,243.94999695,247.25,242.55999756,244.33000183,271300,yfinance
2019-04-05,244.86999512,246.16999817,243.30999756,244.63000488,138900,yfinance
2019-04-08,243.71000671,248.52000427,241.17999268,247.58999634,222700,yfinance
2019-04-09,245.78999329,247.00999451,244.80999756,245.55999756,146700,yfinance
2019-04-10,245.83000183,247.6499939,244.16999817,247.02000427,100900,yfinance
2019-04-11,247.28999329,250.97000122,246.88999939,249.91000366,148500,yfinance
2019-04-12,251.00999451,252.28999329,250.55000305,251.78999329,147200,yfinance
2019-04-15,252.17999268,252.96000671,249.67999268,252.71000671,147700,yfinance
2019-04-16,253.72000122,254.83999634,252.71000671,253.28999329,127900,yfinance
2019-04-17,254.69000244,254.69000244,250.00999451,251.46000671,205800,yfinance
2019-04-18,255.0,255.0,250.66000366,252.42999268,180100,yfinance
2019-04-22,250.8500061,254.1000061,250.1000061,250.16000366,196900,yfinance
2019-04-23,250.78999329,253.77999878,250.78999329,252.72000122,500100,yfinance
2019-04-24,255.25,260.98999023,249.72000122,249.72000122,615800,yfinance
2019-04-25,249.02999878,249.75,245.69999695,247.72999573,285500,yfinance
2019-04-26,247.0,248.80999756,245.83999634,248.55000305,335400,yfinance
2019-04-29,249.0,252.0,247.91000366,250.91000366,283700,yfinance
2019-04-30,251.24000549,251.33000183,247.58999634,248.50999451,205400,yfinance
2019-05-01,249.38999939,249.69000244,245.36000061,245.36000061,203600,yfinance
2019-05-02,245.21000671,246.19999695,242.74000549,244.38000488,271700,yfinance
2019-05-03,247.72999573,249.66999817,245.1499939,249.13000488,158500,yfinance
2019-05-06,244.77999878,250.75,244.13999939,250.05999756,254100,yfinance
2019-05-07,247.5,250.96000671,246.94999695,250.33999634,290800,yfinance
2019-05-08,250.16999817,252.36999512,249.28999329,249.86999512,255500,yfinance
2019-05-09,247.94999695,249.83000183,244.53999329,247.88000488,112000,yfinance
2019-05-10,246.97000122,248.72000122,242.88999939,248.08999634,152100,yfinance
2019-05-13,243.02999878,244.05000305,239.41000366,241.08000183,258500,yfinance
2019-05-14,241.33999634,242.13000488,236.61000061,236.94000244,405700,yfinance
2019-05-15,235.44000244,240.47000122,234.25999451,239.0,147900,yfinance
2019-05-16,239.8500061,242.44000244,239.24000549,241.52999878,210200,yfinance
2019-05-17,240.05000305,243.53999329,239.78999329,240.66999817,188000,yfinance
2019-05-20,239.66999817,242.8999939,239.00999451,241.75999451,233900,yfinance
2019-05-21,243.44000244,247.11000061,243.02999878,246.61000061,188300,yfinance
2019-05-22,245.97000122,246.55999756,244.50999451,246.00999451,123500,yfinance
2019-05-23,242.86999512,244.83000183,236.63999939,237.74000549,154400,yfinance
