date,open,high,low,close,volume,source
2019-01-02,87.55000305,89.05999756,86.76999664,87.48999786,1381200,yfinance
2019-01-03,85.95999908,86.73999786,82.41000366,84.88999939,1883800,yfinance
2019-01-04,86.76000214,92.05000305,86.51000214,90.98999786,2510700,yfinance
2019-01-07,91.58999634,94.55000305,91.30000305,94.08999634,1253500,yfinance
2019-01-08,95.91000366,96.73999786,92.65000153,94.77999878,1426000,yfinance
2019-01-09,96.13999939,97.98999786,95.26000214,96.51000214,1039800,yfinance
2019-01-10,95.31999969,98.34999847,95.0,97.97000122,1049400,yfinance
2019-01-11,97.76999664,99.69999695,97.31999969,98.66999817,1124700,yfinance
2019-01-14,97.59999847,98.08000183,96.73999786,97.26000214,869000,yfinance
2019-01-15,97.61000061,102.34999847,97.59999847,101.40000153,2307400,yfinance
2019-01-16,102.45999908,104.69000244,100.58999634,101.66999817,1267600,yfinance
2019-01-17,100.77999878,103.87000275,100.77999878,103.44999695,990200,yfinance
2019-01-18,104.58000183,106.73999786,103.66999817,106.02999878,1410200,yfinance
2019-01-22,105.72000122,106.48999786,102.55000305,103.11000061,1511300,yfinance
2019-01-23,104.12000275,105.0,102.69999695,103.65000153,623400,yfinance
2019-01-24,104.01999664,105.54000092,103.81999969,105.48999786,902400,yfinance
2019-01-25,106.69000244,109.41999817,106.51000214,109.19999695,1262600,yfinance
2019-01-28,108.19999695,109.02999878,106.63999939,107.25,1124200,yfinance
2019-01-29,107.25,107.52999878,104.68000031,104.93000031,997100,yfinance
2019-01-30,105.94000244,108.59999847,105.91000366,108.38999939,698500,yfinance
2019-01-31,108.37000275,110.0,107.70999908,109.05999756,1915300,yfinance
2019-02-01,109.0,113.31999969,107.83999634,113.26999664,1887900,yfinance
2019-02-04,113.94999695,116.20999908,113.66000366,114.65000153,1901300,yfinance
2019-02-05,115.84999847,116.30000305,114.80000305,115.90000153,1150700,yfinance
2019-02-06,115.90000153,117.27999878,113.54000092,116.54000092,982800,yfinance
2019-02-07,115.23999786,115.66999817,112.68000031,112.94000244,1444500,yfinance
2019-02-08,111.61000061,115.76000214,110.61000061,115.20999908,1331300,yfinance
2019-02-11,116.70999908,117.97000122,115.26000214,115.94999695,824300,yfinance
2019-02-12,116.76999664,118.87000275,116.38999939,118.66999817,1117500,yfinance
2019-02-13,119.0,120.09999847,117.76999664,118.97000122,1047400,yfinance
2019-02-14,117.98999786,120.91000366,117.19999695,120.59999847,975500,yfinance
2019-02-15,121.5,122.12000275,120.29000092,120.80999756,1012200,yfinance
2019-02-19,120.80999756,122.73000336,119.73000336,120.40000153,1248800,yfinance
2019-02-20,120.22000122,120.98999786,117.13999939,118.0,1727300,yfinance
2019-02-21,117.84999847,118.5,115.87000275,116.84999847,1474900,yfinance
2019-02-22,117.33000183,119.34999847,117.12999725,118.69000244,1254400,yfinance
2019-02-25,120.09999847,121.19000244,118.90000153,119.77999878,1603500,yfinance
2019-02-26,119.48999786,120.38999939,117.72000122,119.72000122,2246000,yfinance
2019-02-27,118.83000183,124.0,113.83999634,116.23999786,3424200,yfinance
2019-02-28,116.0,119.62999725,115.77999878,117.91000366,1709300,yfinance
2019-03-01,118.84999847,120.69000244,117.76999664,120.23999786,1428600,yfinance
2019-03-04,121.19999695,121.48999786,111.63999939,115.23999786,2297800,yfinance
2019-03-05,114.26999664,116.55999756,113.52999878,115.52999878,980500,yfinance
2019-03-06,115.06999969,115.13999939,111.90000153,113.44999695,1372300,yfinance
2019-03-07,113.05999756,115.16999817,112.05999756,113.77999878,1238600,yfinance
2019-03-08,111.04000092,114.69999695,110.23000336,114.54000092,1916900,yfinance
2019-03-11,115.02999878,118.73000336,115.0,118.48000336,1580500,yfinance
2019-03-12,119.08999634,119.79000092,117.5,119.04000092,1348200,yfinance
2019-03-13,119.72000122,122.66000366,119.05000305,121.40000153,1223700,yfinance
2019-03-14,121.25,122.62999725,120.51999664,122.31999969,1219200,yfinance
2019-03-15,122.58000183,123.59999847,122.11000061,122.36000061,3262700,yfinance
2019-03-18,122.73999786,124.0,120.37999725,122.44999695,1132100,yfinance
2019-03-19,122.94000244,124.52999878,120.98999786,124.16999817,1037300,yfinance
2019-03-20,124.13999939,125.38999939,122.16999817,124.56999969,840200,yfinance
2019-03-21,123.98999786,128.82000732,123.94999695,128.61999512,1013100,yfinance
2019-03-22,127.52999878,127.86000061,122.26000214,123.12000275,1423300,yfinance
2019-03-25,122.72000122,124.11000061,121.58000183,123.44999695,1035900,yfinance
2019-03-26,125.13999939,125.88999939,123.94000244,125.56999969,889900,yfinance
2019-03-27,125.54000092,125.81999969,120.51999664,123.44000244,895300,yfinance
2019-03-28,124.0,124.66999817,122.08999634,124.08999634,688500,yfinance
2019-03-29,125.36000061,127.0,124.30000305,126.86000061,812200,yfinance
2019-04-01,128.0,129.86999512,125.55999756,126.76000214,847200,yfinance
2019-04-02,127.29000092,128.91000366,126.45999908,128.69999695,676800,yfinance
2019-04-03,129.71000671,131.47000122,129.1499939,130.96000671,1015300,yfinance
2019-04-04,131.47999573,131.88000488,126.54000092,129.07000732,1370700,yfinance
2019-04-05,129.72000122,130.80000305,128.75,130.19999695,890200,yfinance
2019-04-08,130.08000183,130.99000549,127.34999847,130.97999573,881700,yfinance
2019-04-09,130.63999939,132.6499939,130.24000549,131.88000488,806600,yfinance
2019-04-10,132.02999878,136.97000122,132.02999878,135.96000671,1624600,yfinance
2019-04-11,136.11000061,136.6499939,134.58000183,135.49000549,918900,yfinance
2019-04-12,136.88999939,137.25999451,134.63999939,134.75,1149300,yfinance
2019-04-15,134.63000488,135.22999573,132.05999756,132.63000488,1276100,yfinance
2019-04-16,134.05999756,135.86000061,132.77999878,133.30000305,1229600,yfinance
2019-04-17,134.41999817,134.8500061,128.5,128.82000732,1430900,yfinance
2019-04-18,128.3500061,129.25999451,125.06999969,127.83000183,1436700,yfinance
2019-04-22,127.48000336,134.32000732,127.48000336,134.05999756,1052300,yfinance
2019-04-23,134.13999939,137.52999878,133.94999695,136.53999329,1233600,yfinance
2019-04-24,137.0,138.05000305,135.58999634,136.6499939,823400,yfinance
2019-04-25,137.3999939,138.88000488,135.24000549,137.11000061,695100,yfinance
2019-04-26,137.07000732,139.75,136.27999878,139.24000549,870000,yfinance
2019-04-29,140.0,142.21000671,140.0,141.55000305,1127900,yfinance
2019-04-30,141.02999878,141.91999817,138.72000122,139.86999512,753500,yfinance
2019-05-01,141.11999512,141.74000549,138.00999451,138.38999939,778600,yfinance
2019-05-02,138.1000061,141.36000061,137.24000549,140.91000366,604900,yfinance
2019-05-03,141.88000488,143.96000671,140.55999756,142.58000183,717600,yfinance
2019-05-06,138.11999512,143.41999817,138.11999512,142.94000244,797000,yfinance
2019-05-07,141.24000549,142.57000732,138.41999817,139.61999512,778000,yfinance
2019-05-08,139.50999451,142.25,138.58999634,141.41000366,503400,yfinance
2019-05-09,139.80999756,143.16999817,137.53999329,142.08000183,591000,yfinance
2019-05-10,141.27999878,145.22999573,139.92999268,144.52999878,857200,yfinance
2019-05-13,140.11000061,141.22999573,134.72000122,134.91999817,1421200,yfinance
2019-05-14,137.24000549,141.46000671,136.80999756,140.0,1700900,yfinance
2019-05-15,139.0,143.8999939,138.96000671,142.6000061,951300,yfinance
2019-05-16,142.69000244,145.69999695,142.61999512,144.21000671,1322700,yfinance
2019-05-17,141.83999634,144.69000244,139.61999512,141.75999451,1012000,yfinance
2019-05-20,139.19999695,141.3999939,137.30000305,140.66000366,911900,yfinance
2019-05-21,142.11999512,144.0,142.11999512,143.11000061,833300,yfinance
2019-05-22,141.77999878,145.08000183,141.21000671,144.42999268,736500,yfinance
2019-05-23,142.63999939,143.19000244,138.88999939,140.94000244,1127600,yfinance
2019-05-24,138.5,142.02000427,138.41999817,139.38999939,1411800,yfinance
2019-05-28,140.0,142.5,139.41000366,139.53999329,1780600,yfinance
2019-05-29,138.88999939,138.91000366,134.02000427,134.49000549,2363100,yfinance
2019-05-30,147.6000061,156.92999268,145.5,154.30000305,6239900,yfinance
2019-05-31,152.3999939,156.97999573,151.00999451,154.28999329,2851800,yfinance
2019-06-03,154.86000061,156.0,147.63999939,149.21000671,2287900,yfinance
2019-06-04,150.33000183,155.97000122,149.8500061,155.58000183,2324200,yfinance
2019-06-05,156.86000061,159.80000305,154.8999939,158.08999634,1951100,yfinance
2019-06-06,158.3500061,161.77999878,157.25999451,159.0,1993400,yfinance
2019-06-07,160.58999634,164.6000061,160.03999329,162.19999695,1949700,yfinance
2019-06-10,166.41999817,166.92999268,162.36000061,162.50999451,2039000,yfinance
2019-06-11,163.94999695,165.49000549,160.38999939,164.44000244,1221600,yfinance
2019-06-12,164.75,167.91999817,164.08000183,167.02000427,1715100,yfinance
2019-06-13,167.5,168.46000671,165.27000427,166.33000183,868100,yfinance
2019-06-14,166.03999329,167.36999512,164.5,164.63000488,747800,yfinance
2019-06-17,165.6000061,167.36000061,164.6000061,166.46000671,915500,yfinance
2019-06-18,167.8999939,169.78999329,166.83999634,167.22000122,888900,yfinance
2019-06-19,167.63000488,170.03999329,165.75999451,169.78999329,1431500,yfinance
2019-06-20,172.50999451,173.6499939,168.67999268,171.1499939,1938100,yfinance
2019-06-21,171.0,171.19999695,167.8500061,168.92999268,1832900,yfinance
2019-06-24,169.38000488,170.07000732,162.1499939,162.97000122,2976900,yfinance
2019-06-25,164.36999512,164.94999695,155.77999878,157.16000366,3460400,yfinance
2019-06-26,159.32000732,161.0,155.52000427,155.52000427,2374400,yfinance
2019-06-27,157.24000549,160.99000549,155.0,160.50999451,2487200,yfinance
