date,open,high,low,close,volume,source
2019-01-02,143.26660267,146.43848542,143.26660267,145.55192566,560500,yfinance
2019-01-03,143.44390231,145.10864996,140.24246914,140.45918274,665100,yfinance
2019-01-04,142.5671914,147.6008296,141.98601181,146.74383545,789300,yfinance
2019-01-07,146.89160016,150.733329,146.71429723,149.13752747,643000,yfinance
2019-01-08,150.28019638,155.26457917,149.94528082,154.57504272,942300,yfinance
2019-01-09,154.35835122,155.4320592,151.70854681,153.31419373,860400,yfinance
2019-01-10,152.85118879,155.52069806,150.61510672,155.40248108,496200,yfinance
2019-01-11,154.53564912,156.36785458,154.01357044,155.56994629,512600,yfinance
2019-01-14,154.08251986,156.48605987,153.23537075,154.65385437,596900,yfinance
2019-01-15,155.61920143,158.97824726,155.5502553,158.05229187,592400,yfinance
2019-01-16,158.58420999,159.93373223,158.08182169,159.21464539,876900,yfinance
2019-01-17,158.2296197,161.76596869,157.21501277,160.97792053,481700,yfinance
2019-01-18,162.28806165,162.94804771,160.53466225,161.98269653,1077900,yfinance
2019-01-22,161.17493248,162.80028465,159.29348607,160.63316345,637700,yfinance
2019-01-23,160.84987084,161.44091076,159.09647146,160.65286255,480700,yfinance
2019-01-24,160.76121846,161.50987103,159.63825465,161.03703308,614700,yfinance
2019-01-25,162.45549815,164.7112857,161.67731021,163.47996521,495900,yfinance
2019-01-28,164.79007492,165.07574969,162.20923202,163.67697144,594300,yfinance
2019-01-29,163.96263343,164.38621549,161.30298417,161.953125,341200,yfinance
2019-01-30,162.65251678,166.29723768,162.32744635,165.73574829,449100,yfinance
2019-01-31,165.95247606,167.62706916,164.95757436,166.74052429,996100,yfinance
2019-02-01,167.19361406,168.34612822,165.804696,167.97181702,685000,yfinance
2019-02-04,168.26733357,171.0944405,168.00136415,170.70040894,701500,yfinance
2019-02-05,170.7398483,171.54758683,169.94195492,171.18312073,683800,yfinance
2019-02-06,170.93682199,171.60666811,169.80401324,171.29144287,644800,yfinance
2019-02-07,170.09953867,171.03535431,168.78942684,170.46401978,633800,yfinance
2019-02-08,171.39982295,172.92666346,168.97657746,170.50341797,763600,yfinance
2019-02-11,170.68071876,172.16814844,167.55809192,167.98165894,698500,yfinance
2019-02-12,169.4100078,171.76429216,168.56285863,171.68548584,723400,yfinance
2019-02-13,172.09919543,172.73947603,170.83830952,171.6756134,713200,yfinance
2019-02-14,171.00579536,173.22217224,171.00579536,172.4932251,433500,yfinance
2019-02-15,173.94125924,173.94125924,172.10905376,172.77888489,545900,yfinance
2019-02-19,172.50305836,173.30095158,172.27649962,173.0546875,559000,yfinance
2019-02-20,173.35022551,174.09887801,171.74459376,173.379776,613400,yfinance
2019-02-21,173.39946931,173.98064895,171.80368282,173.36991882,539400,yfinance
2019-02-22,174.11854675,176.24627197,173.06454432,176.11820984,509900,yfinance
2019-02-25,177.1229972,177.5170288,175.23169063,175.41885376,788300,yfinance
2019-02-26,175.22184342,176.00003139,174.6209584,175.61585999,437200,yfinance
2019-02-27,174.81796433,176.54181306,174.07917201,175.24153137,355300,yfinance
2019-02-28,175.10364094,176.2758606,174.46336022,175.37945557,671800,yfinance
2019-03-01,176.22659227,178.08834835,175.42869896,177.8026886,499600,yfinance
2019-03-04,178.37400804,179.02414884,172.53261599,174.17767334,506600,yfinance
2019-03-05,174.3352854,175.52721031,172.45383901,175.13317871,541500,yfinance
2019-03-06,174.94604141,176.16750186,173.83292275,174.09889221,576200,yfinance
2019-03-07,174.10871461,175.4188414,173.33052669,174.83766174,581300,yfinance
2019-03-08,172.94637088,175.15288774,171.24221237,175.07408142,412000,yfinance
2019-03-11,175.6257004,177.01463354,175.09377655,176.39405823,397100,yfinance
2019-03-12,177.16240792,178.54148093,175.77347472,177.8026886,608800,yfinance
2019-03-13,178.35430876,179.6841409,177.39880285,177.78297424,595400,yfinance
2019-03-14,178.15729096,178.84682739,177.3101419,178.71876526,712800,yfinance
2019-03-15,178.8074482,180.68889457,178.15730735,178.90594482,1226000,yfinance
2019-03-18,178.91580004,179.95009725,176.74866392,178.20655823,489300,yfinance
2019-03-19,179.09309213,180.2357611,177.71401925,179.57577515,1032900,yfinance
