date,open,high,low,close,volume,source
2019-01-02,9.69842148,9.77799819,9.69842148,9.69842148,2300,yfinance
2019-01-03,9.69842148,9.75810449,9.69842148,9.69842148,1800,yfinance
2019-01-04,9.69842187,9.73821023,9.69842187,9.7282629,16000,yfinance
2019-01-07,9.72826139,9.7879444,9.72826139,9.75810337,18400,yfinance
2019-01-08,9.79789319,9.82773422,9.70836914,9.7481575,221400,yfinance
2019-01-09,9.75810477,9.7879458,9.72826279,9.76805115,25400,yfinance
2019-01-10,9.74815615,9.79789183,9.71831512,9.71831512,39900,yfinance
2019-01-11,9.79789307,9.79789307,9.71831636,9.78794575,35000,yfinance
2019-01-14,9.70836858,9.79789262,9.70836858,9.77799797,27100,yfinance
2019-01-15,9.78794429,9.79789162,9.73920373,9.79789162,16300,yfinance
2019-01-16,9.79789172,9.8078381,9.75810337,9.75810337,21600,yfinance
2019-01-17,9.79789162,9.79789162,9.75810326,9.79789162,400,yfinance
2019-01-18,9.79391212,9.79789162,9.76804964,9.79789162,326000,yfinance
2019-01-22,9.7879453,9.79888679,9.74815694,9.77799797,426900,yfinance
2019-01-23,9.81778571,9.82773304,9.81778571,9.82773304,400,yfinance
2019-01-24,9.76805053,9.81778622,9.76805053,9.81778622,395600,yfinance
2019-01-25,9.79789111,9.81778481,9.79789111,9.80783749,101100,yfinance
2019-01-28,9.80783889,9.82773354,9.80783889,9.81778622,103800,yfinance
2019-01-29,9.81778481,9.84762584,9.80783749,9.80783749,2400,yfinance
2019-01-30,9.81778616,9.83768082,9.81778616,9.83768082,4900,yfinance
2019-01-31,9.81778622,9.87746923,9.80783889,9.81778622,7200,yfinance
2019-02-01,9.89736176,9.89736176,9.89736176,9.89736176,700,yfinance
2019-02-04,9.86752201,9.89736304,9.77799797,9.77799797,92000,yfinance
2019-02-05,9.81778481,9.81778481,9.78794379,9.80783749,594400,yfinance
2019-02-06,9.82773238,9.89736176,9.81778505,9.89736176,6300,yfinance
2019-02-07,9.84762608,9.89736176,9.84762608,9.89736176,8800,yfinance
2019-02-08,9.87746805,9.89736176,9.87746805,9.89736176,1800,yfinance
2019-02-11,9.88741493,9.88741493,9.83270654,9.88741493,4000,yfinance
2019-02-12,9.87746845,9.92720318,9.87746845,9.92720318,51100,yfinance
2019-02-13,9.92720284,9.92720284,9.86752078,9.87746811,15100,yfinance
2019-02-14,9.86752078,9.89736181,9.83767976,9.87746811,600700,yfinance
2019-02-15,9.82773349,9.89736288,9.82773349,9.83768082,7400,yfinance
2019-02-19,9.89736288,9.89736288,9.83768082,9.83768082,3100,yfinance
2019-02-20,9.84762584,9.84762584,9.80783749,9.80783749,92700,yfinance
2019-02-21,9.89736176,9.89736176,9.89736176,9.89736176,2700,yfinance
2019-02-22,9.88244233,9.88741504,9.84762669,9.84762669,3000,yfinance
2019-02-25,9.84762669,9.84762669,9.84762669,9.84762669,100,yfinance
2019-02-26,9.87746805,9.89736176,9.8575734,9.89736176,3300,yfinance
2019-02-27,9.86752078,9.89736181,9.82773243,9.87746811,74000,yfinance
2019-02-28,9.87746811,9.87746811,9.87746811,9.87746811,0,yfinance
2019-03-01,9.89736226,9.89736226,9.88741493,9.88741493,23600,yfinance
2019-03-04,9.87746805,9.89736176,9.87746805,9.89736176,1400,yfinance
2019-03-05,9.87747029,9.94709969,9.87747029,9.94709969,488600,yfinance
2019-03-06,9.94709627,9.97693729,9.8973606,9.97693729,9300,yfinance
2019-03-07,9.94709738,9.95704471,9.91725636,9.91725636,52200,yfinance
2019-03-08,9.91725636,9.91725636,9.89636754,9.91725636,11600,yfinance
2019-03-11,9.89736316,9.91725781,9.89736316,9.90731049,140100,yfinance
2019-03-12,9.91725646,9.91725646,9.87746811,9.87746811,65800,yfinance
2019-03-13,9.91725641,9.92720278,9.89736176,9.89736176,513800,yfinance
2019-03-14,9.89736176,9.91725641,9.89736176,9.89736176,10200,yfinance
2019-03-15,9.88741483,9.92720318,9.88741483,9.92720318,800,yfinance
2019-03-18,9.9172563,9.93715,9.9172563,9.93715,8100,yfinance
2019-03-19,9.94709783,9.94709783,9.9172568,9.92720318,133700,yfinance
2019-03-20,9.93118223,9.93715006,9.91725636,9.91725636,127200,yfinance
2019-03-21,9.89736226,9.90730958,9.88741493,9.88741493,3800,yfinance
2019-03-22,9.93715011,9.93715011,9.88741443,9.89736176,198000,yfinance
2019-03-25,9.93715006,9.93715006,9.91725636,9.91725636,1800,yfinance
2019-03-26,9.9371509,9.98688658,9.9371509,9.95704556,238100,yfinance
2019-03-27,9.93715,9.96699198,9.9172563,9.93715,141400,yfinance
2019-03-28,9.9769368,9.9769368,9.94212212,9.94510651,800,yfinance
2019-03-29,9.96301383,9.99683436,9.94709868,9.96699333,122000,yfinance
2019-04-01,9.95704465,9.95704465,9.93715,9.93715,92600,yfinance
2019-04-02,9.95704701,9.95704701,9.93715236,9.94709969,31700,yfinance
2019-04-03,9.97693971,9.97693971,9.94709868,9.96699333,71100,yfinance
2019-04-04,9.97693841,9.97693841,9.91725636,9.91725636,361600,yfinance
2019-04-05,9.96201922,9.97693926,9.95704556,9.95704556,261200,yfinance
2019-04-08,10.00677927,10.00677927,9.96599581,9.97693729,1300,yfinance
2019-04-09,9.94709969,9.94709969,9.94709969,9.94709969,200,yfinance
2019-04-10,9.94709969,9.96699434,9.94709969,9.94709969,3100,yfinance
2019-04-11,9.96201831,9.96201831,9.93715,9.93715,700,yfinance
2019-04-12,9.99683537,9.99683537,9.94709969,9.94709969,4600,yfinance
2019-04-15,9.96699177,10.01672649,9.96699177,10.01672649,700,yfinance
2019-04-16,10.01672649,10.01672649,10.01672649,10.01672649,100,yfinance
2019-04-17,9.99683189,9.99683189,9.99683189,9.99683189,7100,yfinance
2019-04-18,9.99683189,9.99683189,9.99683189,9.99683189,0,yfinance
2019-04-22,9.96599777,10.00678124,9.95704556,9.95704556,286100,yfinance
2019-04-23,10.00677967,10.02667337,10.00677967,10.00677967,360300,yfinance
2019-04-24,10.01672594,10.04656792,10.01274739,10.04656792,54600,yfinance
2019-04-25,10.02667332,10.02667332,10.01672599,10.02667332,300700,yfinance
2019-04-26,10.06646252,10.06646252,10.06646252,10.06646252,500,yfinance
2019-04-29,10.00976301,10.04656792,10.00976301,10.04656792,326000,yfinance
2019-04-30,10.06646252,10.06646252,10.06646252,10.06646252,700,yfinance
2019-05-01,10.09630354,10.09630354,10.04656882,10.06646252,24200,yfinance
2019-05-02,10.06646162,10.06646162,10.04656792,10.04656792,700,yfinance
2019-05-03,10.04656792,10.04656792,10.04656792,10.04656792,800,yfinance
2019-05-06,9.99683224,10.04656792,9.99683224,10.04656792,53000,yfinance
2019-05-07,10.03662014,10.03662014,10.03662014,10.03662014,2200,yfinance
2019-05-08,10.05651474,10.05651474,10.05651474,10.05651474,200,yfinance
2019-05-09,10.04656802,10.04656802,10.00677967,10.00677967,2000,yfinance
2019-05-10,10.03264209,10.03264209,10.02667332,10.02667332,19700,yfinance
2019-05-13,9.99683235,10.00677967,9.99683235,10.00677967,300,yfinance
2019-05-14,10.03562553,10.04656797,10.02667332,10.02667332,4400,yfinance
2019-05-15,10.07640894,10.07640894,10.03662059,10.04656792,900,yfinance
2019-05-16,10.04656792,10.04656792,10.04656792,10.04656792,52100,yfinance
2019-05-17,10.04656792,10.04656792,10.04656792,10.04656792,100,yfinance
2019-05-20,10.03662014,10.03662014,10.03662014,10.03662014,5000,yfinance
2019-05-21,10.06646116,10.06646116,10.03662014,10.03662014,5700,yfinance
2019-05-22,10.04656746,10.04656746,10.03662014,10.03662014,7300,yfinance
2019-05-23,10.04656802,10.04656802,10.00677967,10.00677967,25100,yfinance
2019-05-24,10.02667382,10.04656847,10.01672649,10.01672649,755200,yfinance
2019-05-28,10.02667382,10.04656847,10.01672649,10.01672649,2406800,yfinance
2019-05-29,10.03164698,10.03662064,10.02667332,10.02667332,54800,yfinance
2019-05-30,10.08635631,10.08635631,10.01672599,10.02667332,342700,yfinance
2019-05-31,10.03164698,10.03662064,10.01672599,10.02667332,1500,yfinance
2019-06-03,10.13609099,10.13609099,10.04656792,10.04656792,39700,yfinance
2019-06-04,10.04656792,10.04656792,10.01672594,10.04656792,11900,yfinance
2019-06-05,10.04656792,10.04656792,10.04656792,10.04656792,400,yfinance
2019-06-06,10.03264159,10.03662014,10.01672549,10.03662014,3000,yfinance
2019-06-07,10.04656792,10.04656792,10.03662059,10.04656792,35200,yfinance
2019-06-10,10.04358308,10.04358308,10.03662014,10.03662014,28600,yfinance
2019-06-11,10.03463216,10.03463216,10.03363705,10.03363705,1000,yfinance
2019-06-12,10.04656792,10.04656792,10.04656792,10.04656792,10700,yfinance
2019-06-13,10.03662014,10.04656746,10.03662014,10.03662014,20600,yfinance
2019-06-14,10.03662059,10.08635627,10.03662059,10.04656792,3270100,yfinance
2019-06-17,10.04656792,10.04656792,10.04656792,10.04656792,0,yfinance
2019-06-18,10.04656792,10.08635627,10.04656792,10.04656792,700,yfinance
2019-06-19,10.04656836,10.05651474,10.04656836,10.05651474,500,yfinance
2019-06-20,10.05651474,10.06646206,10.05651474,10.05651474,1200,yfinance
2019-06-21,10.08635746,10.13609219,10.08635746,10.13609219,8700,yfinance
2019-06-24,10.12614592,10.12614592,10.09630394,10.09630394,11100,yfinance
2019-06-25,10.05253709,10.10625132,10.05253709,10.07641029,112200,yfinance
2019-06-26,10.08635616,10.10624986,10.08635616,10.08635616,301500,yfinance
2019-06-27,10.08635717,10.11619819,10.04656882,10.06646252,776500,yfinance
2019-06-28,10.07640884,10.08635616,10.04656782,10.08635616,9600,yfinance
2019-07-01,10.06646206,10.06646206,10.05651474,10.05651474,1800,yfinance
2019-07-02,10.08635616,10.08635616,10.04656782,10.08635616,46700,yfinance
2019-07-03,10.08635616,10.08635616,10.08635616,10.08635616,125200,yfinance
2019-07-05,10.08635762,10.08635762,10.07641029,10.07641029,95700,yfinance
2019-07-08,10.08635706,10.13609179,10.06646241,10.10625076,1561300,yfinance
2019-07-09,10.10625051,10.11122417,10.10625051,10.11122417,600,yfinance
2019-07-10,10.16593461,10.16593461,10.12614626,10.14603996,2800,yfinance
2019-07-11,10.15598689,10.15598689,10.10625121,10.11619854,107400,yfinance
2019-07-12,10.16593276,10.16593276,10.12614441,10.12614441,109800,yfinance
2019-07-15,10.13609219,10.13609219,10.13609219,10.13609219,10100,yfinance
2019-07-16,10.13609219,10.13609219,10.13609219,10.13609219,100,yfinance
2019-07-17,10.09630394,10.09630394,10.09630394,10.09630394,155000,yfinance
2019-07-18,10.05651509,10.14603911,10.05651509,10.10625076,2091500,yfinance
2019-07-19,10.03662039,10.15598543,10.03662039,10.12614441,4600,yfinance
2019-07-22,10.14603996,10.14603996,10.14603996,10.14603996,200,yfinance
2019-07-23,10.14603996,10.14603996,10.14603996,10.14603996,100,yfinance
2019-07-24,10.10625111,10.15598679,10.10625111,10.15598679,1500,yfinance
2019-07-25,10.21566843,10.21566843,10.07640874,10.12614441,162800,yfinance
2019-07-26,10.19577508,10.19577508,10.10625105,10.17588043,50700,yfinance
