date,open,high,low,close,volume,source
2019-01-02,161.21000671,165.13999939,160.94999695,164.08000183,1465400,yfinance
2019-01-03,165.83000183,169.32000732,163.17999268,163.72999573,1690900,yfinance
2019-01-04,165.8999939,173.30999756,164.8999939,172.69999695,1874500,yfinance
2019-01-07,173.05000305,176.77999878,170.86999512,175.8500061,1294600,yfinance
2019-01-08,177.0,178.41000366,174.72000122,178.19000244,1653200,yfinance
2019-01-09,179.13999939,182.69999695,178.25,182.30000305,2298500,yfinance
2019-01-10,181.8500061,186.08999634,180.25999451,186.02999878,1988200,yfinance
2019-01-11,184.61999512,188.86000061,183.42999268,188.16000366,2222600,yfinance
2019-01-14,186.71000671,186.99000549,183.77999878,183.91000366,1962000,yfinance
2019-01-15,184.36999512,186.75999451,183.05999756,186.67999268,1330500,yfinance
2019-01-16,186.21000671,188.33999634,184.13000488,186.1499939,2251200,yfinance
2019-01-17,185.77000427,191.41999817,184.71000671,190.52000427,1605900,yfinance
2019-01-18,192.63000488,194.77999878,189.41000366,194.69999695,2150100,yfinance
2019-01-22,193.47999573,195.80999756,192.38999939,193.88000488,2003900,yfinance
2019-01-23,194.66999817,195.19999695,187.77999878,189.88999939,2043000,yfinance
2019-01-24,189.63999939,190.22999573,186.47000122,186.58000183,1825300,yfinance
2019-01-25,188.16000366,190.38999939,186.27000427,189.5,1404800,yfinance
2019-01-28,188.94000244,188.97999573,185.75999451,188.08999634,1513500,yfinance
2019-01-29,188.16000366,188.25999451,184.69999695,186.38000488,1024500,yfinance
2019-01-30,185.83999634,187.91999817,184.5,187.05000305,1385900,yfinance
2019-01-31,187.16999817,190.97999573,186.86000061,190.91000366,900800,yfinance
2019-02-01,190.91999817,193.02999878,189.91999817,191.52000427,892800,yfinance
2019-02-04,189.19000244,189.27999878,184.49000549,187.97999573,1482300,yfinance
2019-02-05,185.80999756,190.74000549,185.44000244,187.02000427,1643500,yfinance
2019-02-06,193.0,193.0,182.05999756,182.38999939,1915700,yfinance
2019-02-07,181.5,182.58999634,178.99000549,180.17999268,1462500,yfinance
2019-02-08,178.75999451,181.44999695,178.75999451,181.33999634,980600,yfinance
2019-02-11,182.05000305,182.16999817,178.3999939,181.52999878,2037000,yfinance
2019-02-12,181.44000244,184.30000305,181.44000244,184.00999451,1316600,yfinance
2019-02-13,185.0,186.25,184.3500061,185.25,1244500,yfinance
2019-02-14,184.52000427,186.83999634,183.52999878,185.72000122,917800,yfinance
2019-02-15,185.66999817,188.55999756,185.66999817,188.07000732,1408200,yfinance
2019-02-19,187.8999939,189.08999634,185.83000183,186.86000061,1823700,yfinance
2019-02-20,186.05999756,188.63999939,185.6499939,187.83999634,1066300,yfinance
2019-02-21,187.69999695,188.11999512,182.16000366,183.05999756,1087000,yfinance
2019-02-22,184.33000183,185.83999634,182.94000244,185.75999451,1027400,yfinance
2019-02-25,186.74000549,188.1000061,185.63000488,186.33000183,1268800,yfinance
2019-02-26,186.25999451,189.99000549,184.88999939,188.91999817,1478000,yfinance
2019-02-27,187.97000122,189.86999512,186.44000244,189.80999756,633200,yfinance
2019-02-28,189.74000549,190.03999329,188.22999573,188.75,1194700,yfinance
2019-03-01,189.94999695,192.69000244,189.27999878,192.16000366,887600,yfinance
2019-03-04,193.02999878,193.88999939,186.71000671,190.03999329,1208600,yfinance
2019-03-05,190.16000366,190.50999451,187.52000427,187.80000305,1409100,yfinance
2019-03-06,188.17999268,188.69999695,180.55999756,181.11000061,1381000,yfinance
2019-03-07,181.36000061,181.83000183,177.44999695,178.61000061,1432900,yfinance
2019-03-08,177.25999451,177.61999512,173.58999634,177.25999451,1451500,yfinance
2019-03-11,177.94000244,180.55999756,177.77999878,180.52000427,1350700,yfinance
2019-03-12,181.1499939,183.22999573,179.8500061,182.57000732,1545300,yfinance
2019-03-13,183.36999512,186.77999878,182.21000671,185.66000366,1202300,yfinance
2019-03-14,185.61999512,186.66000366,184.44999695,186.11000061,785700,yfinance
2019-03-15,186.88000488,189.3500061,186.36999512,188.08999634,2768600,yfinance
2019-03-18,188.0,189.21000671,185.52999878,187.47999573,1554100,yfinance
2019-03-19,184.63999939,185.0,181.17999268,181.75999451,1556200,yfinance
2019-03-20,181.52999878,182.46000671,179.53999329,179.97999573,1213600,yfinance
2019-03-21,178.22000122,182.74000549,178.22000122,182.55999756,1156500,yfinance
2019-03-22,182.07000732,183.8500061,181.03999329,181.52999878,1612300,yfinance
2019-03-25,181.66999817,185.05999756,181.44000244,183.8500061,1754500,yfinance
2019-03-26,185.24000549,190.07000732,184.83000183,189.91000366,1373700,yfinance
2019-03-27,190.0,190.00999451,185.61999512,185.82000732,1181200,yfinance
2019-03-28,186.00999451,186.94000244,181.49000549,182.41999817,1615200,yfinance
2019-03-29,184.28999329,184.86000061,181.91999817,183.94999695,1274700,yfinance
2019-04-01,185.19999695,187.38000488,184.67999268,186.05000305,1030000,yfinance
2019-04-02,185.96000671,189.42999268,184.91000366,187.11000061,814400,yfinance
2019-04-03,187.8999939,188.97999573,187.00999451,187.88999939,829400,yfinance
2019-04-04,188.22000122,188.33999634,182.49000549,184.1499939,1193400,yfinance
2019-04-05,184.49000549,189.3500061,184.24000549,188.88999939,2289000,yfinance
2019-04-08,189.27000427,189.94999695,186.66999817,188.92999268,910100,yfinance
2019-04-09,188.00999451,189.69999695,187.75,188.30999756,976000,yfinance
2019-04-10,188.32000732,191.71000671,187.07000732,190.36999512,1155900,yfinance
2019-04-11,191.08000183,191.41999817,184.22000122,185.11999512,1971900,yfinance
2019-04-12,185.41999817,186.47000122,182.30999756,182.77999878,1077400,yfinance
2019-04-15,182.27000427,184.32000732,180.24000549,182.49000549,826700,yfinance
2019-04-16,183.63000488,184.80000305,179.58999634,179.74000549,900300,yfinance
2019-04-17,180.44999695,180.75,166.6499939,166.97000122,2851100,yfinance
2019-04-18,169.96000671,170.44999695,163.67999268,168.16000366,3195700,yfinance
2019-04-22,167.78999329,169.86000061,166.19999695,168.52000427,1213500,yfinance
2019-04-23,169.22000122,175.6000061,168.77000427,175.36999512,1514600,yfinance
2019-04-24,175.58000183,175.86000061,171.75999451,172.58000183,1164500,yfinance
2019-04-25,172.3999939,175.22000122,170.19999695,174.61000061,806500,yfinance
2019-04-26,173.97999573,174.41999817,170.00999451,172.8500061,1117700,yfinance
2019-04-29,172.58000183,173.66999817,171.22000122,172.52000427,750300,yfinance
2019-04-30,173.92999268,174.91999817,168.49000549,168.97999573,1619800,yfinance
2019-05-01,168.75999451,175.6000061,168.50999451,172.6000061,1824800,yfinance
2019-05-02,172.1000061,172.49000549,167.80000305,169.53999329,1209800,yfinance
2019-05-03,170.05000305,174.19000244,169.46000671,173.86999512,971800,yfinance
2019-05-06,170.30000305,175.1499939,169.94999695,174.75999451,888300,yfinance
2019-05-07,172.33000183,174.38000488,168.58999634,170.27999878,1345900,yfinance
2019-05-08,170.05999756,171.53999329,168.3999939,169.00999451,1121600,yfinance
2019-05-09,167.3999939,170.5,166.47999573,169.91000366,820200,yfinance
2019-05-10,169.36000061,169.36000061,164.30999756,168.8500061,805700,yfinance
2019-05-13,165.69999695,167.47999573,164.07000732,164.61000061,1118500,yfinance
2019-05-14,165.6000061,167.58000183,164.96000671,166.72000122,938200,yfinance
2019-05-15,165.41000366,168.22000122,164.96000671,166.88000488,663700,yfinance
2019-05-16,167.63000488,173.41000366,167.63000488,170.22999573,1688900,yfinance
2019-05-17,168.8999939,170.83999634,167.97000122,168.72999573,898200,yfinance
2019-05-20,167.77000427,168.25,165.67999268,165.72999573,644300,yfinance
2019-05-21,167.88999939,170.1499939,167.38000488,169.11999512,703300,yfinance
2019-05-22,168.47000122,174.28999329,168.47000122,172.36999512,1230400,yfinance
2019-05-23,171.61000061,173.32000732,169.5,173.00999451,1272800,yfinance
2019-05-24,174.30999756,175.94000244,171.36999512,171.77000427,1115700,yfinance
2019-05-28,172.24000549,173.78999329,171.05999756,172.75999451,1542100,yfinance
2019-05-29,171.1499939,171.86999512,166.30000305,166.55000305,1788400,yfinance
2019-05-30,167.25999451,170.5,167.25999451,170.25999451,902900,yfinance
2019-05-31,168.49000549,169.99000549,166.1000061,166.17999268,982500,yfinance
2019-06-03,166.86999512,168.8500061,165.80000305,166.63999939,1080600,yfinance
2019-06-04,168.16000366,172.97000122,167.08000183,171.27000427,1456800,yfinance
2019-06-05,171.8999939,174.0,170.38999939,173.27000427,1254500,yfinance
2019-06-06,173.22000122,173.99000549,167.41999817,167.75,1261100,yfinance
2019-06-07,169.42999268,173.97999573,169.25999451,173.50999451,1109600,yfinance
2019-06-10,173.28999329,174.11999512,171.50999451,172.83999634,1025100,yfinance
