date,open,high,low,close,volume,source
2019-01-02,54.41709865,54.51993443,52.85870718,53.2305069,2328100,yfinance
2019-01-03,53.36496046,54.70976743,53.24630013,54.21139526,2369600,yfinance
2019-01-04,54.54365846,54.78097919,53.81588372,54.01364899,2673200,yfinance
2019-01-07,54.17186201,55.1448637,54.01364618,54.65440369,1643800,yfinance
2019-01-08,54.89963681,55.82517676,54.77306414,55.61949921,1794000,yfinance
2019-01-09,55.76187781,55.76187781,54.68603457,55.12112045,1911400,yfinance
2019-01-10,54.98663936,56.45010067,54.94708391,56.3551712,2488400,yfinance
2019-01-11,56.30772446,56.59250691,56.1178715,56.52922058,2054400,yfinance
2019-01-14,56.41846503,56.60831797,56.07039629,56.29980469,1407300,yfinance
2019-01-15,56.41846525,57.45475314,56.31562951,57.26490021,1319800,yfinance
2019-01-16,56.86938961,57.84239754,56.86938961,57.42313004,1404200,yfinance
2019-01-17,57.23326108,57.92148631,57.13833762,57.51804352,1648200,yfinance
2019-01-18,57.51804692,57.91357744,57.2965508,57.77909851,1921900,yfinance
2019-01-22,57.81072962,58.38029441,57.56549665,58.07178116,1770700,yfinance
2019-01-23,57.9452105,58.69671594,57.70788982,58.67298508,1631000,yfinance
2019-01-24,58.75210165,58.93404834,58.15089959,58.78374481,1453000,yfinance
2019-01-25,58.94985054,59.3295624,58.67298046,59.28210068,1938900,yfinance
2019-01-28,59.18719516,59.74884786,59.06853478,59.69347382,2679000,yfinance
2019-01-29,59.8042034,60.12062897,59.35329893,60.11271667,2134700,yfinance
2019-01-30,59.99406023,60.91960614,59.81211959,60.59526825,3195100,yfinance
2019-01-31,60.46869467,61.62364281,59.86748672,61.29930496,4277400,yfinance
2019-02-01,61.35469394,61.48917891,59.51152626,60.36586761,2269600,yfinance
2019-02-04,60.20762309,61.03032684,59.78044964,61.03032684,2177200,yfinance
2019-02-05,61.03036199,61.33096302,60.41333533,61.27558899,2089500,yfinance
2019-02-06,61.18065513,61.43380045,60.45288046,60.71393204,1831900,yfinance
2019-02-07,60.62692167,61.03036452,60.29467746,60.95125961,2866900,yfinance
2019-02-08,60.53988675,61.10153924,60.32630298,61.07780838,1738000,yfinance
2019-02-11,61.22021078,61.44170689,60.84841114,61.25185394,2220800,yfinance
2019-02-12,61.21229011,61.52080337,60.39749835,60.63481903,2729800,yfinance
2019-02-13,60.36586053,61.43379766,60.0810781,61.35468674,1943400,yfinance
2019-02-14,61.43379273,61.62364566,60.91960194,61.28348923,1509600,yfinance
2019-02-15,61.47333094,61.53661725,61.03825115,61.39422607,2907700,yfinance
2019-02-19,61.45753455,61.49708398,60.6506489,60.72184753,2152800,yfinance
2019-02-20,60.53198495,60.7534871,59.40076748,59.92287064,2933000,yfinance
2019-02-21,59.86685964,60.09893349,59.33069218,59.57077026,5911800,yfinance
2019-02-22,59.81084491,60.73914035,59.62679033,60.37102509,2693100,yfinance
2019-02-25,60.64309137,60.64309137,59.36268948,59.53874588,3271200,yfinance
2019-02-26,59.91487099,60.14694481,59.29867352,59.65879059,2009800,yfinance
2019-02-27,59.23464909,59.73080752,58.50642296,59.65078354,2362600,yfinance
2019-02-28,59.61875893,60.65108448,59.32266357,59.46670914,5700300,yfinance
2019-03-01,59.58674583,59.61875664,58.11428551,59.22663498,3070300,yfinance
2019-03-04,59.41870243,59.7948218,58.82651775,59.66677856,2209000,yfinance
2019-03-05,59.61075735,60.29897441,59.61075735,59.90685272,2494700,yfinance
2019-03-06,59.90686444,60.04290581,59.34669049,59.47472763,1748500,yfinance
2019-03-07,59.75481413,60.41102051,59.70680097,60.09892273,2687900,yfinance
2019-03-08,60.09891122,60.66708928,59.49872234,59.99488068,2245600,yfinance
2019-03-11,60.16294099,61.21126908,60.16294099,61.19526672,2184700,yfinance
2019-03-12,61.29929136,61.73943232,61.22727162,61.50735855,2230700,yfinance
2019-03-13,61.65142869,62.09156373,61.62742211,61.92351151,2177400,yfinance
2019-03-14,61.97951885,62.3316317,61.81947088,62.32362747,2216400,yfinance
2019-03-15,62.41965677,62.61171554,61.65141557,61.85147858,5124400,yfinance
2019-03-18,61.95549907,62.05153149,60.29097369,60.63508224,2857700,yfinance
2019-03-19,60.58708295,60.7391328,60.04291131,60.23497009,2554400,yfinance
2019-03-20,60.37899132,60.75511061,59.59474803,60.41900635,2100200,yfinance
2019-03-21,60.39503386,62.15558624,60.24298399,62.15558624,3143900,yfinance
2019-03-22,62.24361631,63.54803133,62.24361631,62.27562714,2896500,yfinance
2019-03-25,62.35561115,63.05183232,62.0195069,62.73973465,1941100,yfinance
2019-03-26,63.05184411,63.12386384,62.64371395,62.99582672,1546700,yfinance
2019-03-27,62.87579968,63.13188007,62.31562572,62.47567368,2023400,yfinance
2019-03-28,62.69175466,62.89982194,62.29162855,62.88381958,1945900,yfinance
