date,open,high,low,close,volume,source
2019-01-02,59.97978666,60.86519934,58.82053953,60.71002579,990900,yfinance
2019-01-03,60.41791137,60.56395497,58.21807179,58.62883377,1243100,yfinance
2019-01-04,59.76071351,61.18467204,59.46861927,61.1025238,970900,yfinance
2019-01-07,61.01121667,61.39459588,59.92499532,60.19882965,1341600,yfinance
2019-01-08,61.02948959,61.02948959,59.83373007,60.76477814,912800,yfinance
2019-01-09,61.14816582,62.31654289,60.94734971,61.75061417,1164400,yfinance
2019-01-10,61.46761613,63.00111211,61.31244264,62.90071106,826900,yfinance
2019-01-11,62.34393037,63.46666484,62.28003497,63.27497864,736400,yfinance
2019-01-14,62.85511054,63.36627389,62.67255419,63.12895203,705800,yfinance
2019-01-15,63.32061235,63.48491578,62.38042734,62.8459549,607300,yfinance
2019-01-16,62.8550935,63.47579467,62.41694863,62.95550156,607400,yfinance
2019-01-17,62.53560901,64.40683523,62.42607107,64.03259277,594100,yfinance
2019-01-18,64.56200717,65.84904477,64.49811178,65.00014496,1062700,yfinance
2019-01-22,64.05997137,64.36119547,62.65426584,63.22932434,1441700,yfinance
2019-01-23,63.4483928,63.51228818,61.80535874,62.42605972,1095100,yfinance
2019-01-24,62.59036849,63.16542697,62.18873636,62.64513397,1195400,yfinance
2019-01-25,63.53054696,64.28816868,63.36624354,63.76787567,948900,yfinance
2019-01-28,63.13803425,63.4301284,62.46256784,63.30233765,684000,yfinance
2019-01-29,63.53966883,64.54374207,63.53966883,64.34292603,992400,yfinance
2019-01-30,64.80845482,65.83991082,63.85914704,65.71212006,1368800,yfinance
2019-01-31,66.64318332,66.75271429,63.13804593,65.04579163,1682100,yfinance
2019-02-01,65.374403,65.67562016,63.57619512,64.03259277,1294800,yfinance
2019-02-04,63.71310138,64.28815979,63.50315544,64.18775177,998100,yfinance
2019-02-05,64.18778688,64.58941917,63.77703164,64.57115936,1044400,yfinance
2019-02-06,64.49812323,65.52044958,64.43422087,65.31963348,992500,yfinance
2019-02-07,64.64413812,64.99099769,63.87739371,64.23338318,794800,yfinance
2019-02-08,63.8409004,64.44334163,63.63095444,64.43421173,979500,yfinance
2019-02-11,64.66240122,65.47479526,64.66240122,65.18270111,719400,yfinance
2019-02-12,65.72123826,67.11781345,65.71210836,66.54275513,1123400,yfinance
2019-02-13,66.84497984,67.4219447,66.4969745,66.56108093,1024000,yfinance
2019-02-14,66.22224425,66.74425587,66.07571822,66.37793732,1149600,yfinance
2019-02-15,66.98235779,67.76079507,66.95488461,67.70584869,934900,yfinance
