date,open,high,low,close,volume,source
2019-01-02,54.09999847,57.83000183,53.56000137,57.20000076,13434000,yfinance
2019-01-03,55.58000183,56.72999954,52.25999832,52.41999817,19076300,yfinance
2019-01-04,54.40000153,59.65999985,53.86100006,58.18000031,30228600,yfinance
2019-01-07,59.0,61.29000092,58.04999924,60.72000122,18146900,yfinance
2019-01-08,62.59999847,63.79999924,61.15000153,63.11999893,21511800,yfinance
2019-01-09,63.29999924,66.90000153,62.56000137,65.93000031,21012400,yfinance
2019-01-10,64.75,66.19999695,63.72000122,66.09999847,13562200,yfinance
2019-01-11,65.69000244,67.63999939,65.22000122,66.23000336,14448300,yfinance
2019-01-14,64.72000122,65.72000122,63.74000168,65.18000031,12364300,yfinance
2019-01-15,65.13999939,66.76999664,64.86000061,65.95999908,12099400,yfinance
2019-01-16,66.33999634,67.62999725,65.23000336,65.90000153,13368300,yfinance
2019-01-17,66.09999847,69.69999695,65.94999695,68.83999634,20971700,yfinance
2019-01-18,69.69999695,72.26000214,69.23999786,72.23999786,22074100,yfinance
2019-01-22,71.61000061,71.75,67.26999664,67.84999847,19149900,yfinance
2019-01-23,69.58000183,70.58999634,68.01999664,69.09999847,17864400,yfinance
2019-01-24,69.37000275,74.02999878,69.30000305,73.94000244,24611600,yfinance
2019-01-25,74.90000153,78.15000153,74.5,77.97000122,25114700,yfinance
2019-01-28,75.38999939,77.01000214,74.12000275,76.22000122,15701700,yfinance
2019-01-29,72.26000214,72.43000031,68.05000305,68.55999756,32382900,yfinance
2019-01-30,71.01000214,71.59999847,68.72000122,71.52999878,18710400,yfinance
2019-01-31,70.02999878,73.86000061,69.98000336,71.34999847,15679400,yfinance
2019-02-01,71.05000305,71.27999878,69.72000122,70.80000305,12677800,yfinance
2019-02-04,71.0,72.62000275,70.40000153,71.75,10582100,yfinance
2019-02-05,73.0,75.16999817,72.26999664,72.27999878,19150500,yfinance
2019-02-06,72.30999756,73.27999878,70.81999969,72.66999817,10068500,yfinance
2019-02-07,71.76999664,72.98000336,70.51999664,71.94999695,9549700,yfinance
2019-02-08,70.62000275,73.48999786,70.23000336,73.48999786,9947800,yfinance
2019-02-11,74.55999756,75.87999725,73.55999756,74.31999969,13317500,yfinance
2019-02-12,75.55000305,75.88999939,74.84300232,75.58999634,8947700,yfinance
2019-02-13,76.0,77.24700165,75.40000153,75.62999725,10212300,yfinance
2019-02-14,74.88999939,76.05999756,73.80000305,75.66999817,7671800,yfinance
2019-02-15,76.22000122,76.85500336,75.09999847,75.63999939,7148900,yfinance
2019-02-19,75.95999908,77.09999847,75.79299927,76.63999939,7438600,yfinance
2019-02-20,77.0,77.66999817,75.11000061,75.97000122,8773800,yfinance
2019-02-21,75.94999695,76.5,74.13500214,74.43000031,7645100,yfinance
2019-02-22,74.87999725,76.08000183,74.84999847,76.08000183,7614800,yfinance
2019-02-25,77.80000305,78.55999756,76.77999878,77.12999725,8757600,yfinance
2019-02-26,77.30000305,78.19000244,76.86599731,77.94999695,8544300,yfinance
2019-02-27,78.0,79.55999756,77.38999939,79.31999969,19712500,yfinance
2019-02-28,75.91999817,82.77999878,74.56999969,81.23999786,41441000,yfinance
2019-03-01,80.97000122,81.02999878,76.69000244,77.45999908,22485900,yfinance
2019-03-04,77.98999786,78.48999786,73.05000305,74.69000244,16804800,yfinance
2019-03-05,74.88999939,76.51000214,73.76000214,76.04000092,9711800,yfinance
2019-03-06,75.55000305,75.94999695,74.29000092,75.13999939,7174000,yfinance
2019-03-07,74.79000092,75.28600311,73.18000031,74.11000061,9561700,yfinance
2019-03-08,71.94999695,74.40000153,71.09999847,74.40000153,9025200,yfinance
2019-03-11,74.98999786,75.94999695,74.62000275,75.52999878,7901700,yfinance
2019-03-12,76.0,78.0,75.80000305,76.76999664,9494800,yfinance
2019-03-13,77.38999939,78.84999847,76.94999695,77.84999847,8664000,yfinance
2019-03-14,78.0,78.72000122,77.09999847,77.37999725,6579200,yfinance
2019-03-15,77.80999756,78.25,76.25,76.65000153,8485800,yfinance
2019-03-18,76.61000061,76.83000183,73.51000214,75.23000336,12755300,yfinance
2019-03-19,75.68000031,77.26999664,75.44000244,76.80999756,8170900,yfinance
2019-03-20,76.18000031,76.23000336,73.94999695,75.26000214,9423000,yfinance
2019-03-21,74.87000275,78.73999786,74.76999664,78.52999878,10707700,yfinance
2019-03-22,78.23999786,79.19999695,74.94999695,75.08999634,9924300,yfinance
2019-03-25,74.44999695,75.47399902,73.33000183,74.55000305,8267000,yfinance
2019-03-26,75.66000366,75.76999664,73.16000366,73.93000031,8891300,yfinance
2019-03-27,75.37999725,75.59999847,71.63999939,72.97000122,11690800,yfinance
2019-03-28,73.66000366,74.77999878,72.84999847,74.26000214,7479300,yfinance
2019-03-29,74.62000275,75.54000092,74.25,74.91999817,6437100,yfinance
2019-04-01,75.58999634,76.69999695,75.09999847,76.31999969,8764300,yfinance
2019-04-02,76.05000305,76.56999969,75.12999725,75.59999847,6626100,yfinance
2019-04-03,75.98999786,77.83999634,75.98999786,77.05000305,10118800,yfinance
2019-04-04,76.79000092,77.23000336,73.62999725,74.51999664,10705300,yfinance
2019-04-05,75.23000336,76.48000336,74.73000336,75.02999878,7396200,yfinance
2019-04-08,74.76000214,75.33000183,73.76000214,75.0,6564100,yfinance
2019-04-09,74.62999725,75.90000153,74.40000153,74.59999847,7236100,yfinance
2019-04-10,75.05999756,75.65000153,73.91999817,74.73999786,7779300,yfinance
2019-04-11,75.05000305,76.05000305,74.94100189,75.5,6971300,yfinance
2019-04-12,76.34999847,76.45999908,74.81800079,75.27999878,6318600,yfinance
2019-04-15,75.23000336,76.33000183,74.09500122,74.38999939,6840200,yfinance
2019-04-16,74.90000153,75.18000031,72.76999664,73.48999786,6391500,yfinance
2019-04-17,73.88999939,73.90000153,72.20999908,72.76000214,5901200,yfinance
2019-04-18,72.5,72.75,69.79000092,70.73999786,11829500,yfinance
2019-04-22,70.05000305,72.87999725,70.0,72.58000183,7867700,yfinance
2019-04-23,72.98999786,73.19999695,72.01999664,72.44999695,6250000,yfinance
2019-04-24,72.69999695,73.55999756,71.73000336,71.98999786,7056500,yfinance
2019-04-25,72.33999634,73.5,72.01000214,72.65000153,6384900,yfinance
2019-04-26,73.15000153,73.16999817,70.85500336,71.55000305,7426900,yfinance
2019-04-29,71.54000092,73.87000275,71.5,72.72000122,8627300,yfinance
2019-04-30,72.58999634,73.84999847,72.26999664,72.81999969,7192100,yfinance
2019-05-01,73.94999695,74.73000336,73.17099762,73.62000275,15731100,yfinance
2019-05-02,69.80000305,70.5,66.05000305,67.73999786,34399600,yfinance
2019-05-03,67.91000366,68.66999817,66.59999847,68.51999664,9187200,yfinance
2019-05-06,65.45999908,70.29000092,65.41000366,70.13999939,13595800,yfinance
2019-05-07,69.98000336,70.33999634,67.37000275,68.41999817,10764100,yfinance
2019-05-08,68.22000122,68.29000092,66.77999878,67.25,9863000,yfinance
2019-05-09,66.52999878,66.62000275,64.68499756,66.38999939,9178500,yfinance
2019-05-10,65.93000031,67.08999634,64.45999908,65.98999786,7689900,yfinance
2019-05-13,63.90000153,64.30999756,61.65000153,62.38999939,14597100,yfinance
2019-05-14,62.99000168,65.23999786,62.48300171,64.11000061,10036600,yfinance
2019-05-15,63.59999847,65.23000336,63.43999863,65.23000336,7857700,yfinance
2019-05-16,65.11000061,67.15000153,65.05200195,66.40000153,8587800,yfinance
2019-05-17,65.22000122,66.48999786,64.65000153,65.30999756,6868400,yfinance
2019-05-20,64.15000153,64.69999695,63.58000183,64.38999939,6715100,yfinance
2019-05-21,65.20999908,66.08999634,65.15000153,65.91999817,5698700,yfinance
2019-05-22,65.68000031,67.04299927,65.66000366,66.45999908,6695100,yfinance
2019-05-23,65.05000305,65.33000183,62.77000046,63.75,9444500,yfinance
2019-05-24,64.15000153,65.04000092,63.75999832,64.66000366,7994000,yfinance
2019-05-28,65.19999695,67.66999817,65.09999847,65.81999969,10027500,yfinance
2019-05-29,65.05999756,65.05999756,62.70000076,63.22999954,10392800,yfinance
2019-05-30,63.77999878,64.29000092,63.20000076,63.66999817,5590400,yfinance
2019-05-31,62.24000168,62.5,61.31000137,61.95000076,7220500,yfinance
2019-06-03,61.95000076,62.54399872,59.89199829,60.61999893,9309700,yfinance
2019-06-04,61.54999924,63.45000076,60.72999954,63.38999939,8234400,yfinance
2019-06-05,63.45000076,65.63999939,63.43000031,64.93000031,9330700,yfinance
2019-06-06,64.87999725,65.87000275,64.19999695,65.76999664,6021800,yfinance
2019-06-07,66.48000336,69.06999969,66.16000366,68.45999908,9995100,yfinance
2019-06-10,69.56999969,71.69999695,69.12000275,70.37000275,10668200,yfinance
2019-06-11,71.19999695,71.87999725,69.11000061,70.18000031,7130700,yfinance
2019-06-12,70.0,70.91999817,69.52999878,70.45999908,6612100,yfinance
2019-06-13,70.76000214,72.75,70.52999878,72.18000031,8201400,yfinance
2019-06-14,71.80999756,72.08000183,70.91999817,71.58999634,5344700,yfinance
2019-06-17,72.0,72.93000031,71.80000305,72.20999908,5353100,yfinance
2019-06-18,72.90000153,73.50499725,71.59999847,71.81999969,7651600,yfinance
2019-06-19,71.76999664,72.77999878,71.26999664,72.66000366,6079100,yfinance
2019-06-20,73.76000214,74.55000305,73.30999756,74.41999817,8796800,yfinance
2019-06-21,74.08000183,74.26000214,72.29000092,72.87000275,8396700,yfinance
2019-06-24,72.98000336,73.67900085,72.51999664,72.70999908,4468000,yfinance
2019-06-25,72.93000031,73.16999817,69.26000214,69.87000275,12032700,yfinance
2019-06-26,70.98000336,72.0,69.91000366,69.94999695,7911800,yfinance
2019-06-27,70.56999969,71.54000092,70.05000305,71.27999878,5163800,yfinance
2019-06-28,72.43000031,73.14800262,71.56999969,72.52999878,9465000,yfinance
2019-07-01,73.90000153,74.19999695,72.69999695,73.19999695,8068300,yfinance
2019-07-02,72.98000336,73.97000122,72.65000153,73.97000122,5894900,yfinance
2019-07-03,74.0,74.31999969,73.34999847,74.26000214,2904600,yfinance
2019-07-05,73.75,74.36000061,73.19999695,74.30999756,3523500,yfinance
2019-07-08,73.80000305,74.0,73.05999756,73.43000031,4288000,yfinance
2019-07-09,74.02999878,78.38999939,73.95999908,77.95999908,21399700,yfinance
2019-07-10,77.91000366,78.69999695,77.40000153,78.37000275,10342800,yfinance
2019-07-11,78.44999695,79.95999908,78.43000031,79.44000244,7916400,yfinance
2019-07-12,80.05000305,82.66000366,79.73000336,82.27999878,13586300,yfinance
2019-07-15,82.48000336,82.51000214,81.19999695,82.16999817,6428500,yfinance
2019-07-16,81.80000305,81.80000305,80.30999756,80.58999634,5772000,yfinance
2019-07-17,80.20999908,82.16999817,80.19000244,80.87000275,6264000,yfinance
2019-07-18,80.87000275,82.13999939,80.22000122,81.05999756,6834600,yfinance
2019-07-19,81.61000061,81.69999695,78.41999817,78.51000214,6877500,yfinance
2019-07-22,79.12999725,79.62999725,78.37999725,78.56999969,4001900,yfinance
2019-07-23,79.0,79.37000275,77.86100006,78.83999634,3624800,yfinance
2019-07-24,78.66999817,80.5,78.43000031,80.43000031,4751000,yfinance
2019-07-25,80.15000153,81.08999634,79.12999725,80.01999664,6000400,yfinance
2019-07-26,80.62999725,82.31999969,80.62999725,81.80999756,5668200,yfinance
2019-07-29,81.87999725,82.0,79.05999756,80.19999695,7211400,yfinance
2019-07-30,80.23000336,81.19000244,79.37999725,80.48999786,5369300,yfinance
2019-07-31,81.16999817,81.94999695,79.01000214,80.41000366,7406900,yfinance
2019-08-01,81.09999847,83.19999695,80.0,80.98000336,16099700,yfinance
2019-08-02,70.80000305,70.80999756,67.25,69.59999847,43722000,yfinance
2019-08-05,66.19999695,66.5,63.68500137,64.84999847,21651500,yfinance
2019-08-06,66.84999847,67.40000153,63.15000153,64.59999847,14970800,yfinance
2019-08-07,63.18000031,65.26000214,62.84999847,65.0,9246500,yfinance
2019-08-08,66.06999969,66.56999969,64.93000031,66.26999664,9461900,yfinance
2019-08-09,65.97000122,66.12000275,64.31999969,65.01000214,7216900,yfinance
2019-08-12,64.01999664,64.23699951,60.2519989,62.29999924,8516800,yfinance
2019-08-13,62.0,63.5,61.52000046,63.0,11917600,yfinance
2019-08-14,61.84999847,62.34999847,60.47000122,61.54999924,8577900,yfinance
2019-08-15,62.00999832,62.68000031,61.24000168,62.0,7080300,yfinance
2019-08-16,62.61000061,63.20999908,62.13000107,62.86999893,5421400,yfinance
2019-08-19,64.0,64.43299866,63.20000076,64.08000183,6975800,yfinance
2019-08-20,64.23999786,65.10500336,63.82799911,64.37000275,7008600,yfinance
2019-08-21,65.31999969,66.13999939,64.80999756,65.41000366,5536400,yfinance
2019-08-22,65.91999817,65.97000122,63.36999893,64.68000031,4694400,yfinance
2019-08-23,64.30000305,65.05000305,61.40000153,61.77999878,9173800,yfinance
2019-08-26,62.91999817,63.52000046,62.36000061,62.79999924,5257600,yfinance
2019-08-27,63.15999985,63.43000031,61.11999893,61.75,5207100,yfinance
2019-08-28,61.27999878,62.21900177,60.59999847,62.15000153,4559600,yfinance
2019-08-29,63.02000046,63.40999985,62.29999924,62.84000015,4421800,yfinance
2019-08-30,63.15000153,63.45999908,61.15100098,61.84000015,5828500,yfinance
2019-09-03,62.43000031,63.97999954,60.95999908,61.13000107,12051700,yfinance
2019-09-04,61.75,62.68999863,60.77000046,61.16999817,6637100,yfinance
2019-09-05,61.88000107,63.47000122,61.66899872,63.02000046,8160400,yfinance
2019-09-06,63.5,63.84999847,61.88999939,62.0,4744100,yfinance
2019-09-09,62.54999924,62.72999954,59.06999969,61.47000122,11684400,yfinance
2019-09-10,60.72000122,62.09999847,59.45000076,60.54999924,9394000,yfinance
2019-09-11,60.84999847,60.84999847,58.90999985,59.20000076,11561400,yfinance
2019-09-12,59.5,59.86000061,57.75,57.79000092,15301200,yfinance
2019-09-13,57.18000031,58.84999847,55.90999985,58.29000092,11657500,yfinance
2019-09-16,57.34000015,59.63000107,57.24000168,59.25,12394000,yfinance
2019-09-17,60.20000076,60.70000076,59.15000153,59.59999847,9225100,yfinance
2019-09-18,59.99000168,60.41999817,58.75999832,59.75,8644200,yfinance
2019-09-19,59.95999908,60.18000031,58.40999985,59.02999878,7094000,yfinance
2019-09-20,59.0,59.13999939,56.92499924,57.84999847,9204200,yfinance
2019-09-23,57.06999969,57.45000076,56.38999939,56.75999832,8773800,yfinance
2019-09-24,56.84999847,58.75,54.40999985,57.5,19489000,yfinance
2019-09-25,57.41999817,58.88999939,56.22900009,58.50999832,10034000,yfinance
2019-09-26,60.04000092,61.15000153,59.83000183,60.79999924,16447900,yfinance
2019-09-27,60.97999954,61.65000153,59.93000031,60.75,10698900,yfinance
2019-09-30,60.95999908,62.27999878,60.84999847,61.95000076,7317400,yfinance
2019-10-01,62.29999924,62.99000168,61.04999924,61.63000107,7549200,yfinance
2019-10-02,61.22999954,61.22999954,58.86000061,60.08000183,8834100,yfinance
2019-10-03,59.47999954,62.43999863,59.06000137,62.04999924,8082800,yfinance
2019-10-04,62.50999832,62.91999817,61.43999863,62.65000153,5073400,yfinance
2019-10-07,62.24000168,62.84999847,61.68999863,62.25,4115000,yfinance
2019-10-08,61.84999847,62.18999863,60.63000107,60.79999924,4664600,yfinance
2019-10-09,61.43000031,62.52000046,61.27000046,62.22000122,4088100,yfinance
2019-10-10,62.25,62.63000107,61.56000137,62.02999878,4440600,yfinance
2019-10-11,62.75999832,63.56000137,61.47000122,61.54000092,9084300,yfinance
2019-10-14,61.52000046,62.29000092,61.40000153,61.83000183,3660100,yfinance
2019-10-15,62.22000122,64.48999786,62.22000122,64.29000092,6189700,yfinance
2019-10-16,63.81999969,63.88000107,62.56000137,63.0,4187300,yfinance
2019-10-17,63.02000046,64.55000305,63.02000046,63.40000153,5565000,yfinance
2019-10-18,63.16999817,63.43899918,59.78300095,60.45000076,7905500,yfinance
2019-10-21,60.70000076,61.47999954,59.83000183,61.15000153,5468700,yfinance
2019-10-22,61.27999878,61.49000168,58.54999924,58.83000183,7093700,yfinance
2019-10-23,58.90000153,59.68999863,57.61999893,58.36000061,7628800,yfinance
2019-10-24,59.61999893,61.77000046,59.59000015,61.72000122,7998100,yfinance
2019-10-25,61.47999954,63.25,61.11000061,62.88999939,5189300,yfinance
2019-10-28,62.81999969,63.43000031,61.90999985,62.79999924,7171200,yfinance
2019-10-29,62.79999924,63.61700058,62.38000107,62.40999985,4030900,yfinance
2019-10-30,62.50999832,62.72999954,61.47499847,62.15999985,4832800,yfinance
2019-10-31,62.0,62.65000153,60.90000153,61.43000031,4416100,yfinance
2019-11-01,61.56999969,62.81399918,61.45999908,62.59999847,6184900,yfinance
2019-11-04,63.29999924,63.83000183,62.36000061,62.38000107,6046700,yfinance
2019-11-05,62.5,62.54999924,59.90999985,61.06000137,8552000,yfinance
2019-11-06,61.33000183,61.93000031,60.57799911,61.34000015,12855600,yfinance
2019-11-07,61.90999985,66.59999847,60.54000092,64.41000366,25984000,yfinance
2019-11-08,63.18000031,63.45100021,61.33000183,62.45000076,11629500,yfinance
2019-11-11,61.88000107,64.89499664,61.88000107,63.79000092,12711100,yfinance
2019-11-12,63.88000107,63.99000168,60.81999969,61.54000092,11296300,yfinance
2019-11-13,61.29999924,62.13999939,60.84999847,61.50999832,5509200,yfinance
2019-11-14,61.65000153,63.0,61.34999847,62.99000168,7406800,yfinance
2019-11-15,63.20000076,64.72000122,63.09999847,64.69999695,7791800,yfinance
2019-11-18,64.5,66.37999725,64.23000336,65.73999786,7409100,yfinance
2019-11-19,65.69999695,66.5,65.13999939,66.37000275,6884200,yfinance
2019-11-20,66.36000061,67.75,66.01999664,67.16999817,9595800,yfinance
