date,open,high,low,close,volume,source
2019-01-02,155.99000549,157.46000671,152.27000427,156.24000549,347700,yfinance
2019-01-03,153.8500061,153.8500061,146.52000427,146.88000488,514600,yfinance
2019-01-04,150.50999451,154.49000549,149.6499939,152.97000122,723300,yfinance
2019-01-07,153.52000427,156.63999939,152.00999451,155.28999329,1100000,yfinance
2019-01-08,157.3500061,159.0,152.13000488,156.33000183,838500,yfinance
2019-01-09,157.78999329,161.6000061,156.78999329,160.21000671,541200,yfinance
2019-01-10,157.5,160.69000244,157.30000305,160.3500061,370400,yfinance
2019-01-11,160.1499939,164.19000244,159.02000427,163.19999695,416200,yfinance
2019-01-14,162.47999573,164.33000183,160.61000061,163.61000061,431900,yfinance
2019-01-15,163.8500061,166.96000671,163.61999512,166.3999939,427500,yfinance
2019-01-16,166.6499939,169.38000488,166.16999817,168.72999573,435300,yfinance
2019-01-17,167.82000732,177.0,167.82000732,175.58999634,657000,yfinance
2019-01-18,176.83999634,179.80999756,175.74000549,177.78999329,362700,yfinance
2019-01-22,176.55999756,177.58999634,171.13000488,173.00999451,451400,yfinance
2019-01-23,174.13999939,176.57000732,172.02000427,173.1499939,325400,yfinance
2019-01-24,173.44000244,175.24000549,172.97000122,174.63999939,390500,yfinance
2019-01-25,176.16000366,177.72999573,175.27000427,175.86000061,392300,yfinance
2019-01-28,173.53999329,175.27999878,171.75,172.24000549,390800,yfinance
2019-01-29,172.21000671,174.02999878,170.52999878,170.71000671,347400,yfinance
2019-01-30,172.72000122,173.08000183,168.47000122,171.36000061,378700,yfinance
2019-01-31,171.05000305,174.3999939,170.0,173.6000061,388700,yfinance
2019-02-01,174.21000671,176.63999939,173.8500061,175.05999756,574200,yfinance
2019-02-04,175.25999451,176.88000488,175.25999451,176.55000305,281000,yfinance
2019-02-05,177.55000305,178.97000122,176.32000732,178.86999512,379600,yfinance
2019-02-06,179.16999817,182.32000732,179.16999817,180.75999451,414300,yfinance
2019-02-07,179.28999329,179.80999756,175.00999451,176.78999329,260400,yfinance
2019-02-08,175.38000488,178.0,174.99000549,176.3999939,346000,yfinance
2019-02-11,176.38999939,179.02000427,176.38999939,178.38000488,332900,yfinance
2019-02-12,180.03999329,183.91999817,179.8999939,182.96000671,365700,yfinance
2019-02-13,183.38999939,184.72000122,182.3500061,183.97000122,610300,yfinance
2019-02-14,185.88000488,203.00999451,185.88000488,196.47000122,2749500,yfinance
2019-02-15,198.6499939,200.1000061,194.55000305,199.75,781800,yfinance
2019-02-19,200.44000244,203.94999695,198.47000122,199.32000732,674000,yfinance
2019-02-20,198.77999878,200.27000427,197.52000427,199.8500061,380200,yfinance
2019-02-21,199.91999817,200.36999512,197.91999817,199.82000732,332600,yfinance
2019-02-22,200.63999939,206.6499939,199.6499939,206.3500061,539100,yfinance
2019-02-25,207.32000732,207.88000488,204.33000183,204.63999939,508100,yfinance
2019-02-26,203.50999451,204.57000732,201.19000244,202.97999573,374500,yfinance
2019-02-27,202.66000366,203.5,200.13000488,202.47999573,340500,yfinance
2019-02-28,202.19999695,202.61000061,200.30999756,200.50999451,343000,yfinance
2019-03-01,203.16000366,204.55000305,200.28999329,202.21000671,288800,yfinance
2019-03-04,202.97000122,203.05000305,196.00999451,201.72999573,477800,yfinance
2019-03-05,202.0,203.11999512,199.61999512,201.63999939,315500,yfinance
2019-03-06,202.52000427,203.46000671,200.27999878,201.24000549,218500,yfinance
2019-03-07,201.72000122,203.92999268,199.22999573,201.99000549,308000,yfinance
2019-03-08,199.91999817,202.36999512,199.3500061,201.8999939,374700,yfinance
2019-03-11,203.52000427,209.63000488,203.52000427,209.44999695,494200,yfinance
2019-03-12,210.55000305,211.92999268,207.82000732,210.72000122,399400,yfinance
2019-03-13,211.80000305,212.94000244,210.69999695,211.52999878,569600,yfinance
2019-03-14,212.47999573,213.16999817,211.00999451,212.66999817,424200,yfinance
2019-03-15,213.24000549,216.77999878,210.83999634,211.3999939,496500,yfinance
2019-03-18,207.49000549,214.08000183,204.33999634,213.21000671,400200,yfinance
2019-03-19,214.22999573,215.96000671,213.24000549,213.67999268,363300,yfinance
2019-03-20,213.03999329,216.19000244,211.78999329,214.58999634,540600,yfinance
2019-03-21,214.25,219.38999939,214.25,218.30000305,259200,yfinance
2019-03-22,218.02000427,218.75,207.0,207.24000549,534500,yfinance
2019-03-25,207.11999512,208.61000061,203.30000305,204.97000122,551300,yfinance
2019-03-26,207.0,209.49000549,206.38000488,208.94999695,476500,yfinance
2019-03-27,208.96000671,209.80999756,203.52999878,206.75999451,403400,yfinance
2019-03-28,207.25999451,209.44999695,205.0,208.46000671,289900,yfinance
2019-03-29,211.08999634,211.99000549,208.02999878,209.52999878,339100,yfinance
2019-04-01,211.24000549,213.47000122,209.5,211.91000366,245500,yfinance
2019-04-02,212.22999573,214.69999695,209.83000183,213.61999512,339300,yfinance
2019-04-03,215.33000183,218.58999634,214.44000244,215.03999329,309000,yfinance
